missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.2,road_topology_neighbor_fill,49,49,flow_group,low_flow,overall,False,265985,265985,0,397.0281066894531,731.8764038085938,0.4539649188518524,0.2489040791988372,0.4916566820142344,105603520.0,142473019392.0,119176.6875,262524,66167.9140625,265837,0.0,1488.5924072265625
0.2,road_topology_neighbor_fill,49,49,flow_group,mid_flow,overall,False,262326,262326,0,469.7380981445313,746.276611328125,0.2159992158412933,0.1841512322425842,0.5243299107005019,123224520.0,146096914432.0,56662.2109375,262326,48307.65625,262326,1488.59326171875,2911.88916015625
0.2,road_topology_neighbor_fill,49,49,length_group,overall,long,False,229433,229433,0,511.9790344238281,822.2140502929688,0.2566083073616028,0.2018440216779709,0.0849068152279538,117464888.0,155104952320.0,58638.078125,228512,46297.5703125,229373,0.0,9683.72265625
0.2,road_topology_neighbor_fill,49,49,length_group,overall,mid,False,422191,422191,0,504.9583740234375,812.709716796875,0.2951377928256988,0.2003788948059082,0.078308928800454,213188880.0,278855909376.0,124064.421875,420361,84585.34375,422127,0.0,10378.2509765625
0.2,road_topology_neighbor_fill,49,49,length_group,overall,short,False,155449,155449,0,507.899658203125,816.264404296875,0.2564805150032043,0.2011892348527908,0.0846157650164163,78952496.0,103573733376.0,39687.5390625,154739,31269.8359375,155425,0.0,9646.7177734375
0.2,road_topology_neighbor_fill,49,49,overall,overall,overall,False,807073,807073,0,507.52056884765625,816.1064453125,0.2767381072044372,0.2009514719247818,0.0786362217637188,409606144.0,537534627840.0,222390.0625,803612,162152.765625,806925,0.0,10378.2509765625
0.2,road_topology_neighbor_fill,50,50,flow_group,high_flow,overall,False,273272,273272,0,645.7496948242188,943.0133056640624,0.1665720492601394,0.1696396917104721,0.1280956789449956,176465312.0,243013713920.0,45519.4765625,273272,46357.77734375,273272,2911.89013671875,10273.6787109375
0.2,road_topology_neighbor_fill,50,50,flow_group,low_flow,overall,False,266671,266671,0,394.4427795410156,727.8307495117188,0.4483780860900879,0.2517369091510772,0.4889388301381494,105186448.0,141265666048.0,117718.9765625,262544,67088.640625,266503,0.0,1488.5926513671875
0.2,road_topology_neighbor_fill,50,50,flow_group,mid_flow,overall,False,266517,266517,0,469.09521484375,741.5587158203125,0.2148885577917099,0.1829176396131515,0.5210165280842608,125021848.0,146560188416.0,57271.453125,266517,48750.66015625,266517,1488.5931396484375,2911.88525390625
0.2,road_topology_neighbor_fill,50,50,length_group,overall,long,False,229563,229563,0,511.6987915039063,822.129150390625,0.2645315527915954,0.2010001391172409,0.0854351466486052,117467112.0,155160805376.0,60452.60546875,228527,46132.14453125,229513,0.0,9622.8447265625
0.2,road_topology_neighbor_fill,50,50,length_group,overall,mid,False,421462,421462,0,500.5132751464844,806.4258422851562,0.2720275223255157,0.2006949484348297,0.0784943606837368,210947328.0,274086264832.0,114047.5390625,419250,84568.8359375,421380,0.0,10273.6787109375
0.2,road_topology_neighbor_fill,50,50,length_group,overall,short,False,155435,155435,0,503.48480224609375,808.4560546875,0.2976897358894348,0.2026790082454681,0.0795354759817675,78259160.0,101592498176.0,46009.734375,154556,31496.115234375,155399,0.0,10164.72265625
0.2,road_topology_neighbor_fill,50,50,overall,overall,overall,False,806460,806460,0,504.2701416015625,811.3163452148438,0.2748359143733978,0.2011642158031463,0.0789703832524084,406673696.0,530839535616.0,220509.921875,802333,162197.09375,806292,0.0,10273.6787109375
0.2,road_topology_neighbor_fill,51,51,flow_group,high_flow,overall,False,274441,274441,0,654.2813110351562,952.6807861328124,0.1682921200990677,0.1726669669151306,0.1272417080199393,179561616.0,249082839040.0,46186.2578125,274441,47386.89453125,274441,2911.8896484375,10399.0634765625
0.2,road_topology_neighbor_fill,51,51,flow_group,low_flow,overall,False,269037,269037,0,404.8160095214844,741.1710205078125,0.423808217048645,0.2576892971992492,0.497900374216228,108910488.0,147791282176.0,112302.3984375,264984,69293.9375,268905,0.0,1488.593017578125
