missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.1,function_curve_fit,long,54,9841857,9841857,0,1333200712.0,651462430720.0,1139176.8720703125,9786764,742316.7373046875,9841857,0.0,10468.935546875,135.4623128541697,257.2800801832132,0.1163997488925157,0.0754244587484544,0.0245755720847867,True
0.1,function_curve_fit,mid,54,9220267,9220267,0,1254858430.0,618387988480.0,1119554.029296875,9168559,697689.111328125,9220264,0.0,10447.3779296875,136.0978407675179,258.9755558514961,0.1221079593092955,0.0756691035449879,0.0247885696865225,True
0.1,function_curve_fit,short,54,2738533,2738533,0,370705546.0,181652594688.0,270213.322265625,2722554,207424.42651367188,2738529,0.0,10434.4677734375,135.3664702963229,257.5501537521492,0.0992499404109615,0.0757430089342387,0.0246826344519249,True
0.1,historical_linear_extrapolation,long,54,9841857,9841857,0,1624756800.0,1005120656384.0,1302305.35546875,9786764,862671.462890625,9825726,0.0,10468.935546875,165.0864059496089,319.5733636992404,0.1330680248822542,0.0877972236240482,0.030525869823951,True
0.1,historical_linear_extrapolation,mid,54,9220267,9220267,0,1526603198.0,950398333952.0,1171835.4892578125,9168559,809263.6650390625,9204855,0.0,10447.3779296875,165.57038944750732,321.0562172219863,0.1278102141522798,0.087917046497643,0.0307307938300638,True
0.1,historical_linear_extrapolation,short,54,2738533,2738533,0,451816354.5,279618950656.0,304073.76171875,2722554,239809.927734375,2733660,0.0,10434.4677734375,164.98481285418143,319.53932353839895,0.1116869533969757,0.0877248552250005,0.0306234424674571,True
0.1,mean_fill,long,54,9841857,9841857,0,1276239732.0,621870111232.0,1036101.1064453124,9786764,686415.07421875,9823762,0.0,10468.935546875,129.6746876123073,251.368768060133,0.1058675887602186,0.0698729340367519,0.0240109194420599,True
0.1,mean_fill,mid,54,9220267,9220267,1,1200004454.0,589292014592.0,1056221.3125,9168559,644206.134765625,9203099,0.0,10447.3779296875,130.1485579539074,252.80958124941515,0.115200361638072,0.0699988270000817,0.0241983761811684,True
0.1,mean_fill,short,54,2738533,2738533,0,354943920.5,173131244288.0,250632.60986328125,2722554,191168.3291015625,2733087,0.0,10434.4677734375,129.61097072775826,251.4367391992044,0.092057902198921,0.0699459362623884,0.0240967478800667,True
0.1,road_topology_neighbor_fill,long,54,9841857,9841857,0,5075155464.0,6931368017920.0,3029093.859375,9786764,2022762.60546875,9836998,0.0,10468.935546875,515.6705146193447,839.2105865463518,0.3095092371058503,0.2056280387033473,0.0801619785305544,True
