scenario_id,scenario_dir,source_file,file_name,record_type,row_count,missing_rate,method,MAE,RMSE,MAPE,sMAPE,NRMSE,missing_count,valid_eval_count
,,,,,,0.05,forward_fill,109.73979949951172,205.37594604492188,0.0487511828541755,0.0492862462997436,0.1442967466586709,66364,66364
,,,,,,0.05,forward_fill,88.98927307128906,183.586166381836,0.0506654866039752,0.0485068634152412,0.0176424552794553,201976,201976
,,,,,,0.05,forward_fill,88.16580963134766,181.479248046875,0.0232330225408077,0.0236915480345487,0.024992541800464,67917,67917
,,,,,,0.05,forward_fill,63.832298278808594,148.7284393310547,0.1051574498414993,0.0727107748389244,0.0999123766177247,66895,66895
,,,,,,0.05,forward_fill,104.17691040039062,195.9069061279297,0.046305950731039,0.0469141788780689,0.1376448916166237,67152,67152
,,,,,,0.05,forward_fill,85.42961120605469,176.53060913085938,0.0577775835990905,0.0475421734154224,0.017352438390835,201964,201964
,,,,,,0.05,forward_fill,83.72137451171875,173.48130798339844,0.0220374297350645,0.0225163307040929,0.0234137395542489,66973,66973
,,,,,,0.05,forward_fill,65.37956237792969,153.0458221435547,0.1355782002210617,0.0745008140802383,0.1028124093601463,67037,67037
,,,,,,0.05,forward_fill,102.46609497070312,192.81695556640625,0.0456378608942031,0.046368770301342,0.1354728356018968,67247,67247
,,,,,,0.05,forward_fill,83.87515258789062,173.89561462402344,0.0673572048544883,0.0476840622723102,0.0168482760424112,201257,201257
,,,,,,0.05,forward_fill,90.17029571533205,192.1220550537109,0.0237700287252664,0.0244001224637031,0.0257671763889905,67061,67061
,,,,,,0.05,forward_fill,67.48423767089844,159.6821746826172,0.1324077695608139,0.0755939409136772,0.1072705385535215,67194,67194
,,,,,,0.05,forward_fill,108.28194427490234,204.447006225586,0.048050932586193,0.0488015785813331,0.143643582527804,67385,67385
,,,,,,0.05,forward_fill,88.66309356689453,186.38992309570312,0.0676881670951843,0.0494888313114643,0.0179774654705506,201640,201640
,,,,,,0.05,forward_fill,92.90673065185548,195.6147003173828,0.0245380215346813,0.0251479968428611,0.0269292215519997,67383,67383
,,,,,,0.05,forward_fill,68.32427215576172,160.4274139404297,0.1617375165224075,0.0759195312857627,0.107771366297616,67418,67418
,,,,,,0.05,forward_fill,109.11063385009766,203.02989196777344,0.0483052469789981,0.0488292388617992,0.1426479486466969,66601,66601
,,,,,,0.05,forward_fill,90.03632354736328,187.2135467529297,0.0778581127524375,0.0498611778020858,0.0183976989065602,201402,201402
,,,,,,0.05,forward_fill,89.43206787109375,186.87257385253903,0.0235713850706815,0.0241020508110523,0.0249841884271739,68138,68138
,,,,,,0.05,forward_fill,64.00623321533203,147.99874877929688,0.1978413015604019,0.0717467665672302,0.0994221137546283,67162,67162
,,,,,,0.05,forward_fill,105.98442840576172,196.8488311767578,0.0470628142356872,0.0476200468838214,0.1383049240799887,66234,66234
,,,,,,0.05,forward_fill,86.39871978759766,178.44117736816406,0.0887846201658248,0.0476087629795074,0.0171717982356228,201534,201534
,,,,,,0.05,forward_fill,93.06779479980467,195.986572265625,0.0244619324803352,0.0251196976751089,0.0264683361762019,68582,68582
,,,,,,0.05,forward_fill,68.21176147460938,158.18348693847656,0.0986168459057807,0.076374776661396,0.1062637745937694,66968,66968
,,,,,,0.05,forward_fill,111.31394958496094,210.57537841796875,0.0494432151317596,0.0498927682638168,0.1479491473062885,66253,66253
,,,,,,0.05,forward_fill,90.8096694946289,189.5124664306641,0.0570367239415645,0.0501480363309383,0.0183699142038652,201803,201803
,,,,,,0.05,forward_fill,92.40958404541016,195.35543823242188,0.0243322625756263,0.0249034855514764,0.0259669078743436,68383,68383
,,,,,,0.05,forward_fill,66.18856811523438,150.88906860351562,0.1022399961948394,0.0750411674380302,0.1013636303251683,67537,67537
,,,,,,0.05,forward_fill,111.20648193359376,208.7686767578125,0.0493443235754966,0.0499597787857055,0.1466803721228619,65954,65954
,,,,,,0.05,forward_fill,89.77845764160156,186.50440979003903,0.0583243295550346,0.049753688275814,0.017872726060176,201874,201874
,,,,,,0.05,forward_fill,84.63492584228516,171.14767456054688,0.0223544649779796,0.0227852445095777,0.0237480058282171,67186,67186
,,,,,,0.05,forward_fill,66.66896057128906,152.96847534179688,0.1220587417483329,0.0780997350811958,0.1027605086733036,66274,66274
,,,,,,0.05,forward_fill,103.0365982055664,191.6407623291016,0.0458671264350414,0.0466196611523628,0.1346479918816046,69330,69330
,,,,,,0.05,forward_fill,85.05462646484375,172.93833923339844,0.0626269280910492,0.0488797463476657,0.0170909358078691,202790,202790
,,,,,,0.05,forward_fill,88.23029327392578,176.4508514404297,0.0234486367553472,0.0239362064749002,0.0242760030784735,64859,64859
,,,,,,0.05,forward_fill,71.64328002929688,169.09744262695312,0.1298613995313644,0.0853131487965583,0.1135956225979514,66312,66312
,,,,,,0.05,forward_fill,106.9932861328125,196.8631591796875,0.0477460026741027,0.048720795661211,0.1383155128187975,70351,70351
,,,,,,0.05,forward_fill,89.3223648071289,181.54611206054688,0.0665089562535286,0.0526204109191894,0.0178328604285798,201522,201522
,,,,,,0.05,forward_fill,87.20870971679688,179.75241088867188,0.0231443122029304,0.0236778575927019,0.024943548334913,64214,64214
,,,,,,0.05,forward_fill,72.68463897705078,172.1056365966797,0.1290876418352127,0.0860356613993644,0.1156163890808235,67089,67089
,,,,,,0.05,forward_fill,108.09041595458984,203.141830444336,0.0484069287776947,0.0496215634047985,0.1427276733748833,70704,70704
,,,,,,0.05,forward_fill,89.69384002685547,185.8814239501953,0.0667219832539558,0.0532912909984588,0.0183708904689339,202007,202007
,,,,,,0.05,forward_fill,92.1250228881836,197.87179565429688,0.0244499947875738,0.0252435132861137,0.0269102720853667,66542,66542
,,,,,,0.05,forward_fill,72.08924102783203,174.5849609375,0.1296942830085754,0.0838620737195015,0.1172822659898157,68097,68097
,,,,,,0.05,forward_fill,113.5283432006836,213.6087188720703,0.0506541579961776,0.0517913475632667,0.1500806394481602,66976,66976
,,,,,,0.05,forward_fill,92.46791076660156,195.89508056640625,0.068282276391983,0.0537053421139717,0.019083936558428,201615,201615
,,,,,,0.05,forward_fill,87.42950439453125,182.46241760253903,0.0231451671570539,0.0237253960222005,0.0246190158646687,67402,67402
,,,,,,0.05,forward_fill,67.21727752685547,156.7410888671875,0.1011417135596275,0.0784085392951965,0.1052948502310089,67356,67356
,,,,,,0.05,forward_fill,108.74302673339844,202.86134338378903,0.0483720302581787,0.0492034927010536,0.1425305539602948,66361,66361
,,,,,,0.05,forward_fill,87.69290161132812,181.5601501464844,0.0573234073817729,0.0503183230757713,0.0175873593522788,201119,201119
,,,,,,0.05,forward_fill,91.87451934814452,193.9927978515625,0.0242521055042743,0.0248770620673894,0.0266839301852749,67127,67127
,,,,,,0.05,forward_fill,66.83457946777344,154.52098083496094,0.1065205335617065,0.0764775574207305,0.1038034612036333,67302,67302
,,,,,,0.05,forward_fill,108.33695220947266,201.6703186035156,0.0480631440877914,0.0485236980020999,0.1416939333694697,67119,67119
