missing_rate,method,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.1,mean_fill,54,21787929,21787929,2,2831813908.0,1388092327936.0,2432934.765625,21663303,1525388.87109375,21747031,0.0,10468.935546875,129.9716879011309,252.4068873765293,0.1123067320632038,0.0701423964997221,0.0241100813207196,True
0.1,road_topology_neighbor_fill,54,21787929,21787929,0,11231816784.0,15331067854848.0,6983191.0859375,21663303,4480138.546875,21776882,0.0,10468.935546875,515.5063973267032,838.8382532454564,0.3223511708227272,0.2057291097446824,0.080126412994858,True
0.2,correlation_topology_neighbor_fill,54,43575790,43575790,2369690,2273883964.0,726508612608.0,1525069.431640625,43328405,1500914.400390625,43531907,0.0,10477.7548828125,52.182277452686456,129.12125808088018,0.0351979130466636,0.0344784895453954,0.0123233707530883,True
0.2,forward_fill,54,43575790,43575790,0,4337811608.0,1939465232384.0,3111551.296875,43328405,2385711.97265625,43392681,0.0,10477.7548828125,99.5463675586834,210.9688641596816,0.0718131972980542,0.0549795937396965,0.0201349302898611,True
0.2,function_curve_fit,54,43575790,43575790,0,5907317512.0,2894923866112.0,4845151.0546875,43328405,3295450.83984375,43575760,0.0,10477.7548828125,135.56420920882903,257.7483766362174,0.1118238960028069,0.0756257800172332,0.0245995806848872,True
0.2,historical_linear_extrapolation,54,43575790,43575790,0,7356949640.0,4676673519616.0,5393195.6796875,43328405,3918374.01171875,43510057,0.0,10477.7548828125,168.83112480576943,327.6015076018783,0.1244725181941846,0.0900567427829099,0.0312663839978991,True
0.2,mean_fill,54,43575790,43575790,608,5716086192.0,2828046680064.0,4530395.2109375,43328405,3068902.34765625,43490276,0.0,10477.7548828125,131.175732947125,254.7537890702644,0.1045594734202078,0.070565253429439,0.0243137763690346,True
0.2,road_topology_neighbor_fill,54,43575790,43575790,0,21904774272.0,28696418353152.0,12894218.6875,43328405,8829176.84375,43565155,0.0,10477.7548828125,502.6822066105973,811.5050240413524,0.297592738239499,0.2026660261796383,0.0774502775754497,True
0.3,correlation_topology_neighbor_fill,54,65367312,65367312,6799240,3823365072.0,1359157121024.0,2582706.59765625,64995485,2434791.03515625,65292226,0.0,10465.818359375,58.49047413789938,144.196433612199,0.0397367078291092,0.0372906727847852,0.0137778459993079,True
0.3,forward_fill,54,65367312,65367312,0,6801658240.0,3167210983424.0,4839778.078125,64995485,3727407.40625,65096875,0.0,10465.818359375,104.05289787654112,220.11933097390948,0.0744632966139878,0.0572593908117709,0.0210322139574238,True
0.3,function_curve_fit,54,65367312,65367312,0,8875770464.0,4352753893376.0,7076894.2890625,64995485,4948068.2578125,65366783,0.0,10465.818359375,135.78301130081653,258.0487401388489,0.1088828599257702,0.0756969829433475,0.0246563365881174,True
0.3,historical_linear_extrapolation,54,65367312,65367312,0,11403449920.0,7602695143424.0,8070474.640625,64995485,6071029.8125,65276815,0.0,10465.818359375,174.45187160212433,341.0385513697926,0.1241697733407943,0.0930043816093049,0.0325859421269526,True
0.3,mean_fill,54,65367312,65367312,14297,8690727376.0,4369305706496.0,6644045.875,64995485,4648974.8671875,65230791,0.0,10465.818359375,132.9521913949896,258.5389035996377,0.1022231909647262,0.0712696380944928,0.024703171287895,True
0.3,road_topology_neighbor_fill,54,65367312,65367312,0,32251971008.0,40741028757504.0,18908139.75,64995485,13115057.890625,65358235,0.0,10465.818359375,493.39601126630384,789.4700926615225,0.2909146650725046,0.2006641992493371,0.0754331926613589,True
