missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,historical_linear_extrapolation,mid,54,1260458,1260458,0,206294297.125,126829454592.0,144841.94110107422,1252978,109969.32299804688,1258190,0.0,10374.009765625,163.66614129546562,317.2092717715556,0.1155981518439064,0.0874027952837384,0.0305773060695055,True
0.05,historical_linear_extrapolation,short,54,8646091,8646091,0,1418041700.0,869940674560.0,1003612.396484375,8596931,752981.22265625,8631058,0.0,10472.572265625,164.00957380624376,317.20126996588016,0.116740776037911,0.0872408947612505,0.0302887640133127,True
0.05,mean_fill,long,54,988155,988155,0,124769193.5,60633772352.0,81944.40411376953,983166,65490.47622680664,986424,0.0,10384.48046875,126.26480005667128,247.71069521329835,0.0833474755166162,0.0663918114591764,0.0238539324098816,True
0.05,mean_fill,mid,54,1260458,1260458,0,162746219.625,78677781088.0,117202.6727294922,1252978,88291.84521484375,1258093,0.0,10374.009765625,129.11673346117047,249.83993722115076,0.093539290178672,0.0701791085514693,0.024083256413447,True
0.05,mean_fill,short,54,8646091,8646091,0,1117033984.0,541947241472.0,836431.0107421875,8596931,602807.4892578125,8630328,0.0,10472.572265625,129.1952610723158,250.3621105217848,0.0972941402858982,0.0698475758114653,0.0239064581433894,True
0.05,road_topology_neighbor_fill,long,54,988155,988155,0,514133838.25,715479389440.0,273330.25549316406,983166,201542.8833618164,987548,0.0,10384.48046875,520.2967532927527,850.9147023969539,0.2780102805560445,0.204084139061409,0.0819409988740033,True
0.05,road_topology_neighbor_fill,mid,54,1260458,1260458,0,659019927.0,922245174784.0,363544.4191894531,1252978,261695.4072265625,1259582,0.0,10374.009765625,522.8416393088861,855.3798319910677,0.2901442955817685,0.2077636924206304,0.0824541186403571,True
0.05,road_topology_neighbor_fill,short,54,8646091,8646091,0,4525122936.0,6318846345216.0,2555447.7734375,8596931,1794094.1015625,8640280,0.0,10472.572265625,523.3721153293436,854.887557787831,0.2972511671243494,0.2076430511004851,0.081631096554368,True
0.1,correlation_topology_neighbor_fill,long,54,825255,825255,17513,40627005.328125,12167676411.0,28472.44416809082,820254,27594.973655700684,824317,0.0,10468.935546875,49.22963850946071,121.4254561446278,0.0347117407145723,0.0334761671246628,0.0115986439691926,True
0.1,correlation_topology_neighbor_fill,mid,54,1291258,1291258,27905,60238842.3125,17291523968.0,90707.5622253418,1284162,40709.77772521973,1290062,0.0,10389.98046875,46.6512829446168,115.72045241878313,0.070635606897994,0.0315564505622363,0.0111376968192419,True
0.1,correlation_topology_neighbor_fill,short,54,19671416,19671416,399340,927369817.0,264961652736.0,607452.591796875,19558887,636115.0498046875,19654101,0.0,10465.4638671875,47.14301283649331,116.05763081637863,0.0310576257123871,0.0323655124090736,0.0110895830599784,True
0.1,forward_fill,long,54,825255,825255,0,174337467.90625,151442427296.0,112611.62149047852,820254,90099.45281982422,822415,0.0,10468.935546875,211.2528465822685,428.3805052893775,0.1372887197020417,0.1095547294490302,0.0409192036163839,True
0.1,forward_fill,mid,54,1291258,1291258,0,203641300.0,134963609152.0,182500.3316040039,1284162,106269.71453857422,1286998,0.0,10389.98046875,157.70767731932736,323.2971150134712,0.1421162840856558,0.0825717790847959,0.0311162389559685,True
0.1,forward_fill,short,54,19671416,19671416,0,1782009644.0,703949363200.0,1216661.025390625,19558887,990548.6572265624,19586036,0.0,10465.4638671875,90.58878344090736,189.17027659670384,0.0622050234960008,0.0505742283546585,0.0180756705099151,True
0.1,function_curve_fit,long,54,825255,825255,0,117313800.0,60508889880.0,101739.95375061037,820254,65404.25804138184,825255,0.0,10468.935546875,142.15460675791118,270.77933073458365,0.1240346938272905,0.0792533920320165,0.0258650298802739,True
0.1,function_curve_fit,mid,54,1291258,1291258,0,173729018.125,84733357376.0,301507.17822265625,1284162,96377.75030517578,1291248,0.0,10389.98046875,134.54245249593808,256.16553277481967,0.2347890517104977,0.0746392252341732,0.0246550543136524,True
0.1,function_curve_fit,short,54,19671416,19671416,0,2662634168.0,1305823950848.0,2210153.9375,19558887,1486779.529296875,19671303,0.0,10465.4638671875,135.3554908299433,257.6466521570068,0.1129999849940336,0.0755811411830154,0.0246187512972845,True
0.1,historical_linear_extrapolation,long,54,825255,825255,0,143716491.5625,94658298752.0,110154.52896118164,820254,76321.91302490234,823772,0.0,10468.935546875,174.14798039696822,338.67665776179814,0.1342931932805955,0.0926493168314804,0.0323506297507862,True
0.1,historical_linear_extrapolation,mid,54,1291258,1291258,0,212351830.125,131377238464.0,425402.94140625,1284162,112325.17864990234,1289269,0.0,10389.98046875,164.453447819878,318.9727273392038,0.3312689064201012,0.087123151685104,0.0307000314676798,True
0.1,historical_linear_extrapolation,short,54,19671416,19671416,0,3248439376.0,2014048409600.0,2430708.216796875,19558887,1727359.859375,19638371,0.0,10465.4638671875,165.1350048212086,319.97580560584777,0.124276407793392,0.0879584085347506,0.0305744503699517,True
