missing_rate_target,chunk_index,day_index,file_name,mask_path,missing_dataset_path,eligible_count,missing_count,observed_chunk_missing_rate,mask_scope,mechanism,seed,missing_unit,mask_uses_row_index,drops_entire_time_slot,drops_all_nodes_at_same_time,creates_temporal_blocks,forces_non_contiguous_missing,missingness_type
0.05,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_010_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_010.parquet,4034976,202117,0.05009125209171009,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_011_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_011.parquet,4034976,200960,0.049804509370068126,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,12,12,node_flow_chunk_012.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_012_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_012.parquet,4034976,201190,0.049861510948268344,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,13,13,node_flow_chunk_013.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_013_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_013.parquet,4034976,202581,0.05020624657990531,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,14,14,node_flow_chunk_014.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_014_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_014.parquet,4034976,201384,0.049909590540315484,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,15,15,node_flow_chunk_015.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_015_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_015.parquet,4034976,201115,0.049842923477116094,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,16,16,node_flow_chunk_016.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_016_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_016.parquet,4034976,201890,0.05003499401235596,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_017_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_017.parquet,4034976,202037,0.05007142545581436,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_018_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_018.parquet,4034976,201497,0.0499375956635182,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_019_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_019.parquet,4034976,201162,0.049854571625704835,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_020_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_020.parquet,4034976,201976,0.05005630764594387,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_021_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_021.parquet,4034976,201964,0.05005333365055951,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_022_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_022.parquet,4034976,201257,0.049878115755831016,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_023_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_023.parquet,4034976,201640,0.049973035775181814,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_024_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_024.parquet,4034976,201402,0.04991405153339202,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_025_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_025.parquet,4034976,201534,0.04994676548261997,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_026_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_026.parquet,4034976,201803,0.05001343254581936,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_027_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_027.parquet,4034976,201874,0.050031028685176816,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_028_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_028.parquet,4034976,202790,0.050258043666182896,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_029_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_029.parquet,4034976,201522,0.049943791487235614,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_030_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_030.parquet,4034976,202007,0.050063990467353464,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_031_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_031.parquet,4034976,201615,0.04996683995146439,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_032_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_032.parquet,4034976,201119,0.049843914808910886,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_033_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_033.parquet,4034976,201548,0.049950235143901726,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_034_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_034.parquet,4034976,201792,0.050010706383383695,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_035_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_035.parquet,4034976,201102,0.04983970164878304,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_036_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_036.parquet,4034976,201778,0.05000723672210194,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_037_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_037.parquet,4034976,202102,0.05008753459747964,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_038_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_038.parquet,4034976,202225,0.05011801805016932,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_039_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_039.parquet,4034976,202326,0.050143049177987675,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_040_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_040.parquet,4034976,201648,0.04997501843877138,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_041_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_041.parquet,4034976,202375,0.050155192992473806,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_042_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_042.parquet,4034976,201784,0.05000872371979412,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_043_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_043.parquet,4034976,200903,0.04979038289199242,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_044_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_044.parquet,4034976,202017,0.05006646879684043,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,45,45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_045_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_045.parquet,4034976,202100,0.05008703893158224,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,46,46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_046_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_046.parquet,4034976,201980,0.050057298977738654,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,47,47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_047_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_047.parquet,4034976,201418,0.049918016860571165,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,48,48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_048_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_048.parquet,4034976,202171,0.0501046350709397,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,49,49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_049_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_049.parquet,4034976,201526,0.0499447828190304,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
0.05,50,50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\masks\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_050_mask.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\g_mcar_pt\miss_data\rate_0p05__mechanism_mcar_point__scope_global__seed_42\node_flow_chunk_050.parquet,4034976,202259,0.050126444370425,global,mcar_point,42,node_time_observation,True,False,False,False,False,g_mcar_pt
