missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.3,zero_fill,2,2,low_flow,True,408044,408044,0,1280.263916015625,1316.607177734375,1.0,2.0,0.8844645984418611,522404000.0,707325657088.0,398540.0,398540,797080.0,398540,0.0,1488.59228515625
0.3,zero_fill,2,2,mid_flow,True,424795,424795,0,2254.7041015625,2311.487548828125,1.0,2.0,1.6240385102766028,957787072.0,2269668966400.0,424795.0,424795,849590.0,424795,1488.5931396484375,2911.88916015625
0.3,zero_fill,2,2,overall,True,1210518,1210518,0,2389.201171875,2666.69091796875,1.0,2.0,0.2586270042779144,2892171008.0,8608284672000.0,1201014.0,1201014,2402028.0,1201014,0.0,10310.953125
0.3,zero_fill,3,3,high_flow,True,372693,372693,0,3733.659423828125,3856.14990234375,1.0,2.0,0.5314380487582976,1391508736.0,5541904515072.0,372693.0,372693,745386.0,372693,2911.892333984375,10167.958984375
0.3,zero_fill,3,3,low_flow,True,411049,411049,0,1274.8028564453125,1313.5816650390625,1.0,2.0,0.8824316986090677,524006464.0,709263753216.0,400298.0,400298,800596.0,400298,0.0,1488.593017578125
0.3,zero_fill,3,3,mid_flow,True,426234,426234,0,2254.15673828125,2310.588134765625,1.0,2.0,1.623407839972994,960798272.0,2275585818624.0,426234.0,426234,852468.0,426234,1488.59326171875,2911.88818359375
0.3,zero_fill,3,3,overall,True,1209976,1209976,0,2377.1650390625,2654.626708984375,1.0,2.0,0.26107763741609435,2876312576.0,8526752120832.0,1199225.0,1199225,2398450.0,1199225,0.0,10167.958984375
0.3,zero_fill,4,4,high_flow,True,388368,388368,0,3738.903076171875,3862.5869140625,1.0,2.0,0.5171900157845843,1452070272.0,5794286272512.0,388368.0,388368,776736.0,388368,2911.89111328125,10380.30078125
0.3,zero_fill,4,4,low_flow,True,414395,414395,0,1280.5853271484375,1315.5831298828125,1.0,2.0,0.8837763056997661,530668160.0,717217923072.0,404688.0,404688,809376.0,404688,0.0,1488.5928955078125
0.3,zero_fill,4,4,mid_flow,True,410735,410735,0,2270.674560546875,2326.452880859375,1.0,2.0,1.6345534912833486,932645504.0,2223055306752.0,410735.0,410735,821470.0,410735,1488.593505859375,2911.88916015625
0.3,zero_fill,4,4,overall,True,1213498,1213498,0,2402.462158203125,2682.878173828125,1.0,2.0,0.25845861602336456,2915383040.0,8734558388224.0,1203791.0,1203791,2407582.0,1203791,0.0,10380.30078125
0.3,zero_fill,5,5,high_flow,True,393540,393540,0,3745.571044921875,3869.51513671875,1.0,2.0,0.517551216545616,1474032000.0,5892532076544.0,393540.0,393540,787080.0,393540,2911.8896484375,10388.4736328125
0.3,zero_fill,5,5,low_flow,True,409910,409910,0,1285.7122802734375,1318.1004638671875,1.0,2.0,0.88546731598384,527026336.0,712173092864.0,401347.0,401347,802694.0,401347,0.0,1488.593017578125
0.3,zero_fill,5,5,mid_flow,True,407106,407106,0,2277.06982421875,2332.58203125,1.0,2.0,1.6388602216107109,927008832.0,2215038681088.0,407106.0,407106,814212.0,407106,1488.5936279296875,2911.888916015625
0.3,zero_fill,5,5,overall,True,1210556,1210556,0,2418.7783203125,2699.203369140625,1.0,2.0,0.2598267526631689,2928066560.0,8819745751040.0,1201993.0,1201993,2403986.0,1201993,0.0,10388.4736328125
0.3,zero_fill,6,6,high_flow,True,400250,400250,0,3744.288330078125,3867.603759765625,1.0,2.0,0.5118428297261183,1498651392.0,5987082698752.0,400250.0,400250,800500.0,400250,2911.889892578125,10468.123046875
0.3,zero_fill,6,6,low_flow,True,407591,407591,0,1288.8140869140625,1319.501708984375,1.0,2.0,0.8864087105119802,525309024.0,709650415616.0,399741.0,399741,799482.0,399741,0.0,1488.5928955078125
0.3,zero_fill,6,6,mid_flow,True,402453,402453,0,2278.02392578125,2333.679931640625,1.0,2.0,1.6396304758216012,916797568.0,2191784017920.0,402453.0,402453,804906.0,402453,1488.5931396484375,2911.889404296875
0.3,zero_fill,6,6,overall,True,1210294,1210294,0,2429.788330078125,2709.999755859375,1.0,2.0,0.2588811522107947,2940758272.0,8888518705152.0,1202444.0,1202444,2404888.0,1202444,0.0,10468.123046875
0.3,zero_fill,7,7,high_flow,False,400683,400683,0,3742.189208984375,3865.781005859375,1.0,2.0,0.5199659955121511,1499431552.0,5987911598080.0,400683.0,400683,801366.0,400683,2911.889892578125,10346.5703125
0.3,zero_fill,7,7,low_flow,False,404165,404165,0,1290.771728515625,1321.6512451171875,1.0,2.0,0.8878527886879322,521684736.0,705980071936.0,396630.0,396630,793260.0,396630,0.0,1488.5927734375
0.3,zero_fill,7,7,mid_flow,False,406530,406530,0,2265.787109375,2322.597412109375,1.0,2.0,1.6318447992849177,921110400.0,2193009278976.0,406530.0,406530,813060.0,406530,1488.5931396484375,2911.888671875
0.3,zero_fill,7,7,overall,False,1211378,1211378,0,2428.825927734375,2708.541015625,1.0,2.0,0.26178153086658396,2942226432.0,8886904946688.0,1203843.0,1203843,2407686.0,1203843,0.0,10346.5703125
0.3,zero_fill,8,8,high_flow,False,395638,395638,0,3743.39892578125,3867.462890625,1.0,2.0,0.5261177961618055,1481030912.0,5917664346112.0,395638.0,395638,791276.0,395638,2911.89013671875,10262.8349609375
0.3,zero_fill,8,8,low_flow,False,402090,402090,0,1291.85009765625,1323.1148681640625,1.0,2.0,0.8888361604159235,519440000.0,703911952384.0,394114.0,394114,788228.0,394114,0.0,1488.592529296875
0.3,zero_fill,8,8,mid_flow,False,412665,412665,0,2266.87060546875,2323.365966796875,1.0,2.0,1.6323845017843177,935458176.0,2227577815040.0,412665.0,412665,825330.0,412665,1488.5931396484375,2911.888916015625
0.3,zero_fill,8,8,overall,False,1210393,1210393,0,2425.6005859375,2703.881591796875,1.0,2.0,0.26346341942440027,2935930112.0,8849154113536.0,1202417.0,1202417,2404834.0,1202417,0.0,10262.8349609375
0.3,zero_fill,9,9,high_flow,False,395960,395960,0,3742.91357421875,3866.22119140625,1.0,2.0,0.5221832146635885,1482044032.0,5918677794816.0,395960.0,395960,791920.0,395960,2911.891357421875,10315.8466796875
0.3,zero_fill,9,9,low_flow,False,405347,405347,0,1292.159423828125,1322.310791015625,1.0,2.0,0.8882957097077925,523772960.0,708751589376.0,397891.0,397891,795782.0,397891,0.0,1488.593017578125
0.3,zero_fill,9,9,mid_flow,False,407762,407762,0,2277.257080078125,2332.979248046875,1.0,2.0,1.6391402881807207,928578944.0,2219363794944.0,407762.0,407762,815524.0,407762,1488.593505859375,2911.887939453125
0.3,zero_fill,9,9,overall,False,1209069,1209069,0,2426.988037109375,2705.000732421875,1.0,2.0,0.2622180046305049,2934395904.0,8846792720384.0,1201613.0,1201613,2403226.0,1201613,0.0,10315.8466796875
0.3,zero_fill,10,10,high_flow,False,401257,401257,0,3744.59619140625,3868.470947265625,1.0,2.0,0.5162364396872618,1502545408.0,6004838236160.0,401257.0,401257,802514.0,401257,2911.89111328125,10405.494140625
0.3,zero_fill,10,10,low_flow,False,406378,406378,0,1291.66455078125,1320.652099609375,1.0,2.0,0.8871816600709612,524904064.0,708772757504.0,399518.0,399518,799036.0,399518,0.0,1488.5926513671875
0.3,zero_fill,10,10,mid_flow,False,403135,403135,0,2279.443359375,2334.90576171875,1.0,2.0,1.6404925813728164,918923392.0,2197805334528.0,403135.0,403135,806270.0,403135,1488.5936279296875,2911.88916015625
0.3,zero_fill,10,10,overall,False,1210770,1210770,0,2433.470703125,2712.954833984375,1.0,2.0,0.26072330610350264,2946373376.0,8911416459264.0,1203910.0,1203910,2407820.0,1203910,0.0,10405.494140625
0.3,zero_fill,11,11,high_flow,False,406988,406988,0,3745.281494140625,3870.21142578125,1.0,2.0,0.5199296255718857,1524284672.0,6096084795392.0,406988.0,406988,813976.0,406988,2911.890625,10355.6123046875
0.3,zero_fill,11,11,low_flow,False,401883,401883,0,1299.2352294921875,1326.853759765625,1.0,2.0,0.8913476369326535,522140576.0,707531440128.0,395366.0,395366,790732.0,395366,0.0,1488.5928955078125
0.3,zero_fill,11,11,mid_flow,False,403280,403280,0,2279.603515625,2335.771728515625,1.0,2.0,1.6411046646410417,919318528.0,2200227020800.0,403280.0,403280,806560.0,403280,1488.5933837890625,2911.8857421875
0.3,zero_fill,11,11,overall,False,1212151,1212151,0,2446.67822265625,2725.43359375,1.0,2.0,0.2631842051982116,2965743360.0,9003843190784.0,1205634.0,1205634,2411268.0,1205634,0.0,10355.6123046875
0.3,zero_fill,12,12,high_flow,False,405943,405943,0,3742.5048828125,3866.5751953125,1.0,2.0,0.5147499875517383,1519243648.0,6069011611648.0,405943.0,405943,811886.0,405943,2911.8916015625,10423.451171875
0.3,zero_fill,12,12,low_flow,False,401827,401827,0,1298.237060546875,1326.3209228515625,1.0,2.0,0.8909896171684508,521666720.0,706864807936.0,395040.0,395040,790080.0,395040,0.0,1488.593017578125
0.3,zero_fill,12,12,mid_flow,False,401770,401770,0,2278.694580078125,2334.801025390625,1.0,2.0,1.640422230101271,915511168.0,2190166982656.0,401770.0,401770,803540.0,401770,1488.59326171875,2911.885986328125
0.3,zero_fill,12,12,overall,False,1209540,1209540,0,2444.253173828125,2722.640869140625,1.0,2.0,0.2612033983990802,2956421888.0,8966046220288.0,1202753.0,1202753,2405506.0,1202753,0.0,10423.451171875
0.3,zero_fill,13,13,high_flow,False,408787,408787,0,3745.88818359375,3869.81591796875,1.0,2.0,0.5233756328081559,1531270400.0,6121779625984.0,408787.0,408787,817574.0,408787,2911.890625,10305.845703125
0.3,zero_fill,13,13,low_flow,False,403625,403625,0,1296.8966064453125,1324.8935546875,1.0,2.0,0.8900310384557035,523459904.0,708500324352.0,396860.0,396860,793720.0,396860,0.0,1488.592529296875
0.3,zero_fill,13,13,mid_flow,False,400081,400081,0,2280.695556640625,2336.814453125,1.0,2.0,1.6418351669255944,912462912.0,2184722907136.0,400081.0,400081,800162.0,400081,1488.593505859375,2911.8876953125
0.3,zero_fill,13,13,overall,False,1212493,1212493,0,2447.184326171875,2726.737548828125,1.0,2.0,0.2645816391372236,2967193856.0,9015003185152.0,1205728.0,1205728,2411456.0,1205728,0.0,10305.845703125
0.3,zero_fill,14,14,high_flow,False,402641,402641,0,3744.76611328125,3868.587158203125,1.0,2.0,0.5221524418205086,1507796352.0,6025911992320.0,402641.0,402641,805282.0,402641,2911.8896484375,10320.8125
