missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,function_curve_fit,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_044.parquet,807764,0,True,True,completed,recomputed,1.137491700001192,58136273,2026-06-15T03:59:34.395050764+00:00
0.2,function_curve_fit,45,45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_045.parquet,807460,0,True,True,completed,recomputed,0.9538254999988567,58157771,2026-06-15T03:59:45.091864347+00:00
0.2,function_curve_fit,46,46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_046.parquet,807251,0,True,True,completed,recomputed,0.9147486000001663,58174431,2026-06-15T03:59:54.927106857+00:00
0.2,function_curve_fit,47,47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_047.parquet,805524,0,True,True,completed,recomputed,1.0250221000005695,58195729,2026-06-15T04:00:06.427201986+00:00
0.2,function_curve_fit,48,48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_048.parquet,807198,0,True,True,completed,recomputed,1.0294644000005064,58222346,2026-06-15T04:00:18.790673971+00:00
0.2,function_curve_fit,49,49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_049.parquet,808271,0,True,True,completed,recomputed,0.9989548999983526,58221958,2026-06-15T04:00:30.592946529+00:00
0.2,function_curve_fit,50,50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_050.parquet,807692,0,True,True,completed,recomputed,0.9169328999996651,58196340,2026-06-15T04:00:40.790052891+00:00
0.2,function_curve_fit,51,51,node_flow_chunk_051.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_051.parquet,806182,0,True,True,completed,recomputed,1.2290757999999187,58127180,2026-06-15T04:00:51.294099808+00:00
0.2,function_curve_fit,52,52,node_flow_chunk_052.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_052.parquet,806618,0,True,True,completed,recomputed,1.0369004999993194,58177448,2026-06-15T04:01:01.882264614+00:00
0.2,function_curve_fit,53,53,node_flow_chunk_053.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_global_missingness_setting\imputed_datasets\rate_0p20__mechanism_mcar_point__scope_global__seed_42__method_function_curve_fit\node_flow_chunk_053.parquet,807146,0,True,True,completed,recomputed,1.4145604000004823,58209633,2026-06-15T04:01:13.240773916+00:00
