scenario,missing_rate,metric,rank,method,value
ntb_mix,0.3,NRMSE,5,topology_function_hybrid,0.042997134199467
ntb_mix,0.3,NRMSE,6,road_topology_neighbor_fill,0.0753988634005984
nso_mix,0.05,RMSE,1,forward_fill,233.5330122880532
nso_mix,0.05,RMSE,2,mean_fill,250.06236985963235
nso_mix,0.05,RMSE,3,function_curve_fit,256.8543765303125
nso_mix,0.05,RMSE,4,historical_linear_extrapolation,316.6988860854788
nso_mix,0.05,RMSE,5,topology_function_hybrid,476.7563906310462
nso_mix,0.05,RMSE,6,road_topology_neighbor_fill,854.5849743686517
nso_mix,0.05,MAE,1,forward_fill,107.36832629872276
nso_mix,0.05,MAE,2,mean_fill,128.9203829677245
nso_mix,0.05,MAE,3,function_curve_fit,135.12384732985862
nso_mix,0.05,MAE,4,historical_linear_extrapolation,163.5958441826414
nso_mix,0.05,MAE,5,topology_function_hybrid,303.0673123381783
nso_mix,0.05,MAE,6,road_topology_neighbor_fill,523.0318092166616
nso_mix,0.05,SMAPE,1,forward_fill,0.0586471894940284
nso_mix,0.05,SMAPE,2,mean_fill,0.0695724686190929
nso_mix,0.05,SMAPE,3,function_curve_fit,0.0753127554821144
nso_mix,0.05,SMAPE,4,historical_linear_extrapolation,0.0868840620629038
nso_mix,0.05,SMAPE,5,topology_function_hybrid,0.1373017848381635
nso_mix,0.05,SMAPE,6,road_topology_neighbor_fill,0.2073341938073426
nso_mix,0.05,NRMSE,1,forward_fill,0.0222994892147555
nso_mix,0.05,NRMSE,2,mean_fill,0.0238778366495911
nso_mix,0.05,NRMSE,3,function_curve_fit,0.0245263885524483
nso_mix,0.05,NRMSE,4,historical_linear_extrapolation,0.0302407926202625
nso_mix,0.05,NRMSE,5,topology_function_hybrid,0.0455242874948634
nso_mix,0.05,NRMSE,6,road_topology_neighbor_fill,0.0816022036127387
nso_mix,0.1,RMSE,1,forward_fill,213.2001790260041
nso_mix,0.1,RMSE,2,mean_fill,252.4068873765293
nso_mix,0.1,RMSE,3,function_curve_fit,258.068879851018
nso_mix,0.1,RMSE,4,historical_linear_extrapolation,320.6447767109664
nso_mix,0.1,RMSE,5,topology_function_hybrid,470.14705240065774
nso_mix,0.1,RMSE,6,road_topology_neighbor_fill,838.8382532454564
nso_mix,0.1,MAE,1,forward_fill,99.13692834229448
nso_mix,0.1,MAE,2,mean_fill,129.9716879011309
nso_mix,0.1,MAE,3,function_curve_fit,135.56483353695526
nso_mix,0.1,MAE,4,historical_linear_extrapolation,165.43599513290135
nso_mix,0.1,MAE,5,topology_function_hybrid,299.5173828591052
nso_mix,0.1,MAE,6,road_topology_neighbor_fill,515.5063973267032
nso_mix,0.1,SMAPE,1,forward_fill,0.0547081466111856
