Round,Client,Local_Epoch,Train_Loss,Val_Loss
4,0,2,5492.020476937573,7485.9633548924185
4,1,0,3814.215394947041,5467.311135684743
4,1,1,3754.359011182598,5395.511182598039
4,1,2,3694.228690695028,5322.921750536152
4,2,0,8061.084888235664,9599.594066351232
4,2,1,7945.129256004779,9471.420196963029
4,2,2,7827.803634305835,9341.810987015846
4,3,0,4507.001165896046,6094.700544084822
4,3,1,4436.4160754145405,6012.213657924107
4,3,2,4365.402752311862,5928.912946428572
4,4,0,945.1100996977054,3065.5170686141305
4,4,1,931.4652044165949,3028.479736328125
4,4,2,909.8949815738275,2997.5075046705165
5,0,0,5427.653537580503,7415.940253586065
5,0,1,5348.975187993999,7323.046042520492
5,0,2,5269.865259532347,7229.675829277664
5,1,0,3621.769629726891,5238.7258396522675
5,1,1,3567.119843640581,5172.902755438113
5,1,2,3512.3321652879904,5106.586966720281
5,2,0,7780.151801433602,9296.60263534331
5,2,1,7673.336609500754,9178.418188820422
5,2,2,7565.616038025025,9059.371946522888
5,3,0,4297.604850924745,5853.77294921875
5,3,1,4233.037507971939,5778.180873325893
5,3,2,4168.226961096939,5701.981584821428
5,4,0,874.4141275630975,2899.2561247452445
5,4,1,860.5605160967904,2869.5919136379075
5,4,2,842.0217831297691,2841.3554369055705
6,0,0,5211.563091197672,7166.245789574795
6,0,1,5139.821552071136,7081.366491098873
6,0,2,5067.809317595506,6996.180632044057
6,1,0,3446.8201059720764,5030.329087201287
6,1,1,3397.2277838869923,4970.3885186887255
6,1,2,3347.576775045956,4910.046223958333
6,2,0,7522.74189865757,9018.891436509683
6,2,1,7424.982389453911,8910.69785706426
6,2,2,7326.6006655165365,8801.920348261443
6,3,0,4106.842763472577,5633.883161272322
6,3,1,4048.1363699776784,5564.975516183035
6,3,2,3989.2975227200254,5495.621861049107
6,4,0,812.9564010904443,2746.3570503566575
6,4,1,800.9150611450954,2720.521484375
6,4,2,783.5095118173161,2692.0014966881795
7,0,0,5014.952513219043,6938.569616098873
7,0,1,4949.789983030226,6861.319127817623
7,0,2,4884.458738519102,6783.8544681736685
7,1,0,3288.384281446954,4840.886910232844
7,1,1,3243.550868785014,4786.5085544960175
7,1,2,3198.7048250941,4731.810613893995
7,2,0,7287.804547991072,8765.323868012763
7,2,1,7198.695429412412,8666.552555567781
7,2,2,7109.156698000503,8567.485798580547
7,3,0,3933.731310786033,5433.828683035715
7,3,1,3880.553332270408,5371.255650111607
7,3,2,3827.310975366709,5308.310756138393
7,4,0,759.2482852343446,2610.6359597911005
7,4,1,749.1193049650014,2587.5368917713995
7,4,2,733.5608705319232,2558.875387440557
8,0,0,4836.735486497365,6731.70604668289
8,0,1,4777.697841956967,6661.602915279201
8,0,2,4718.5579956912325,6591.330910604508
8,1,0,3145.424942828694,4669.335506663603
8,1,1,3104.9900510985644,4620.2078546262255
8,1,2,3064.569530155812,4570.6826267616425
8,2,0,7074.207174688758,8534.450539172536
8,2,1,6993.205803178445,8444.696337202904
8,2,2,6911.904260524082,8354.681468694982
8,3,0,3777.2140814333547,5252.510672433035
8,3,1,3729.159966916454,5195.825544084822
8,3,2,3681.0840292171556,5138.805943080357
8,4,0,714.1397885624666,2485.807760487432
8,4,1,702.7105022927989,2466.149111540421
8,4,2,690.3800372011173,2453.517732039742
9,0,0,4675.6025344884365,6544.369572873976
9,0,1,4622.22164423851,6480.7613505379095
9,0,2,4568.769667328381,6417.079918032787
9,1,0,3016.740040156688,4514.362505744485
9,1,1,2980.3398752078956,4469.976567287071
9,1,2,2943.959753041842,4425.263288909314
9,2,0,6880.534444950956,8325.166662081867
9,2,1,6807.055371290241,8243.5595771897
9,2,2,6733.356205592932,8161.883878466109
9,3,0,3636.0497747927297,5088.510811941965
9,3,1,3592.7094078842474,5037.262834821428
9,3,2,3549.360909598214,4985.728585379465
9,4,0,671.5083458941916,2387.030570652174
9,4,1,664.9661026474852,2367.866837211277
9,4,2,656.1052012947035,2349.3849885360055
10,0,0,4532.619356749487,6377.758020619877
10,0,1,4484.41202475483,6320.165479316086
10,0,2,4436.160172259221,6262.562724129099
10,1,0,2903.0223952862393,4376.967759076287
10,1,1,2870.283796721814,4336.94935278799
10,1,2,2837.5713547137607,4296.608604281556
10,2,0,6708.213914345448,8138.772041428257
10,2,1,6641.656721579477,8064.742208131602
10,2,2,6574.942929058728,7990.727628466109
10,3,0,3511.0748066804845,4943.012904575893
10,3,1,3472.024842554209,4896.718470982143
10,3,2,3432.9805185746172,4850.166643415178
10,4,0,638.0458207219284,2282.7060706097145
10,4,1,630.8738175860103,2268.7347518257475
10,4,2,618.0356590318383,2272.118365743886
11,0,0,4402.823845963847,6226.203141009221
11,0,1,4359.315388520931,6174.114177766393
11,0,2,4315.786889819965,6122.052094006148
11,1,0,2800.2050097382703,4252.331964231005
11,1,1,2770.771857766544,4216.303567325368
11,1,2,2741.371676404937,4179.9496160768995
11,2,0,6551.388888015594,7968.927431778169
11,2,1,6491.149754975164,7901.85205078125
11,2,2,6430.8069520639465,7834.877331371039
11,3,0,3397.8805803571427,4810.918736049107
11,3,1,3362.7129255022323,4769.154506138393
11,3,2,3327.566142179528,4727.131905691965
11,4,0,606.2851926436335,2200.84399944803
11,4,1,600.7500568650524,2192.484719981318
11,4,2,593.7783207863754,2178.2407438858695
12,0,0,4287.766059536007,6091.57764472336
12,0,1,4248.518514664447,6044.503353931865
12,0,2,4209.276377479142,5997.481157146516
