client_id,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,std_total_flow,peak_total_flow,is_active_region
0,201,6,21,116.483194,39.86056970750988,148,363481.9375,37361.55859375,431453.75,True
0,202,6,22,116.501194,39.86056970750988,307,751051.4375,26006.478515625,805838.875,True
0,232,7,22,116.501194,39.87856970750988,55,142701.890625,2570.603759765625,146068.640625,True
0,231,7,21,116.483194,39.87856970750988,205,511823.8125,56235.6953125,592528.3125,True
0,230,7,20,116.465194,39.87856970750988,340,841523.9375,42060.37109375,902592.375,True
0,229,7,19,116.447194,39.87856970750988,348,694350.625,36732.12890625,754805.4375,True
0,228,7,18,116.429194,39.87856970750988,246,648300.4375,16144.171875,670813.0625,True
0,227,7,17,116.411194,39.87856970750988,215,587540.5625,32442.02734375,646983.3125,True
0,226,7,16,116.393194,39.87856970750988,310,702181.9375,18479.46484375,736531.75,True
0,225,7,15,116.375194,39.87856970750988,172,463389.0625,21841.6484375,503809.4375,True
0,224,7,14,116.357194,39.87856970750988,214,553433.3125,15478.6953125,575062.75,True
0,223,7,13,116.339194,39.87856970750988,12,35362.37890625,617.5587768554688,35994.08984375,True
0,222,7,12,116.321194,39.87856970750988,48,97159.6953125,2130.58984375,103606.6484375,True
0,221,7,11,116.303194,39.87856970750988,421,1088315.75,62267.4765625,1184290.625,True
0,220,7,10,116.285194,39.87856970750988,132,266126.96875,13771.640625,298088.0625,True
0,219,7,9,116.267194,39.87856970750988,43,108968.703125,11278.8134765625,140492.890625,True
0,218,7,8,116.249194,39.87856970750988,182,417495.59375,11587.1201171875,451459.875,True
0,217,7,7,116.231194,39.87856970750988,13,37962.9296875,2594.55078125,44916.6875,True
0,245,8,5,116.195194,39.89656970750988,112,216678.75,10789.64453125,240856.5,True
0,246,8,6,116.213194,39.89656970750988,147,364974.71875,16200.7998046875,392567.25,True
0,248,8,8,116.249194,39.89656970750988,54,144321.71875,16617.330078125,167545.25,True
0,249,8,9,116.267194,39.89656970750988,166,440694.59375,44434.64453125,510215.0625,True
0,250,8,10,116.285194,39.89656970750988,102,286998.71875,11057.2333984375,305334.28125,True
0,251,8,11,116.303194,39.89656970750988,27,60793.4765625,6126.68505859375,72940.78125,True
0,252,8,12,116.321194,39.89656970750988,391,910445.0,39092.2578125,984957.75,True
0,253,8,13,116.339194,39.89656970750988,244,526901.625,32649.75,586680.4375,True
0,254,8,14,116.357194,39.89656970750988,514,1184290.5,81597.796875,1369526.5,True
0,255,8,15,116.375194,39.89656970750988,428,1112281.625,80959.140625,1268866.625,True
0,256,8,16,116.393194,39.89656970750988,251,705749.875,65932.546875,789830.0625,True
1,257,8,17,116.411194,39.89656970750988,503,1366918.25,59998.84765625,1486578.875,True
1,258,8,18,116.429194,39.89656970750988,611,1519624.0,79211.015625,1671925.25,True
1,259,8,19,116.447194,39.89656970750988,509,1121370.125,76511.7421875,1243577.0,True
1,260,8,20,116.465194,39.89656970750988,449,1118164.875,103975.8671875,1263368.875,True
1,261,8,21,116.483194,39.89656970750988,404,916880.25,97914.3984375,1063932.5,True
1,262,8,22,116.501194,39.89656970750988,194,381052.59375,27692.994140625,433007.9375,True
1,264,8,24,116.537194,39.89656970750988,6,14477.908203125,1866.174560546875,20045.5,True
1,265,8,25,116.555194,39.89656970750988,82,159403.890625,11981.7265625,179249.328125,True
1,266,8,26,116.573194,39.89656970750988,52,104109.015625,4639.33251953125,118159.078125,True
1,267,8,27,116.591194,39.89656970750988,74,200878.3125,10095.84765625,223117.59375,True
1,268,8,28,116.609194,39.89656970750988,37,82601.0546875,6235.64892578125,97645.9765625,True
1,299,9,29,116.627194,39.91456970750988,11,23234.607421875,2650.076904296875,30617.962890625,True
1,298,9,28,116.609194,39.91456970750988,127,424996.71875,11016.412109375,444412.0625,True
1,297,9,27,116.591194,39.91456970750988,217,667851.5,17969.337890625,697465.375,True
1,296,9,26,116.573194,39.91456970750988,82,224389.03125,9548.0400390625,238275.0625,True
1,295,9,25,116.555194,39.91456970750988,109,251553.515625,3684.780029296875,265079.75,True
1,294,9,24,116.537194,39.91456970750988,12,31960.14453125,841.4700927734375,33302.609375,True
1,293,9,23,116.519194,39.91456970750988,156,385464.0,15848.2470703125,410873.0,True
1,292,9,22,116.501194,39.91456970750988,245,499795.03125,16787.978515625,532965.875,True
1,291,9,21,116.483194,39.91456970750988,495,1203768.875,89218.765625,1328188.25,True
1,290,9,20,116.465194,39.91456970750988,667,1953915.625,86680.4453125,2059067.25,True
1,289,9,19,116.447194,39.91456970750988,663,1659180.75,38846.18359375,1716224.125,True
1,288,9,18,116.429194,39.91456970750988,698,1702057.75,78704.875,1819865.75,True
