seed,method,client_id,mse,rmse,mae,mape,dropout_rate
2024,Proposed,0,13.811179161071777,3.7163394840988055,3.202899217605591,3.9965085685253143,0.4
2024,Proposed,1,40.762046813964844,6.384516176967903,5.018369197845459,8.36552381515503,0.4
2024,Proposed,2,77.87889099121094,8.824901755329117,7.284491062164307,8.056651055812836,0.4
2024,Proposed,3,33.9040641784668,5.822719654806232,4.652824401855469,5.910107865929604,0.4
2024,Proposed,4,109.72376251220703,10.474911098057445,7.169862747192383,114.63987827301025,0.4
2025,FedAvg,0,10.551528930664062,3.248311704665065,2.696566343307495,3.5661503672599792,0.0
2025,FedAvg,1,21.391218185424805,4.625064127709453,3.642197608947754,5.734790489077568,0.0
2025,FedAvg,2,98.1728744506836,9.908222567680017,7.997567176818848,8.562827110290527,0.0
2025,FedAvg,3,29.492090225219727,5.430662042994364,4.173541069030762,5.935944989323616,0.0
2025,FedAvg,4,424.8498840332031,20.611886959548443,18.339733123779297,651.816987991333,0.0
2025,Proposed,0,9.754100799560547,3.1231555836302083,2.5760369300842285,3.4025926142930984,0.0
2025,Proposed,1,21.01951789855957,4.584704777688479,3.579955577850342,5.612340569496155,0.0
2025,Proposed,2,97.71705627441406,9.885193790432945,7.928874969482422,8.465007692575455,0.0
2025,Proposed,3,29.32146453857422,5.414929781499869,4.137980937957764,5.8719635009765625,0.0
2025,Proposed,4,418.7883605957031,20.464319206748684,18.18134307861328,629.5534133911133,0.0
2025,FedAvg,0,14.1549072265625,3.7623007889538154,3.193288803100586,4.234914109110832,0.2
2025,FedAvg,1,23.8194522857666,4.880517624777786,3.9097580909729004,6.2347885221242905,0.2
2025,FedAvg,2,100.33515930175781,10.016743947099666,8.208745002746582,8.86688083410263,0.2
2025,FedAvg,3,30.727901458740234,5.543275336724691,4.306102275848389,6.1626628041267395,0.2
2025,FedAvg,4,474.833740234375,21.790680123263133,19.693653106689453,744.163990020752,0.2
2025,Proposed,0,12.514840126037598,3.53763199415055,2.9806325435638428,3.9494074881076813,0.2
2025,Proposed,1,22.583003997802734,4.752157825430752,3.794127941131592,6.02099746465683,0.2
2025,Proposed,2,98.90676879882812,9.945188223398697,8.099328994750977,8.717774599790573,0.2
2025,Proposed,3,29.602977752685547,5.440861857526393,4.192634105682373,5.981949716806412,0.2
2025,Proposed,4,463.7823791503906,21.53560723895174,19.3709659576416,712.3086452484131,0.2
2025,FedAvg,0,16.723886489868164,4.089484868521727,3.4989264011383057,4.645225405693054,0.4
