seed,method,client_id,mse,rmse,mae,mape,noise_std
2024,Proposed,1,41.79297637939453,6.464748748357861,5.056942939758301,8.363116532564163,0.05
2024,Proposed,2,92.45407104492188,9.615304001690319,7.924454689025879,8.794176578521729,0.05
2024,Proposed,3,30.735103607177734,5.54392492798899,4.500594615936279,5.713269859552383,0.05
2024,Proposed,4,210.3699951171875,14.504137172447987,11.218564987182617,146.59515619277954,0.05
2025,FedAvg,0,10.551528930664062,3.248311704665065,2.696566343307495,3.5661503672599792,0.0
2025,FedAvg,1,21.391218185424805,4.625064127709453,3.642197608947754,5.734790489077568,0.0
2025,FedAvg,2,98.1728744506836,9.908222567680017,7.997567176818848,8.562827110290527,0.0
2025,FedAvg,3,29.492090225219727,5.430662042994364,4.173541069030762,5.935944989323616,0.0
2025,FedAvg,4,424.8498840332031,20.611886959548443,18.339733123779297,651.816987991333,0.0
2025,Proposed,0,9.754100799560547,3.1231555836302083,2.5760369300842285,3.4025926142930984,0.0
2025,Proposed,1,21.01951789855957,4.584704777688479,3.579955577850342,5.612340569496155,0.0
2025,Proposed,2,97.71705627441406,9.885193790432945,7.928874969482422,8.465007692575455,0.0
2025,Proposed,3,29.32146453857422,5.414929781499869,4.137980937957764,5.8719635009765625,0.0
2025,Proposed,4,418.7883605957031,20.464319206748684,18.18134307861328,629.5534133911133,0.0
2025,FedAvg,0,9.024555206298828,3.004089746711777,2.457758903503418,3.2518014311790466,0.02
2025,FedAvg,1,20.74676513671875,4.554861703358155,3.561598777770996,5.588683485984802,0.02
2025,FedAvg,2,96.17389678955078,9.806829089443273,7.838954448699951,8.351786434650421,0.02
2025,FedAvg,3,26.377912521362305,5.135943196859006,4.027733325958252,5.643315985798836,0.02
2025,FedAvg,4,413.093994140625,20.32471387598421,18.122169494628906,624.033260345459,0.02
2025,Proposed,0,8.49747085571289,2.915042170486199,2.3762826919555664,3.141431137919426,0.02
2025,Proposed,1,20.53466796875,4.5315193885439795,3.518836259841919,5.507154390215874,0.02
2025,Proposed,2,95.71357727050781,9.783331603830456,7.785200595855713,8.276230096817017,0.02
2025,Proposed,3,25.77116584777832,5.076530887109653,3.9936776161193848,5.596674978733063,0.02
2025,Proposed,4,407.10491943359375,20.176841165891002,17.971328735351562,604.9850463867188,0.02
2025,FedAvg,0,11.741844177246094,3.4266374446746033,2.8677382469177246,3.8021881133317947,0.05
2025,FedAvg,1,22.47214126586914,4.7404790122802085,3.8018710613250732,6.03070855140686,0.05
