missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,forward_fill,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_027.parquet,807212,0,True,True,completed,recomputed,0.6705208999999286,57175097,2026-06-15T16:54:19.404428482+00:00
0.2,forward_fill,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_028.parquet,808819,0,True,True,completed,recomputed,0.6303906999999072,57150275,2026-06-15T16:54:27.837639332+00:00
0.2,forward_fill,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_029.parquet,807360,0,True,True,completed,recomputed,0.6511659000000236,57113937,2026-06-15T16:54:35.836919546+00:00
0.2,forward_fill,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_030.parquet,805902,0,True,True,completed,recomputed,0.6516931999999542,57081301,2026-06-15T16:54:43.847929716+00:00
0.2,forward_fill,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_031.parquet,807774,0,True,True,completed,recomputed,0.6477965999999924,57093570,2026-06-15T16:54:51.753932238+00:00
0.2,forward_fill,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_032.parquet,807092,0,True,True,completed,recomputed,0.6266241999999238,57130141,2026-06-15T16:54:59.677902222+00:00
0.2,forward_fill,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_033.parquet,806956,0,True,True,completed,recomputed,0.7990907999999308,57138685,2026-06-15T16:55:08.040102959+00:00
0.2,forward_fill,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_034.parquet,807036,0,True,True,completed,recomputed,0.9738184999998794,57165083,2026-06-15T16:55:19.458201408+00:00
0.2,forward_fill,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_035.parquet,806365,0,True,True,completed,recomputed,0.9447955999999067,57169089,2026-06-15T16:55:31.564172268+00:00
0.2,forward_fill,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_temporal_block__rate_0p20__mixed_short_mid_long__seed_42__method_forward_fill\node_flow_chunk_036.parquet,807122,0,True,True,completed,recomputed,1.5049386999999115,57157412,2026-06-15T16:55:44.367102861+00:00
