missing_rate,method,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.1,road_topology_neighbor_fill,24613354,24613354,0,49209538.0,24613354.0,0.0,11840537712.0,18230015819776.0,5958347.1484375,24471163,4393861.5859375,24538650,0.0,10434.712890625,481.0615291195178,860.6134394299241,0.24348442893529418,0.1790588148059286,0.08247600566021675,1.9993024112032842,1.0,0.0,481.0615291195178,860.6134394299241,0.24348442893529418,0.1790588148059286,0.08247600566021675
0.2,correlation_topology_neighbor_fill,49226707,38875454,104921,73414369.0,38875454.0,0.0,1697462234.0,570385617920.0,1213040.765625,38632909,1280186.408203125,38837391,0.0,10472.572265625,43.66411345318308,121.12855776175745,0.03139915675583736,0.032962729350257465,0.011566266117766295,1.8884504602827274,1.0,0.0,43.66411345318308,121.12855776175745,0.03139915675583736,0.032962729350257465,0.011566266117766295
0.2,forward_fill,49226707,49226707,0,92374118.0,49226707.0,0.0,8145183488.0,5810890690560.0,5804877.171875,48937475,4331149.01953125,49053480,0.0,10472.572265625,165.46269259895854,343.57452961071107,0.11861824035414577,0.0882944292541783,0.032807081287799224,1.8765041098524018,1.0,0.0,165.46269259895854,343.57452961071107,0.11861824035414577,0.0882944292541783,0.032807081287799224
0.2,function_curve_fit,49226707,49226707,0,92374118.0,49226707.0,0.0,6786142488.0,3477472624640.0,5631912.765625,48937475,3828773.546875,49223547,0.0,10472.572265625,137.85489425486048,265.7856121871795,0.11508384455113387,0.07778337361334403,0.025379210135373316,1.8765041098524018,1.0,0.0,137.85489425486048,265.7856121871795,0.11508384455113387,0.07778337361334403,0.025379210135373316
0.2,historical_linear_extrapolation,49226707,49226707,0,92374118.0,49226707.0,0.0,7393732040.0,4344673153024.0,5765949.85546875,48937475,4044924.8046875,49150091,0.0,10472.572265625,150.19757547463007,297.08324756632317,0.11782279031496312,0.08229740214901128,0.02836774385806478,1.8765041098524018,1.0,0.0,150.19757547463007,297.08324756632317,0.11782279031496312,0.08229740214901128,0.02836774385806478
0.2,mean_fill,49226707,49226707,0,92374118.0,49226707.0,0.0,6453538688.0,3275263930368.0,5207368.25,48937475,3552499.76171875,49150301,0.0,10472.572265625,131.0983220551397,257.94241334074536,0.10640860097501965,0.07227829106720526,0.02463028249395913,1.8765041098524018,1.0,0.0,131.0983220551397,257.94241334074536,0.10640860097501965,0.07227829106720526,0.02463028249395913
0.2,road_topology_neighbor_fill,49226707,49226707,0,92374118.0,49226707.0,0.0,24076547744.0,38333290250240.0,12509737.78125,48937475,8904269.59375,49072730,0.0,10472.572265625,489.0952332846477,882.4450196293498,0.25562695625898146,0.1814504632970287,0.08426249036503408,1.8765041098524018,1.0,0.0,489.0952332846477,882.4450196293498,0.25562695625898146,0.1814504632970287,0.08426249036503408
0.3,correlation_topology_neighbor_fill,73840061,50889669,1469664,91048249.0,50821096.0,0.0,2204661248.0,791447392256.0,1700237.8125,50555077,1726193.212890625,50834506,0.0,10450.33203125,43.32237350571095,124.70854526597141,0.03363139596246684,0.03395711591828245,0.011933452917385878,1.789130304620374,0.9986525162897012,0.0,43.32237350571095,124.70854526597141,0.03363139596246684,0.03395711591828245,0.011933452917385878
0.3,forward_fill,73840061,73840061,21331,131381600.0,73744537.0,0.0,11938853296.0,8373934604288.0,11805928.8671875,73397022,6397858.4765625,73570554,0.0,10465.24609375,161.6853119338566,336.7586494118022,0.1608502435860068,0.08696221692937775,0.03217876067079965,1.7792726362996911,0.9987063390968759,0.0,161.6853119338566,336.7586494118022,0.1608502435860068,0.08696221692937775,0.03217876067079965
0.3,function_curve_fit,73840061,73840061,1210673,131381600.0,73744537.0,0.0,10174037776.0,5222009319424.0,11855462.1875,73397022,5783671.5859375,73834914,0.0,10465.24609375,137.784796467056,265.933345961837,0.16152511184309357,0.07833247541857366,0.025411093401870057,1.7792726362996911,0.9987063390968759,0.0,137.784796467056,265.933345961837,0.16152511184309357,0.07833247541857366,0.025411093401870057
0.3,historical_linear_extrapolation,73840061,73840061,2421493,131381600.0,73744537.0,0.0,11089351552.0,6529217556480.0,9950335.3515625,73397022,6107272.90625,73721658,0.0,10465.24609375,150.1806932689289,297.36136828929745,0.1355686522480776,0.08284231624646858,0.028414178283574818,1.7792726362996911,0.9987063390968759,0.0,150.1806932689289,297.36136828929745,0.1355686522480776,0.08284231624646858,0.028414178283574818
0.3,mean_fill,73840061,73840061,1210673,131381600.0,73744537.0,0.0,9680826696.0,4924452810752.0,9261433.6953125,73397022,5365895.8671875,73722037,0.0,10465.24609375,131.10534532196553,258.2456213690744,0.1261826902910652,0.07278550736718656,0.02467649771975286,1.7792726362996911,0.9987063390968759,0.0,131.10534532196553,258.2456213690744,0.1261826902910652,0.07278550736718656,0.02467649771975286
0.3,road_topology_neighbor_fill,73840061,73840061,28816,131381600.0,73744537.0,0.0,37057744320.0,61100768034816.0,20577894.09375,73397022,13650386.640625,73600342,0.0,10465.24609375,501.8650285242858,909.6562573221015,0.2803641555613796,0.18546634797736403,0.08692163081242416,1.7792726362996911,0.9987063390968759,0.0,501.8650285242858,909.6562573221015,0.2803641555613796,0.18546634797736403,0.08692163081242416
