missing_rate,method,flow_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,historical_linear_extrapolation,low_flow,3610776,3610776,0,6512933.0,3610776.0,0.0,381397904.0,208237579776.0,779002.017578125,3550419,409830.91796875,3595923,0.0,1487.3021240234375,105.6276833567078,240.1481692719601,0.2194112913371985,0.11397099380847421,0.16146562651461377,1.8037488340456456,1.0,0.0,105.6276833567078,240.1481692719601,0.2194112913371985,0.11397099380847421,0.16146562651461377
0.05,historical_linear_extrapolation,mid_flow,3518737,3518737,0,7044346.0,3518737.0,0.0,578393459.0,294707146752.0,262013.82421875,3518737,257585.345703125,3518737,1487.30224609375,2896.583740234375,164.37530255884425,289.4022678300039,0.07446246315616939,0.07320392109530352,0.20535447959350406,2.0019529734674686,1.0,0.0,164.37530255884425,289.4022678300039,0.07446246315616939,0.07320392109530352,0.20535447959350406
0.05,mean_fill,high_flow,3764096,3764096,0,9009348.0,3764096.0,0.0,529115313.0,253588711680.0,141967.04150390625,3764096,147135.173828125,3764096,2896.583984375,10389.18359375,140.56902719803108,259.5581159342136,0.03771610540855128,0.039089112984399176,0.03464193063372097,2.393495808821029,1.0,0.0,140.56902719803108,259.5581159342136,0.03771610540855128,0.039089112984399176,0.03464193063372097
0.05,mean_fill,low_flow,3610776,3610776,0,6512933.0,3610776.0,0.0,342363135.0,176626129664.0,694248.734375,3550419,374886.16552734375,3595957,0.0,1487.3021240234375,94.81705179163703,221.17050149744026,0.19553994454598175,0.1042521269101226,0.14870583314917324,1.8037488340456456,1.0,0.0,94.81705179163703,221.17050149744026,0.19553994454598175,0.1042521269101226,0.14870583314917324
0.05,mean_fill,mid_flow,3518737,3518737,0,7044346.0,3518737.0,0.0,512752911.5,233778451200.0,233414.27709960938,3518737,228938.34692382812,3518737,1487.30224609375,2896.583740234375,145.72072635721284,257.75603037773027,0.06633467550988022,0.06506264802508062,0.18289889667139142,2.0019529734674686,1.0,0.0,145.72072635721284,257.75603037773027,0.06633467550988022,0.06506264802508062,0.18289889667139142
0.05,road_topology_neighbor_fill,high_flow,3764096,3764096,0,9009348.0,3764096.0,0.0,2449079068.0,3801783033856.0,639945.6025390625,3764096,640728.923828125,3764096,2896.583984375,10389.18359375,650.6420314465944,1004.99365189584,0.17001309279547133,0.17022119622563425,0.1341315036557348,2.393495808821029,1.0,0.0,650.6420314465944,1004.99365189584,0.17001309279547133,0.17022119622563425,0.1341315036557348
0.05,road_topology_neighbor_fill,low_flow,3610776,3610776,0,6512933.0,3610776.0,0.0,1255887140.0,1998176477184.0,1211300.287109375,3550419,710911.6826171875,3579408,0.0,1487.3021240234375,347.8164084396263,743.9035778406914,0.34117108068354046,0.19861152531848492,0.5001697811257672,1.8037488340456456,1.0,0.0,347.8164084396263,743.9035778406914,0.34117108068354046,0.19861152531848492,0.5001697811257672
0.05,road_topology_neighbor_fill,mid_flow,3518737,3518737,0,7044346.0,3518737.0,0.0,1505043406.0,2078598983680.0,697843.1630859375,3518737,578174.439453125,3518737,1487.30224609375,2896.583740234375,427.7226192238863,768.585083357751,0.19832205791053367,0.1643130587631656,0.5453737145866885,2.0019529734674686,1.0,0.0,427.7226192238863,768.585083357751,0.19832205791053367,0.1643130587631656,0.5453737145866885
0.1,correlation_topology_neighbor_fill,high_flow,7466465,6459017,0,14852918.0,6459017.0,0.0,343151682.0,88162841088.0,89027.40954589844,6459017,89997.77941894531,6459017,2896.583984375,10434.712890625,53.12753968599247,116.83139833924267,0.013783430132773831,0.013933665048248877,0.015498726513203512,2.2995632307516765,1.0,0.0,53.12753968599247,116.83139833924267,0.013783430132773831,0.013933665048248877,0.015498726513203512
0.1,correlation_topology_neighbor_fill,low_flow,7263234,6625929,0,11779802.0,6625929.0,0.0,184001253.5,46305602560.0,311630.45068359375,6514204,373032.96533203125,6610376,0.0,1487.3021240234375,27.76988004248159,83.59751752363144,0.04783860786115905,0.056431429215528926,0.056207488830503465,1.7778340214632544,1.0,0.0,27.76988004248159,83.59751752363144,0.04783860786115905,0.056431429215528926,0.056207488830503465
0.1,correlation_topology_neighbor_fill,mid_flow,7056478,6324307,0,12381714.0,6324307.0,0.0,273317301.5,66629676288.0,123847.97277832031,6324307,124104.89831542969,6324307,1487.30224609375,2896.583740234375,43.216956656278704,102.64253745559029,0.019582852758147307,0.019623477847522216,0.07283324011728498,1.957797747642548,1.0,0.0,43.216956656278704,102.64253745559029,0.019582852758147307,0.019623477847522216,0.07283324011728498
0.1,forward_fill,high_flow,7466465,7466465,0,17170119.0,7466465.0,0.0,1397092532.0,1180309163008.0,374607.814453125,7466465,411062.40576171875,7466465,2896.583984375,10434.712890625,187.11566075780172,397.59450405491765,0.05017204452885335,0.05505448773438552,0.05274445542119408,2.2996316195147233,1.0,0.0,187.11566075780172,397.59450405491765,0.05017204452885335,0.05505448773438552,0.05274445542119408
0.1,forward_fill,low_flow,7263234,7263234,0,12719279.0,7263234.0,0.0,868201093.0,531953872384.0,1528365.197265625,7141661,862419.8779296875,7190782,0.0,1487.3021240234375,119.533680589115,270.62752721754987,0.21400696522358384,0.1199340875484318,0.18195867728975637,1.7511867303187534,1.0,0.0,119.533680589115,270.62752721754987,0.21400696522358384,0.1199340875484318,0.18195867728975637
0.1,forward_fill,mid_flow,7056478,7056478,0,13669871.0,7056478.0,0.0,1394940898.0,913985190912.0,626745.697265625,7056478,643655.888671875,7056478,1487.30224609375,2896.583740234375,197.68231375482216,359.8948098219225,0.08881848668211323,0.09121489341735,0.2553746794506694,1.9372087605176407,1.0,0.0,197.68231375482216,359.8948098219225,0.08881848668211323,0.09121489341735,0.2553746794506694
0.1,function_curve_fit,high_flow,7466465,7466465,0,17170119.0,7466465.0,0.0,1132686952.0,557062029312.0,304978.60986328125,7466465,316869.25732421875,7466465,2896.583984375,10434.712890625,151.70324269918896,273.1456330961572,0.04084645275418572,0.04243899319480085,0.03623520325709569,2.2996316195147233,1.0,0.0,151.70324269918896,273.1456330961572,0.04084645275418572,0.04243899319480085,0.03623520325709569
0.1,function_curve_fit,low_flow,7263234,7263234,0,12719279.0,7263234.0,0.0,734457111.0,396577447424.0,1518034.916015625,7141661,841594.41796875,7263218,0.0,1487.3021240234375,101.11984702682028,233.66786394625328,0.21256048362077465,0.11587073635525603,0.15710853912730044,1.7511867303187534,1.0,0.0,101.11984702682028,233.66786394625328,0.21256048362077465,0.11587073635525603,0.15710853912730044
0.1,function_curve_fit,mid_flow,7056478,7056478,0,13669871.0,7056478.0,0.0,1080678373.0,504640050688.0,494051.39501953125,7056478,483722.85693359375,7056478,1487.30224609375,2896.583740234375,153.14699103433753,267.42183325776193,0.07001387873944073,0.06855018281550566,0.18975757105278307,1.9372087605176407,1.0,0.0,153.14699103433753,267.42183325776193,0.07001387873944073,0.06855018281550566,0.18975757105278307
0.1,historical_linear_extrapolation,high_flow,7466465,7466465,0,17170119.0,7466465.0,0.0,1158788986.0,633080582656.0,311965.86669921875,7466465,324405.74853515625,7466465,2896.583984375,10434.712890625,155.19914524477113,291.1869985383573,0.041782271355885116,0.04344837195850463,0.03862855121738882,2.2996316195147233,1.0,0.0,155.19914524477113,291.1869985383573,0.041782271355885116,0.04344837195850463,0.03862855121738882
0.1,historical_linear_extrapolation,low_flow,7263234,7263234,0,12719279.0,7263234.0,0.0,768807936.0,421412782080.0,1468272.271484375,7141661,828397.6923828125,7234282,0.0,1487.3021240234375,105.84925888385257,240.87339513256225,0.20559254653565537,0.1145100083716411,0.1619532381766211,1.7511867303187534,1.0,0.0,105.84925888385257,240.87339513256225,0.20559254653565537,0.1145100083716411,0.1619532381766211
0.1,historical_linear_extrapolation,mid_flow,7056478,7056478,0,13669871.0,7056478.0,0.0,1159667418.0,591558117888.0,525578.7470703125,7056478,516903.30322265625,7056478,1487.30224609375,2896.583740234375,164.34082526722256,289.53742875748964,0.07448173820853866,0.07325230847777833,0.20545038727983053,1.9372087605176407,1.0,0.0,164.34082526722256,289.53742875748964,0.07448173820853866,0.07325230847777833,0.20545038727983053
