missing_rate,method,length_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,historical_linear_extrapolation,mid,4913467,4913467,0,10232666.0,4913467.0,0.0,696047956.0,369077217792.0,587739.55859375,4885805,376171.66015625,4906690,0.0,10357.185546875,141.6612660673207,274.07195472990645,0.1202953369186347,0.0766650552931304,0.02646201069677662,2.082575501168523,1.0,0.0,141.6612660673207,274.07195472990645,0.1202953369186347,0.0766650552931304,0.02646201069677662
0.05,historical_linear_extrapolation,short,1612014,1612014,0,3398712.0,1612014.0,0.0,227672765.0,119384540672.0,154607.44702148438,1602516,124217.21032714844,1609698,0.0,10378.2509765625,141.2349799691566,272.1382838924029,0.09647794282333803,0.07716802178243896,0.02622197945559233,2.1083638231429753,1.0,0.0,141.2349799691566,272.1382838924029,0.09647794282333803,0.07716802178243896,0.02622197945559233
0.05,mean_fill,long,4368128,4368128,0,8935249.0,4368128.0,0.0,555905238.0,269603233792.0,412674.255859375,4344931,298294.48779296875,4362377,0.0,10389.18359375,127.2639533456895,248.436195829021,0.09497832206296832,0.06837888788451084,0.023912966171709297,2.0455556705298013,1.0,0.0,127.2639533456895,248.436195829021,0.09497832206296832,0.06837888788451084,0.023912966171709297
0.05,mean_fill,mid,4913467,4913467,0,10232666.0,4913467.0,0.0,623762145.0,297805609728.0,514482.4228515625,4885805,339982.361328125,4906711,0.0,10357.185546875,126.94949309723664,246.19113772017533,0.10530146472312393,0.06928925737181689,0.023770080839621226,2.082575501168523,1.0,0.0,126.94949309723664,246.19113772017533,0.10530146472312393,0.06928925737181689,0.023770080839621226
0.05,mean_fill,short,1612014,1612014,0,3398712.0,1612014.0,0.0,204563961.75,96584444288.0,142473.37133789062,1602516,112682.84252929688,1609702,0.0,10378.2509765625,126.89961858271703,244.7761998444249,0.08890605231891015,0.07000230013337679,0.02358549628422072,2.1083638231429753,1.0,0.0,126.89961858271703,244.7761998444249,0.08890605231891015,0.07000230013337679,0.02358549628422072
0.05,road_topology_neighbor_fill,long,4368128,4368128,0,8935249.0,4368128.0,0.0,2085726424.0,3148124958720.0,1025746.869140625,4344931,770367.9697265625,4356027,0.0,10389.18359375,477.48747838891165,848.9425533840661,0.23607897781129897,0.17685105480901805,0.08171407750410524,2.0455556705298013,1.0,0.0,477.48747838891165,848.9425533840661,0.23607897781129897,0.17685105480901805,0.08171407750410524
0.05,road_topology_neighbor_fill,mid,4913467,4913467,0,10232666.0,4913467.0,0.0,2351729452.0,3562135306240.0,1138024.30859375,4885805,872243.6396484375,4899051,0.0,10357.185546875,478.6293368816764,851.4539884513331,0.23292462728122593,0.17804338833142122,0.0822090117626826,2.082575501168523,1.0,0.0,478.6293368816764,851.4539884513331,0.23292462728122593,0.17804338833142122,0.0822090117626826
0.05,road_topology_neighbor_fill,short,1612014,1612014,0,3398712.0,1612014.0,0.0,772553741.0,1168298221568.0,385317.86376953125,1602516,287203.4462890625,1607163,0.0,10378.2509765625,479.2475381727454,851.3192488660005,0.24044556420624272,0.17870212684653797,0.08202916375683716,2.1083638231429753,1.0,0.0,479.2475381727454,851.3192488660005,0.24044556420624272,0.17870212684653797,0.08202916375683716
0.1,correlation_topology_neighbor_fill,long,8218278,7315372,0,14317565.0,7315372.0,0.0,299168320.5,75077167232.0,191130.56665039062,7274278,218077.38452148438,7309564,0.0,10404.99609375,40.89584514635756,101.30613136282673,0.026274850459439496,0.02983452700071911,0.009736296914486934,1.957188916708542,1.0,0.0,40.89584514635756,101.30613136282673,0.026274850459439496,0.02983452700071911,0.009736296914486934
0.1,correlation_topology_neighbor_fill,mid,10078310,8979318,0,18217048.0,8979318.0,0.0,371841289.5,93679747840.0,243277.68774414062,8927331,273201.189453125,8972148,0.0,10434.712890625,41.410860991892704,102.14125281761775,0.02725088693856435,0.03044992006965612,0.00978860212909029,2.0287785776158054,1.0,0.0,41.410860991892704,102.14125281761775,0.02725088693856435,0.03044992006965612,0.00978860212909029
