missing_rate,method,chunk_index,day_index,group_dimension,flow_group,length_group,neighbor_coverage_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,function_curve_fit,6,6,length_group,overall,mid,overall,True,90770,90770,0,189463.0,90770.0,0.0,140.04978942871094,265.1383361816406,0.08815033733844757,0.08138468861579895,0.026929962018570352,12712319.0,6380980736.0,7944.37255859375,90123,7387.2880859375,90770,0.0,9845.4775390625,140.04978942871094,265.1383361816406,0.08815033733844757,0.08138468861579895,0.026929962018570352
0.05,function_curve_fit,6,6,length_group,overall,short,overall,True,30490,30490,0,64149.0,30490.0,0.0,142.35104370117188,267.240234375,0.07897060364484787,0.0812748372554779,0.03176004358252233,4340283.5,2177514752.0,2390.677001953125,30273,2478.06982421875,30490,0.0,8414.353515625,142.35104370117188,267.240234375,0.07897060364484787,0.0812748372554779,0.03176004358252233
0.05,function_curve_fit,6,6,overall,overall,overall,overall,True,201267,201267,0,417567.0,201267.0,0.0,142.38760375976562,270.1155700683594,0.0850336104631424,0.08094126731157303,0.027435497059097466,28657926.0,14684925952.0,17002.21484375,199947,16290.8056640625,201267,0.0,9845.4775390625,142.38760375976562,270.1155700683594,0.0850336104631424,0.08094126731157303,0.027435497059097466
0.05,function_curve_fit,7,7,flow_group,high_flow,overall,overall,False,69304,69304,0,165899.0,69304.0,0.0,150.42715454101562,267.5030517578125,0.04038122668862343,0.04232567548751831,0.038890321656431664,10425204.0,4959246848.0,2798.58056640625,69304,2933.338623046875,69304,2896.583984375,9774.98046875,150.42715454101562,267.5030517578125,0.04038122668862343,0.04232567548751831,0.038890321656431664
0.05,function_curve_fit,7,7,flow_group,low_flow,overall,overall,False,65779,65779,0,119089.0,65779.0,0.0,94.32879638671875,206.84947204589844,0.1506587266921997,0.11353463679552078,0.13907698085140993,6204854.0,2814466560.0,9740.3876953125,64652,7464.107421875,65743,0.0,1487.302001953125,94.32879638671875,206.84947204589844,0.1506587266921997,0.11353463679552078,0.13907698085140993
0.05,function_curve_fit,7,7,flow_group,mid_flow,overall,overall,False,66065,66065,0,131719.0,66065.0,0.0,141.00331115722656,241.79029846191406,0.06408604979515076,0.06396715342998505,0.17157200498965194,9315384.0,3862328064.0,4233.8447265625,66065,4225.98974609375,66065,1487.3026123046875,2896.56689453125,141.00331115722656,241.79029846191406,0.06408604979515076,0.06396715342998505,0.17157200498965194
0.05,function_curve_fit,7,7,length_group,overall,long,overall,False,81553,81553,0,165935.0,81553.0,0.0,131.5399627685547,248.5172576904297,0.09176243096590042,0.07340054959058762,0.025664060967577552,10727479.0,5036780544.0,7441.74951171875,81098,5984.419921875,81531,0.0,9683.4736328125,131.5399627685547,248.5172576904297,0.09176243096590042,0.07340054959058762,0.025664060967577552
0.05,function_curve_fit,7,7,length_group,overall,mid,overall,False,90350,90350,0,188866.0,90350.0,0.0,126.56812286376953,232.6640625,0.08076100051403046,0.07220540195703506,0.024869882189361342,11435430.0,4890876928.0,7255.72998046875,89842,6523.0361328125,90340,0.0,9355.25390625,126.56812286376953,232.6640625,0.08076100051403046,0.07220540195703506,0.024869882189361342
0.05,function_curve_fit,7,7,length_group,overall,short,overall,False,29245,29245,0,61906.0,29245.0,0.0,129.33953857421875,241.69459533691406,0.07136388123035431,0.07236344367265701,0.02472583920853822,3782535.0,1708384000.0,2075.3330078125,29081,2115.9794921875,29241,0.0,9774.98046875,129.33953857421875,241.69459533691406,0.07136388123035431,0.07236344367265701,0.02472583920853822
0.05,function_curve_fit,7,7,overall,overall,overall,overall,False,201148,201148,0,416707.0,201148.0,0.0,128.98681640625,240.51644897460938,0.0838552787899971,0.07271289080381393,0.02460531248563876,25945440.0,11636041728.0,16772.81640625,200021,14623.435546875,201112,0.0,9774.98046875,128.98681640625,240.51644897460938,0.0838552787899971,0.07271289080381393,0.02460531248563876
0.05,function_curve_fit,8,8,flow_group,high_flow,overall,overall,False,69716,69716,0,167347.0,69716.0,0.0,147.4421844482422,259.2552490234375,0.03962757810950279,0.04126586392521858,0.03527739883086318,10279079.0,4685840896.0,2762.67626953125,69716,2876.890869140625,69716,2896.586181640625,10245.6328125,147.4421844482422,259.2552490234375,0.03962757810950279,0.04126586392521858,0.03527739883086318
0.05,function_curve_fit,8,8,flow_group,low_flow,overall,overall,False,65292,65292,0,117968.0,65292.0,0.0,98.89425659179688,219.58680725097656,2.1402721405029297,0.12304669618606567,0.14764103521854685,6457004.0,3148273664.0,136831.875,63932,8033.96484375,65292,0.0,1487.302001953125,98.89425659179688,219.58680725097656,2.1402721405029297,0.12304669618606567,0.14764103521854685
0.05,function_curve_fit,8,8,flow_group,mid_flow,overall,overall,False,66855,66855,0,133506.0,66855.0,0.0,148.7130126953125,247.40635681152344,0.067897729575634,0.06777995824813843,0.17555708925676158,9942208.0,4092187904.0,4539.302734375,66855,4531.42919921875,66855,1487.3037109375,2896.568115234375,148.7130126953125,247.40635681152344,0.067897729575634,0.06777995824813843,0.17555708925676158
0.05,function_curve_fit,8,8,length_group,overall,long,overall,False,81192,81192,0,166382.0,81192.0,0.0,133.46392822265625,243.09854125976562,0.0807017982006073,0.07688558101654053,0.02842101500760039,10836203.0,4798195712.0,6508.51953125,80649,6242.494140625,81192,0.0,8553.478515625,133.46392822265625,243.09854125976562,0.0807017982006073,0.07688558101654053,0.02842101500760039
