missing_rate,method,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.1,mean_fill,21786177,21786177,0,43559269.0,21786177.0,0.0,2767214332.0,1328441249792.0,2130476.662109375,21664604,1510030.103515625,21757283,0.0,10434.712890625,127.0169764984467,246.93386977205137,0.09833905397529422,0.06940343164703171,0.023664653964164888,1.999399389805747,1.0,0.0,127.0169764984467,246.93386977205137,0.09833905397529422,0.06940343164703171,0.023664653964164888
0.1,road_topology_neighbor_fill,21786177,21786177,0,43559269.0,21786177.0,0.0,10487708256.0,16161613545472.0,5275714.171875,21664604,3882386.0546875,21722368,0.0,10434.712890625,481.3927774478285,861.2948393136512,0.243517683123818,0.17872757034074277,0.08254130691870554,1.999399389805747,1.0,0.0,481.3927774478285,861.2948393136512,0.243517683123818,0.17872757034074277,0.08254130691870554
0.2,correlation_topology_neighbor_fill,43577742,34258997,93500,64703275.0,34258997.0,0.0,1369696190.0,340486609920.0,961084.296875,34051846,1050532.79296875,34229326,0.0,10472.572265625,39.980627278726224,99.69254814026172,0.028224146698977787,0.0306910160301944,0.00951939462547238,1.8886505930106476,1.0,0.0,39.980627278726224,99.69254814026172,0.028224146698977787,0.0306910160301944,0.00951939462547238
0.2,forward_fill,43577742,43577742,0,81771661.0,43577742.0,0.0,7179053344.0,5075596357632.0,5010716.5546875,43330438,3792097.98046875,43430508,0.0,10472.572265625,164.7412879721946,341.28026620181754,0.11563964700027957,0.0873141520810383,0.03258800775450653,1.8764547506844205,1.0,0.0,164.7412879721946,341.28026620181754,0.11563964700027957,0.0873141520810383,0.03258800775450653
0.2,function_curve_fit,43577742,43577742,0,81771661.0,43577742.0,0.0,5878352992.0,2892121108480.0,4859995.75,43330438,3302165.79296875,43577704,0.0,10472.572265625,134.89347364533023,257.6178052286223,0.11216124217345784,0.0757764978386367,0.024599286468924425,1.8764547506844205,1.0,0.0,134.89347364533023,257.6178052286223,0.11216124217345784,0.0757764978386367,0.024599286468924425
0.2,historical_linear_extrapolation,43577742,43577742,0,81771661.0,43577742.0,0.0,6162259000.0,3276185497600.0,4847177.96484375,43330438,3359152.578125,43519014,0.0,10472.572265625,141.4084052358656,274.19016954118626,0.11186542736641042,0.07718815913717622,0.02618174051099018,1.8764547506844205,1.0,0.0,141.4084052358656,274.19016954118626,0.11186542736641042,0.07718815913717622,0.02618174051099018
0.2,mean_fill,43577742,43577742,0,81771661.0,43577742.0,0.0,5523049680.0,2640365793280.0,4450860.046875,43330438,3038432.12109375,43519124,0.0,10472.572265625,126.74015280553085,246.14991332572694,0.10271901813858886,0.06981831989756389,0.023504245860750506,1.8764547506844205,1.0,0.0,126.74015280553085,246.14991332572694,0.10271901813858886,0.06981831989756389,0.023504245860750506
0.2,road_topology_neighbor_fill,43577742,43577742,0,81771661.0,43577742.0,0.0,21329651968.0,33983347294208.0,10880536.28125,43330438,7870269.015625,43446074,0.0,10472.572265625,489.4620737347979,883.0813547618262,0.25110607654716066,0.18115029255865558,0.08432325243153853,1.8764547506844205,1.0,0.0,489.4620737347979,883.0813547618262,0.25110607654716066,0.18115029255865558,0.08432325243153853
0.3,correlation_topology_neighbor_fill,65365148,44706847,225830,80002645.0,44646110.0,0.0,1743811096.0,431079203328.0,1259124.123046875,44421869,1397222.595703125,44664389,0.0,10450.33203125,39.005459186151064,98.19548394876227,0.028344690383173093,0.03128269807302469,0.009396398473763784,1.7894942356368813,0.9986414385250653,0.0,39.005459186151064,98.19548394876227,0.028344690383173093,0.03128269807302469,0.009396398473763784
0.3,forward_fill,65365148,65365148,0,116307269.0,65280284.0,0.0,10511815760.0,7284061888512.0,7659668.0703125,64985697,5594513.0703125,65135664,0.0,10465.24609375,160.8168279524128,333.82102716136177,0.11786698341194217,0.08589016717957308,0.031898058026626305,1.7793468317397523,0.998701693446789,0.0,160.8168279524128,333.82102716136177,0.11786698341194217,0.08589016717957308,0.031898058026626305
0.3,function_curve_fit,65365148,65365148,0,116307269.0,65280284.0,0.0,8809055072.0,4322528555008.0,7198198.8046875,64985697,4984405.3046875,65365095,0.0,10465.24609375,134.76684963675137,257.15549625278834,0.11076589368099722,0.07625484679074512,0.02457233150077239,1.7793468317397523,0.998701693446789,0.0,134.76684963675137,257.15549625278834,0.11076589368099722,0.07625484679074512,0.02457233150077239
0.3,historical_linear_extrapolation,65365148,65365148,0,116307269.0,65280284.0,0.0,9237085520.0,4899578703872.0,7172468.6171875,64985697,5067191.0625,65273936,0.0,10465.24609375,141.31514733203082,273.78285294321023,0.11036995751830592,0.07762962329251909,0.026161148098248488,1.7793468317397523,0.998701693446789,0.0,141.31514733203082,273.78285294321023,0.11036995751830592,0.07762962329251909,0.026161148098248488
0.3,mean_fill,65365148,65365148,0,116307269.0,65280284.0,0.0,8282069192.0,3951687987200.0,6687308.6640625,64985697,4585195.90625,65274119,0.0,10465.24609375,126.70466518334817,245.8771661052815,0.10290431545363744,0.07024523619001277,0.023494637766055305,1.7793468317397523,0.998701693446789,0.0,126.70466518334817,245.8771661052815,0.10290431545363744,0.07024523619001277,0.023494637766055305
0.3,road_topology_neighbor_fill,65365148,65365148,25691,116307269.0,65280284.0,0.0,32827949056.0,54170301235200.0,16984936.0,64985697,12065333.828125,65159819,0.0,10465.24609375,502.22404538883626,910.3481225970345,0.2613642198836461,0.1851652446751732,0.08698774156306825,1.7793468317397523,0.998701693446789,0.0,502.22404538883626,910.3481225970345,0.2613642198836461,0.1851652446751732,0.08698774156306825
