seed,method,lambda_value,client_id,mse,rmse,mae,mape
2024,Data-loss weighted,0.5,4,107.50879669189453,10.368644882138385,6.716922283172607,103.40538024902344
2024,Data-loss weighted,0.75,0,9.150870323181152,3.0250405490143684,2.44327712059021,3.058107942342758
2024,Data-loss weighted,0.75,1,35.468772888183594,5.955566546365139,4.563190937042236,7.480126619338989
2024,Data-loss weighted,0.75,2,78.32828521728516,8.850326842398825,7.196565628051758,7.865337282419205
2024,Data-loss weighted,0.75,3,20.573772430419922,4.53583205491781,3.4539904594421387,4.404059797525406
2024,Data-loss weighted,0.75,4,109.30110931396484,10.454717084357895,6.891462326049805,103.90145778656006
2024,Data-loss weighted,1.0,0,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
2024,Data-loss weighted,1.0,1,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
2024,Data-loss weighted,1.0,2,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
2024,Data-loss weighted,1.0,3,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
2024,Data-loss weighted,1.0,4,110.69996643066406,10.521405154762554,7.072925090789795,103.86437177658081
3407,Data-loss weighted,0.0,0,6.438926696777344,2.5375040289184456,2.0969040393829346,2.60882917791605
3407,Data-loss weighted,0.0,1,23.03466033935547,4.799443753119258,3.519789934158325,5.486387014389038
3407,Data-loss weighted,0.0,2,96.49187469482422,9.823027776343922,7.411104679107666,8.069485425949097
3407,Data-loss weighted,0.0,3,24.05294418334961,4.904380101842598,3.5442323684692383,5.388634279370308
3407,Data-loss weighted,0.0,4,138.97772216796875,11.788881294167346,8.064447402954102,228.65102291107178
3407,Data-loss weighted,0.25,0,6.477405548095703,2.5450747627713617,2.103137254714966,2.6161447167396545
3407,Data-loss weighted,0.25,1,22.84033203125,4.779155995701542,3.5021414756774902,5.451465398073196
3407,Data-loss weighted,0.25,2,95.54615020751953,9.774771107679173,7.3538126945495605,7.992438226938248
3407,Data-loss weighted,0.25,3,23.936460494995117,4.892490214092933,3.525343656539917,5.353608727455139
3407,Data-loss weighted,0.25,4,139.33932495117188,11.804207934087398,8.07200813293457,229.70762252807617
3407,Data-loss weighted,0.5,0,6.299905776977539,2.5099613098566955,2.08263897895813,2.584299258887768
