seed,method,num_clients,client_id,mse,rmse,mae,mape
1234,Proposed,3,0,8.771313667297363,2.9616403676505634,2.3445420265197754,3.0914057046175003
1234,Proposed,3,1,18.876720428466797,4.344734793801205,3.2693114280700684,5.111255869269371
1234,Proposed,3,2,84.77819061279297,9.20750729637468,7.696279048919678,8.446501940488815
1234,Proposed,5,0,7.580440044403076,2.7532598940897453,2.1979293823242188,2.888580970466137
1234,Proposed,5,1,18.326887130737305,4.28099137242033,3.1838343143463135,4.914110153913498
1234,Proposed,5,2,84.014892578125,9.165963810648883,7.732334613800049,8.507240563631058
1234,Proposed,5,3,19.918867111206055,4.463055804177902,3.4103517532348633,4.927503690123558
1234,Proposed,5,4,321.89013671875,17.941296963116965,14.022130012512207,361.53578758239746
1234,Proposed,8,0,9.842434883117676,3.1372655104593354,2.4969489574432373,3.29623781144619
1234,Proposed,8,1,20.192678451538086,4.493626425453955,3.351794481277466,5.239748582243919
1234,Proposed,8,2,85.22355651855469,9.231660550440244,7.743711948394775,8.493714034557343
1234,Proposed,8,3,25.816457748413086,5.080989839432183,3.9193544387817383,5.597536265850067
1234,Proposed,8,4,391.0499267578125,19.774982345322396,16.343868255615234,371.66755199432373
1234,Proposed,8,5,6.168476581573486,2.4836417981612176,1.9771556854248047,2.581462077796459
1234,Proposed,8,6,24.57514190673828,4.957332136012099,3.65388822555542,5.481383576989174
1234,Proposed,8,7,97.65853881835938,9.882233493414299,7.609180927276611,8.512017130851746
5678,Proposed,3,0,8.183436393737793,2.860670619581673,2.3679821491241455,3.2338544726371765
5678,Proposed,3,1,19.870073318481445,4.457586041624037,3.5409481525421143,5.929037183523178
5678,Proposed,3,2,100.11396789550781,10.005696772114764,7.680758953094482,8.231791108846664
5678,Proposed,5,0,5.745878219604492,2.397056156956798,1.9094802141189575,2.5864332914352417
5678,Proposed,5,1,17.639080047607422,4.199890480430105,3.357776641845703,5.4682038724422455
5678,Proposed,5,2,96.82083129882812,9.839757684965019,7.387406826019287,7.825145870447159
5678,Proposed,5,3,25.87071990966797,5.086326760017289,3.7376410961151123,5.016915500164032
5678,Proposed,5,4,224.9229278564453,14.997430708506219,12.381904602050781,42.45241582393646
5678,Proposed,8,0,6.142561435699463,2.478419140440023,2.0288314819335938,2.758692018687725
5678,Proposed,8,1,18.843626022338867,4.340924558471256,3.439976453781128,5.699136480689049
5678,Proposed,8,2,96.63976287841797,9.830552521522785,7.498547077178955,7.9876720905303955
5678,Proposed,8,3,25.09127426147461,5.00911911033014,3.6658358573913574,5.016239732503891
5678,Proposed,8,4,222.91246032714844,14.930253190322944,12.421857833862305,44.585636258125305
5678,Proposed,8,5,8.605685234069824,2.933544823940794,2.3572025299072266,3.2679539173841476
5678,Proposed,8,6,26.14325523376465,5.113047548553078,4.0460991859436035,6.810351461172104
5678,Proposed,8,7,70.90161895751953,8.420309908638727,6.9702019691467285,7.61544406414032
