feature_set,seed,method,client_id,mse,rmse,mae,mape
flow_only,2025,FedAvg,4,322.5314636230469,17.959160994407476,15.724113464355469,489.56103324890137
flow_time,2025,FedAvg,0,23.08683967590332,4.804876655638864,4.185999393463135,5.557559430599213
flow_time,2025,FedAvg,1,38.768775939941406,6.2264577361403015,5.1840500831604,8.39264914393425
flow_time,2025,FedAvg,2,118.0583724975586,10.865466970984661,9.085596084594727,10.009536147117615
flow_time,2025,FedAvg,3,47.05432891845703,6.859615799624424,5.568229675292969,8.077988773584366
flow_time,2025,FedAvg,4,509.5179748535156,22.572504842252567,20.35968589782715,843.6907768249512
flow_event,2025,FedAvg,0,7.602904319763184,2.7573364538560003,2.2122700214385986,2.930837869644165
flow_event,2025,FedAvg,1,21.297853469848633,4.614959747370353,3.6121578216552734,5.715542286634445
flow_event,2025,FedAvg,2,96.80181884765625,9.83879153390579,7.971380710601807,8.552952110767365
flow_event,2025,FedAvg,3,25.494260787963867,5.049184170533282,4.000979423522949,5.753595381975174
flow_event,2025,FedAvg,4,380.2657470703125,19.500403766853456,17.08963394165039,565.584135055542
flow_region,2025,FedAvg,0,8.383370399475098,2.8954050492936387,2.3222947120666504,3.0838383361697197
flow_region,2025,FedAvg,1,22.36061668395996,4.728701373946124,3.7468042373657227,5.968756228685379
flow_region,2025,FedAvg,2,97.88198852539062,9.893532661561826,8.074073791503906,8.69668647646904
flow_region,2025,FedAvg,3,27.454992294311523,5.239751167213146,4.225414276123047,6.1009082943201065
flow_region,2025,FedAvg,4,351.9576721191406,18.76053496356489,16.494895935058594,596.0033893585205
full,2025,FedAvg,0,21.368804931640625,4.622640471812687,4.012794017791748,5.3275492042303085
full,2025,FedAvg,1,36.83076477050781,6.068835536617203,5.0423712730407715,8.133836090564728
full,2025,FedAvg,2,110.384521484375,10.506403832157558,8.801088333129883,9.640217572450638
full,2025,FedAvg,3,41.74334716796875,6.460909159550902,5.271345138549805,7.668016850948334
full,2025,FedAvg,4,511.43603515625,22.614951584211937,19.88886070251465,841.3083076477051
