seed,method,feature_set,client_id,mse,rmse,mae,mape
3407,Proposed,flow_only,2,93.51497650146484,9.670314188353181,7.193652153015137,7.771215587854385
3407,Proposed,flow_only,3,23.350797653198242,4.832266306113338,3.467461585998535,5.246645584702492
3407,Proposed,flow_only,4,139.9554443359375,11.830276595918521,8.10067081451416,227.56946086883545
3407,Proposed,flow_time,0,12.500401496887207,3.5355906857111172,2.890369176864624,3.6119449883699417
3407,Proposed,flow_time,1,25.317733764648438,5.031673058203249,3.7563931941986084,5.902652814984322
3407,Proposed,flow_time,2,97.6210708618164,9.880337588453969,7.162939071655273,7.609791308641434
3407,Proposed,flow_time,3,45.61264419555664,6.753713363443598,4.7301225662231445,7.089570909738541
3407,Proposed,flow_time,4,229.3821258544922,15.14536648135304,12.183737754821777,283.92038345336914
3407,Proposed,flow_event,0,6.416831970214844,2.5331466539098844,2.082874298095703,2.594505436718464
3407,Proposed,flow_event,1,22.651229858398438,4.759330820440877,3.4487524032592773,5.4101672023534775
3407,Proposed,flow_event,2,91.9762191772461,9.590423305425372,7.026568412780762,7.562167942523956
3407,Proposed,flow_event,3,24.84750747680664,4.984727422518371,3.604285955429077,5.4476819932460785
3407,Proposed,flow_event,4,158.691162109375,12.597268041499117,9.240352630615234,236.3377332687378
3407,Proposed,flow_region,0,6.190242290496826,2.488019752834938,2.045595407485962,2.5478972122073174
3407,Proposed,flow_region,1,23.005582809448242,4.796413536117194,3.489579677581787,5.480220541357994
3407,Proposed,flow_region,2,92.7221908569336,9.629236255120839,7.110976219177246,7.674849778413773
3407,Proposed,flow_region,3,24.820768356323242,4.9820445959789685,3.6193289756774902,5.484520643949509
3407,Proposed,flow_region,4,151.8625946044922,12.323254221369135,9.064050674438477,231.3990831375122
3407,Proposed,full,0,16.067224502563477,4.0083942548810585,3.3910765647888184,4.260388761758804
3407,Proposed,full,1,35.998626708984375,5.999885557990617,4.793793201446533,7.702098786830902
3407,Proposed,full,2,96.86402130126953,9.841952108259292,7.418397426605225,8.083532750606537
3407,Proposed,full,3,42.3786735534668,6.509890440972628,5.019405841827393,7.748240977525711
3407,Proposed,full,4,235.3237762451172,15.340266498503773,11.938224792480469,324.04839992523193
1234,Proposed,flow_only,0,7.580440044403076,2.7532598940897453,2.1979293823242188,2.888580970466137
1234,Proposed,flow_only,1,18.326887130737305,4.28099137242033,3.1838343143463135,4.914110153913498
1234,Proposed,flow_only,2,84.014892578125,9.165963810648883,7.732334613800049,8.507240563631058
1234,Proposed,flow_only,3,19.918867111206055,4.463055804177902,3.4103517532348633,4.927503690123558
1234,Proposed,flow_only,4,321.89013671875,17.941296963116965,14.022130012512207,361.53578758239746
1234,Proposed,flow_time,0,19.88279151916504,4.459012392802361,3.715888738632202,4.892227426171303
1234,Proposed,flow_time,1,29.280155181884766,5.411114042587235,4.166623592376709,6.658674776554108
1234,Proposed,flow_time,2,95.56838989257812,9.77590864792517,8.519295692443848,9.462140500545502
1234,Proposed,flow_time,3,39.04199981689453,6.248359770123239,4.761455535888672,6.881842017173767
1234,Proposed,flow_time,4,399.02838134765625,19.975694765080295,17.47943878173828,577.947998046875
1234,Proposed,flow_event,0,8.498090744018555,2.9151484943341317,2.311647891998291,3.046409972012043
1234,Proposed,flow_event,1,18.330425262451172,4.281404589904016,3.200723648071289,4.9604665488004684
1234,Proposed,flow_event,2,79.28740692138672,8.904347641539312,7.3811564445495605,8.050880581140518
1234,Proposed,flow_event,3,19.396160125732422,4.404107188265565,3.2880005836486816,4.7293562442064285
1234,Proposed,flow_event,4,317.667724609375,17.82323552583467,13.987506866455078,338.0963325500488
1234,Proposed,flow_region,0,8.26894760131836,2.875577785649061,2.2819483280181885,3.0050480738282204
1234,Proposed,flow_region,1,18.291852951049805,4.276897584821246,3.193946361541748,4.946130141615868
1234,Proposed,flow_region,2,79.50923919677734,8.916795343439107,7.397638320922852,8.070884644985199
1234,Proposed,flow_region,3,19.175161361694336,4.378945233922701,3.2947027683258057,4.735136404633522
1234,Proposed,flow_region,4,326.2897033691406,18.063490896533278,14.041715621948242,336.43181324005127
1234,Proposed,full,0,14.111692428588867,3.7565532644418695,3.0694942474365234,4.030018672347069
1234,Proposed,full,1,24.414470672607422,4.94110014800423,3.6762659549713135,5.806594341993332
1234,Proposed,full,2,92.02616882324219,9.593027093844892,8.189384460449219,8.98854061961174
1234,Proposed,full,3,35.336029052734375,5.944411581707173,4.514228343963623,6.4208924770355225
1234,Proposed,full,4,413.2586669921875,20.32876452203103,17.77484893798828,488.2617473602295
5678,Proposed,flow_only,0,5.745878219604492,2.397056156956798,1.9094802141189575,2.5864332914352417
5678,Proposed,flow_only,1,17.639080047607422,4.199890480430105,3.357776641845703,5.4682038724422455
5678,Proposed,flow_only,2,96.82083129882812,9.839757684965019,7.387406826019287,7.825145870447159
5678,Proposed,flow_only,3,25.87071990966797,5.086326760017289,3.7376410961151123,5.016915500164032
5678,Proposed,flow_only,4,224.9229278564453,14.997430708506219,12.381904602050781,42.45241582393646
5678,Proposed,flow_time,0,11.71963882446289,3.423395803067897,2.8443448543548584,3.892727941274643
5678,Proposed,flow_time,1,20.143566131591797,4.488158434323792,3.6705563068389893,6.133096665143967
5678,Proposed,flow_time,2,97.44184112548828,9.871263400674115,7.522447109222412,8.035482466220856
5678,Proposed,flow_time,3,33.37260055541992,5.776902332169025,4.388791561126709,5.887959897518158
