missing_rate,method,fallback_policy,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,17,17,node_flow_chunk_017.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_017.parquet,805731,0,True,True,completed,recomputed,1.082464200000004,58154145,2026-06-16T08:52:54.407634020+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,18,18,node_flow_chunk_018.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_018.parquet,807002,0,True,True,completed,recomputed,1.1754590999998982,58153345,2026-06-16T08:53:09.120998383+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,19,19,node_flow_chunk_019.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_019.parquet,807357,0,True,True,completed,recomputed,1.2378254000000197,58160641,2026-06-16T08:53:24.743260384+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,20,20,node_flow_chunk_020.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_020.parquet,807418,0,True,True,completed,recomputed,1.4773513000000094,58185602,2026-06-16T08:53:40.415329933+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,21,21,node_flow_chunk_021.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_021.parquet,806839,0,True,True,completed,recomputed,1.2965126999999939,58188266,2026-06-16T08:53:56.841079712+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,22,22,node_flow_chunk_022.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_022.parquet,808141,0,True,True,completed,recomputed,1.349555399999872,58164838,2026-06-16T08:54:13.466314077+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,23,23,node_flow_chunk_023.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_023.parquet,807605,0,True,True,completed,recomputed,1.5002902000001086,58145769,2026-06-16T08:54:30.604261875+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,24,24,node_flow_chunk_024.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_024.parquet,806800,0,True,True,completed,recomputed,1.4459277999999358,58170531,2026-06-16T08:54:47.651503325+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_025.parquet,805605,0,True,True,completed,recomputed,1.5863894999999957,58157347,2026-06-16T08:55:03.987910748+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_026.parquet,805981,0,True,True,completed,recomputed,1.464881000000105,58162740,2026-06-16T08:55:20.997969866+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_027.parquet,807212,0,True,True,completed,recomputed,1.2483336000000236,58171177,2026-06-16T08:55:37.764172554+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_028.parquet,808819,0,True,True,completed,recomputed,1.2781557000000703,58157501,2026-06-16T08:55:53.688724995+00:00
0.2,historical_linear_extrapolation,fallback_to_current_day_forward_fill_when_history_is_insufficient,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\ntb_mix\imp\imp_data\ntb_r20_mix_s42_m_hle\node_flow_chunk_029.parquet,807360,0,True,True,completed,recomputed,1.3591589999998632,58126508,2026-06-16T08:56:09.658014297+00:00
