missing_rate,method,chunk_index,day_index,file_name,output_path,missing_count,fallback_count,non_mask_positions_preserved,validation_passed,status,source,write_duration_seconds,file_size_bytes,output_mtime_utc
0.2,historical_linear_extrapolation,2,2,node_flow_chunk_002.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_002.parquet,806745,0,True,True,completed,recomputed,1.244206599999984,57962114,2026-06-16T01:26:50.951255322+00:00
0.2,historical_linear_extrapolation,3,3,node_flow_chunk_003.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_003.parquet,806769,0,True,True,completed,recomputed,1.8408324999999763,57985173,2026-06-16T01:32:19.519806623+00:00
0.2,historical_linear_extrapolation,4,4,node_flow_chunk_004.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_004.parquet,806874,0,True,True,completed,recomputed,1.0731018999999833,58010266,2026-06-16T01:32:38.421880007+00:00
0.2,historical_linear_extrapolation,5,5,node_flow_chunk_005.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_005.parquet,807318,0,True,True,completed,recomputed,1.0484389000000078,58068542,2026-06-16T01:32:52.277973413+00:00
0.2,historical_linear_extrapolation,6,6,node_flow_chunk_006.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_006.parquet,806539,0,True,True,completed,recomputed,1.1177706000000285,58084583,2026-06-16T01:33:06.492970705+00:00
0.2,historical_linear_extrapolation,7,7,node_flow_chunk_007.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_007.parquet,808676,0,True,True,completed,recomputed,1.107208700000001,58103823,2026-06-16T01:33:20.446215868+00:00
0.2,historical_linear_extrapolation,8,8,node_flow_chunk_008.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_008.parquet,807011,0,True,True,completed,recomputed,1.062878899999987,58010900,2026-06-16T01:33:34.376995087+00:00
0.2,historical_linear_extrapolation,9,9,node_flow_chunk_009.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_009.parquet,807810,0,True,True,completed,recomputed,1.0657903000000033,58015684,2026-06-16T01:33:47.536363840+00:00
0.2,historical_linear_extrapolation,10,10,node_flow_chunk_010.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_010.parquet,806729,0,True,True,completed,recomputed,1.141403099999991,58058624,2026-06-16T01:34:01.060284615+00:00
0.2,historical_linear_extrapolation,11,11,node_flow_chunk_011.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\imputed_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42__method_historical_linear_extrapolation\node_flow_chunk_011.parquet,807024,0,True,True,completed,recomputed,1.0905622000000221,58016809,2026-06-16T01:34:15.179151297+00:00
