cell_id,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,flow_mean,flow_std,flow_min,flow_max,flow_cv,lag1_autocorr,valid_sample_count,is_valid_cell,invalid_reason
105,105,3,15,116.375194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
106,106,3,16,116.393194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
107,107,3,17,116.411194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
108,108,3,18,116.429194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
109,109,3,19,116.447194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
110,110,3,20,116.465194,39.80656970750988,1,2174.7561314457753,2174.7561314457753,414.1842784535694,0.0,2999.838134765625,0.19045090732919107,0.8886398161133685,5844,True,
111,111,3,21,116.483194,39.80656970750988,22,65655.61499823899,65655.61499823899,3274.094809112169,40530.0859375,69101.921875,0.04986770452458615,0.8821575069642704,5844,True,
112,112,3,22,116.501194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
113,113,3,23,116.519194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
114,114,3,24,116.537194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
115,115,3,25,116.555194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
116,116,3,26,116.573194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
117,117,3,27,116.591194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
118,118,3,28,116.609194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
119,119,3,29,116.627194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
120,120,4,0,116.105194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
121,121,4,1,116.123194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
122,122,4,2,116.141194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
123,123,4,3,116.159194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
124,124,4,4,116.177194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
125,125,4,5,116.195194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
126,126,4,6,116.213194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
127,127,4,7,116.231194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
128,128,4,8,116.249194,39.82456970750988,4,5368.633140689037,5368.633140689037,238.51353456249163,3922.4853515625,5937.212890625,0.044427236563212,0.8473029850481835,5844,True,
129,129,4,9,116.267194,39.82456970750988,46,71567.4003892909,71567.4003892909,4453.746061786379,34188.3203125,79517.671875,0.062231491399159754,0.7870284266337826,5844,True,
130,130,4,10,116.285194,39.82456970750988,415,997239.6198770492,997239.6198770492,45855.414018521355,823415.625,1082259.25,0.04598234276349241,0.9595123431075622,5844,True,
131,131,4,11,116.303194,39.82456970750988,19,54269.7172111136,54269.7172111136,3498.8056802776373,37675.04296875,63203.20703125,0.06447068199502495,0.9251288571620884,5844,True,
132,132,4,12,116.321194,39.82456970750988,121,235129.67691523652,235129.67691523652,28017.18602094074,155965.328125,306272.625,0.11915631573398046,0.9665391819282682,5844,True,
133,133,4,13,116.339194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
134,134,4,14,116.357194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
135,135,4,15,116.375194,39.82456970750988,93,278103.08573471656,278103.08573471656,25524.89111575083,213382.765625,321029.875,0.0917821211811332,0.9768482330395083,5844,True,
136,136,4,16,116.393194,39.82456970750988,17,49559.04774416731,49559.04774416731,15574.114206105394,18845.705078125,74888.890625,0.31425370169543543,0.978947162001937,5844,True,
137,137,4,17,116.411194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
138,138,4,18,116.429194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
139,139,4,19,116.447194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
140,140,4,20,116.465194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
141,141,4,21,116.483194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
142,142,4,22,116.501194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
143,143,4,23,116.519194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
144,144,4,24,116.537194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
145,145,4,25,116.555194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
146,146,4,26,116.573194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
147,147,4,27,116.591194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
148,148,4,28,116.609194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
149,149,4,29,116.627194,39.82456970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
150,150,5,0,116.105194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
151,151,5,1,116.123194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
152,152,5,2,116.141194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
153,153,5,3,116.159194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
154,154,5,4,116.177194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
155,155,5,5,116.195194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
156,156,5,6,116.213194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
157,157,5,7,116.231194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
158,158,5,8,116.249194,39.842569707509874,59,86754.65680231813,86754.65680231813,2396.0700158884874,63519.609375,90542.453125,0.027618921037844083,0.7924682164691692,5844,True,
159,159,5,9,116.267194,39.842569707509874,22,33171.287656356726,33171.287656356726,1268.6116648790507,22090.87890625,34940.69921875,0.03824426950263242,0.8476260954932108,5844,True,
160,160,5,10,116.285194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
161,161,5,11,116.303194,39.842569707509874,158,335831.37656356726,335831.37656356726,3910.2900288487026,300880.90625,346733.625,0.01164361135299861,0.7933542967859148,5844,True,
162,162,5,12,116.321194,39.842569707509874,78,186197.17702463287,186197.17702463287,2831.940823546218,164291.71875,192086.578125,0.015209364979639662,0.849088691403443,5844,True,
163,163,5,13,116.339194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
164,164,5,14,116.357194,39.842569707509874,53,123001.15705112812,123001.15705112812,16616.41353693883,58906.859375,154056.5,0.13509152218813564,0.9667740866407027,5844,True,
165,165,5,15,116.375194,39.842569707509874,181,503429.8177403518,503429.8177403518,11053.300210297315,453045.6875,521635.90625,0.021955990330310846,0.9287769171720619,5844,True,
166,166,5,16,116.393194,39.842569707509874,341,695413.1890795765,695413.1890795765,11635.385787345585,618088.9375,715741.875,0.016731615060027488,0.865146252833364,5844,True,
167,167,5,17,116.411194,39.842569707509874,113,241196.31122993512,241196.31122993512,10446.541018351914,190610.046875,260043.375,0.04331136311779292,0.9096711250507443,5844,True,
168,168,5,18,116.429194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
169,169,5,19,116.447194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
170,170,5,20,116.465194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
171,171,5,21,116.483194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
172,172,5,22,116.501194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
173,173,5,23,116.519194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
174,174,5,24,116.537194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
175,175,5,25,116.555194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
176,176,5,26,116.573194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
177,177,5,27,116.591194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
178,178,5,28,116.609194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
179,179,5,29,116.627194,39.842569707509874,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
180,180,6,0,116.105194,39.86056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
181,181,6,1,116.123194,39.86056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
