seed,round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape
1234,15,FedAvg,0.0029293592490441346,0.004301787128854774,0.06280584707856178,0.05248109996318817,5.248109996318817
5678,1,FedAvg,0.004932463037686784,0.14274523488529325,0.3626515656709671,0.3344459593296051,33.44459593296051
5678,2,FedAvg,0.00464862399298859,0.037812961119720746,0.17873311042785645,0.16655664891004562,16.655664891004562
5678,3,FedAvg,0.004104082989438521,0.007216973511069871,0.07876035943627357,0.06392785683274269,6.392785683274269
5678,4,FedAvg,0.0033599825555908243,0.009612529053828232,0.08734471425414085,0.07304589040577411,7.304589040577412
5678,5,FedAvg,0.0026324449163821345,0.007567170656254635,0.07811014354228973,0.06497340314090252,6.497340314090252
5678,6,FedAvg,0.003138629482088985,0.006306754185202788,0.07561512216925621,0.06275854706764221,6.275854706764221
5678,7,FedAvg,0.0027763936523867152,0.007232201654502635,0.07984762117266656,0.0665468480437994,6.65468480437994
5678,8,FedAvg,0.00223227233491628,0.006001637863990031,0.07356295064091682,0.06094854474067688,6.094854474067688
5678,9,FedAvg,0.0022453301236170725,0.006110289046383647,0.07274376302957535,0.05930980816483498,5.930980816483498
5678,10,FedAvg,0.0023222106388527536,0.0063913283320722394,0.0734632894396782,0.06174572966992855,6.174572966992855
5678,11,FedAvg,0.0023159968658113934,0.005791460468121146,0.06981725692749023,0.0570586059242487,5.7058605924248695
5678,12,FedAvg,0.002504620595721619,0.006298599261510063,0.0721069559454918,0.0583112083375454,5.8311208337545395
5678,13,FedAvg,0.00242191488550693,0.006588533349012693,0.07318869307637214,0.05997403040528297,5.997403040528297
5678,14,FedAvg,0.0023540574467405687,0.006049162730075738,0.07284831330180168,0.06013473235070706,6.013473235070705
5678,15,FedAvg,0.0021350069637003444,0.006626864208898647,0.07420496568083763,0.06014496311545372,6.014496311545372
