round,method,graph_type,client_id,train_loss,val_mse,val_rmse,val_mae
5,GCN-FedAvg,fixed_adjacency,0,0.45965840826269055,17.92371368408203,4.233640712682411,3.5355136394500732
5,GCN-FedAvg,fixed_adjacency,1,0.3959583032364939,36.232059478759766,6.019307225815922,4.013856410980225
5,GCN-FedAvg,fixed_adjacency,2,1.2058575917297685,151.6483612060547,12.314558912362825,10.346297264099121
5,GCN-FedAvg,fixed_adjacency,3,0.3156421738011496,30.226314544677734,5.497846355135594,4.276742458343506
5,GCN-FedAvg,fixed_adjacency,4,0.4112965644377729,171.06370544433594,13.079132442342495,8.792767524719238
6,GCN-FedAvg,fixed_adjacency,0,0.42180679030105717,16.199642181396484,4.024877908880775,3.3591670989990234
6,GCN-FedAvg,fixed_adjacency,1,0.47680965358135746,34.24384307861328,5.851823910424278,3.8694775104522705
6,GCN-FedAvg,fixed_adjacency,2,1.0777528848446591,140.9561309814453,11.87249472442272,9.767291069030762
6,GCN-FedAvg,fixed_adjacency,3,0.30959964224270414,28.8818416595459,5.374182882964246,4.0986528396606445
6,GCN-FedAvg,fixed_adjacency,4,0.43548381134219794,168.0901336669922,12.964957912272302,8.48991870880127
7,GCN-FedAvg,fixed_adjacency,0,0.3983767096136437,15.41360092163086,3.9260159094979303,3.2651314735412598
7,GCN-FedAvg,fixed_adjacency,1,0.4861225345555474,34.459571838378906,5.870227579777373,3.892312526702881
7,GCN-FedAvg,fixed_adjacency,2,1.0180553298600963,132.0260467529297,11.490258776586787,9.322586059570312
7,GCN-FedAvg,fixed_adjacency,3,0.319071637732642,30.54452896118164,5.526710500938297,4.195603847503662
7,GCN-FedAvg,fixed_adjacency,4,0.5014653309531834,172.79995727539062,13.145339755038309,8.647309303283691
8,GCN-FedAvg,fixed_adjacency,0,0.33151514779348845,14.991665840148926,3.8719072613053283,3.2526333332061768
8,GCN-FedAvg,fixed_adjacency,1,0.45417680459864,32.444339752197266,5.6959933068954065,3.716507911682129
8,GCN-FedAvg,fixed_adjacency,2,1.0504112667600873,131.36801147460938,11.461588523176419,9.237092018127441
8,GCN-FedAvg,fixed_adjacency,3,0.3175908029079437,30.163095474243164,5.492093906174872,4.189845085144043
8,GCN-FedAvg,fixed_adjacency,4,0.27093953704056534,177.4281463623047,13.320215702544186,8.617310523986816
9,GCN-FedAvg,fixed_adjacency,0,0.357841248395013,12.264294624328613,3.502041493804523,2.8860857486724854
9,GCN-FedAvg,fixed_adjacency,1,0.49010415521322515,35.56947326660156,5.964014861366591,4.045722484588623
9,GCN-FedAvg,fixed_adjacency,2,1.1999464698240792,147.65777587890625,12.151451595546362,10.186894416809082
9,GCN-FedAvg,fixed_adjacency,3,0.31500799315316336,29.43449592590332,5.4253567556339855,4.100475788116455
9,GCN-FedAvg,fixed_adjacency,4,0.29224687749924866,161.64553833007812,12.713989866681432,8.590088844299316
10,GCN-FedAvg,fixed_adjacency,0,0.2973569717075004,10.7581205368042,3.279957398626421,2.6742334365844727
10,GCN-FedAvg,fixed_adjacency,1,0.48611514474831374,36.752132415771484,6.062353702628335,4.170645236968994
10,GCN-FedAvg,fixed_adjacency,2,1.0448045801948493,144.1810760498047,12.007542465042741,9.990010261535645
10,GCN-FedAvg,fixed_adjacency,3,0.3110243720667703,27.660581588745117,5.259332808327033,3.9386990070343018
10,GCN-FedAvg,fixed_adjacency,4,0.19618505271880524,181.70693969726562,13.479871649881003,9.509283065795898
1,GCN-Proposed,fixed_adjacency,0,1.0650889697622081,41.40284729003906,6.434504432358335,5.358912944793701
1,GCN-Proposed,fixed_adjacency,1,0.591711328310125,54.56279754638672,7.386663492158467,5.864279747009277
1,GCN-Proposed,fixed_adjacency,2,0.9432571723427571,132.09359741210938,11.493197875791983,9.293959617614746
1,GCN-Proposed,fixed_adjacency,3,0.4181323306901114,46.9004020690918,6.848386822390496,5.539045810699463
