seed,noniid_level,graph_type,method,client_id,mse,rmse,mae
2024,high,fixed_adjacency,GCN-FedAvg,0,83.61505126953125,9.144126599601039,6.67235803604126
2024,high,fixed_adjacency,GCN-FedAvg,1,379.0075988769531,19.468117496998858,14.993988990783691
2024,high,fixed_adjacency,GCN-FedAvg,2,73.77433776855469,8.589198901443295,5.77445650100708
2024,high,fixed_adjacency,GCN-FedAvg,3,200.914306640625,14.174424384807484,9.698127746582031
2024,high,fixed_adjacency,GCN-FedAvg,4,305.7098388671875,17.48456001354302,12.11240291595459
2024,high,fixed_adjacency,GCN-Proposed,0,88.53974151611328,9.409555861788233,6.886389255523682
2024,high,fixed_adjacency,GCN-Proposed,1,378.1302185058594,19.445570665471852,15.104626655578613
2024,high,fixed_adjacency,GCN-Proposed,2,72.98603820800781,8.543186654171135,5.740194320678711
2024,high,fixed_adjacency,GCN-Proposed,3,203.93373107910156,14.280536792400403,9.946145057678223
2024,high,fixed_adjacency,GCN-Proposed,4,306.718505859375,17.513380766127796,12.296737670898438
2025,high,fixed_adjacency,Independent,0,612.4898071289062,24.748531413578995,19.235248565673828
2025,high,fixed_adjacency,Independent,1,770.07861328125,27.75029032787315,21.369903564453125
2025,high,fixed_adjacency,Independent,2,115.16593933105469,10.73153946696627,7.991912364959717
2025,high,fixed_adjacency,Independent,3,340.7953186035156,18.460642421202888,14.777323722839355
2025,high,fixed_adjacency,Independent,4,241.93858337402344,15.554375055720607,12.294853210449219
2025,high,fixed_adjacency,GCN-FedAvg,0,283.3064880371094,16.831710787591064,12.123748779296875
2025,high,fixed_adjacency,GCN-FedAvg,1,697.4035034179688,26.408398350107657,19.881635665893555
2025,high,fixed_adjacency,GCN-FedAvg,2,61.3907470703125,7.835224761952429,5.652575969696045
2025,high,fixed_adjacency,GCN-FedAvg,3,262.34747314453125,16.19714398110146,11.982881546020508
2025,high,fixed_adjacency,GCN-FedAvg,4,223.38673400878906,14.946127726230264,11.944705963134766
2025,high,fixed_adjacency,GCN-Proposed,0,285.6190490722656,16.900267721910964,12.154823303222656
2025,high,fixed_adjacency,GCN-Proposed,1,697.9545288085938,26.418829058241656,19.962919235229492
2025,high,fixed_adjacency,GCN-Proposed,2,61.04097366333008,7.812872305581992,5.644208908081055
2025,high,fixed_adjacency,GCN-Proposed,3,265.1785583496094,16.284304048672432,11.910877227783203
2025,high,fixed_adjacency,GCN-Proposed,4,226.4576416015625,15.048509613963853,11.979531288146973
