seed,num_clients,graph_type,method,client_id,mse,rmse,mae
2024,8,fixed_adjacency,GCN-FedAvg,1,34.96059799194336,5.912748767869591,4.357843399047852
2024,8,fixed_adjacency,GCN-FedAvg,2,77.53630065917969,8.80546992835588,7.134768962860107
2024,8,fixed_adjacency,GCN-FedAvg,3,21.173871994018555,4.6015075783941235,3.490131378173828
2024,8,fixed_adjacency,GCN-FedAvg,4,103.72742462158203,10.184666151699918,7.0036940574646
2024,8,fixed_adjacency,GCN-FedAvg,5,7.973593711853027,2.823755249991229,2.2901761531829834
2024,8,fixed_adjacency,GCN-FedAvg,6,21.57606315612793,4.645004107224011,3.4986636638641357
2024,8,fixed_adjacency,GCN-FedAvg,7,66.92062377929688,8.18050266055191,6.835622310638428
2024,8,fixed_adjacency,GCN-Proposed,0,7.7399420738220215,2.7820751380618787,2.215884208679199
2024,8,fixed_adjacency,GCN-Proposed,1,34.657711029052734,5.887080008718476,4.3231096267700195
2024,8,fixed_adjacency,GCN-Proposed,2,77.32806396484375,8.793637698065787,7.113309383392334
2024,8,fixed_adjacency,GCN-Proposed,3,21.336732864379883,4.619170148888205,3.497941017150879
2024,8,fixed_adjacency,GCN-Proposed,4,97.74057006835938,9.886383062999297,6.731966495513916
2024,8,fixed_adjacency,GCN-Proposed,5,7.4607319831848145,2.7314340525051697,2.207211494445801
2024,8,fixed_adjacency,GCN-Proposed,6,21.442745208740234,4.630631189021669,3.488396167755127
2024,8,fixed_adjacency,GCN-Proposed,7,66.69232177734375,8.16653670642236,6.81406307220459
2025,8,fixed_adjacency,Independent,0,8.527831077575684,2.9202450372487037,2.4223971366882324
2025,8,fixed_adjacency,Independent,1,425.86572265625,20.636514304897762,17.85649299621582
2025,8,fixed_adjacency,Independent,2,128.47816467285156,11.334820892843943,9.726888656616211
2025,8,fixed_adjacency,Independent,3,24.574167251586914,4.957233830634471,3.9886298179626465
2025,8,fixed_adjacency,Independent,4,273.8243103027344,16.547637604888934,12.355353355407715
2025,8,fixed_adjacency,Independent,5,6.95536994934082,2.6373035375816754,2.113114833831787
2025,8,fixed_adjacency,Independent,6,26.00105857849121,5.09912331469746,3.930995464324951
2025,8,fixed_adjacency,Independent,7,141.00961303710938,11.874746862022338,9.68591022491455
2025,8,fixed_adjacency,GCN-FedAvg,0,7.133046627044678,2.6707764090325266,2.1604485511779785
2025,8,fixed_adjacency,GCN-FedAvg,1,20.629140853881836,4.541931401274334,3.5623557567596436
2025,8,fixed_adjacency,GCN-FedAvg,2,95.37800598144531,9.76616639124305,7.813915252685547
2025,8,fixed_adjacency,GCN-FedAvg,3,20.66313362121582,4.545671965861133,3.5398311614990234
2025,8,fixed_adjacency,GCN-FedAvg,4,408.63909912109375,20.21482374697078,16.860261917114258
