seed,method,lambda_value,client_id,mse,rmse,mae,mape
3407,Data-loss weighted,0.5,4,120.36927032470703,10.97129301061215,7.309090614318848,241.52042865753174
3407,Data-loss weighted,0.75,0,7.097724437713623,2.664155483021519,2.152458906173706,2.6914402842521667
3407,Data-loss weighted,0.75,1,23.794572830200195,4.877968104672292,3.511364459991455,5.465357378125191
3407,Data-loss weighted,0.75,2,89.94599151611328,9.48398605630108,6.780953884124756,7.183584570884705
3407,Data-loss weighted,0.75,3,18.525537490844727,4.304130282745253,3.2649197578430176,4.9536217004060745
3407,Data-loss weighted,0.75,4,124.68647766113281,11.16630993932789,7.454257011413574,247.5325345993042
3407,Data-loss weighted,1.0,0,7.3353776931762695,2.7083902401936597,2.190396547317505,2.740543894469738
3407,Data-loss weighted,1.0,1,23.80220603942871,4.878750458819216,3.5117552280426025,5.472653731703758
3407,Data-loss weighted,1.0,2,89.04713439941406,9.43647891956603,6.7405524253845215,7.147438079118729
3407,Data-loss weighted,1.0,3,18.51609230041504,4.303032918816104,3.2598280906677246,4.950264096260071
3407,Data-loss weighted,1.0,4,129.1258544921875,11.363355776010337,7.61081075668335,253.70769500732422
1234,Data-loss weighted,0.0,0,8.790674209594727,2.964907116520638,2.3288073539733887,3.077494539320469
1234,Data-loss weighted,0.0,1,18.44974136352539,4.295316212285819,3.172358274459839,4.945599287748337
1234,Data-loss weighted,0.0,2,80.79863739013672,8.988806227199289,7.200872898101807,7.798761874437332
1234,Data-loss weighted,0.0,3,19.082223892211914,4.36832048872469,3.4021551609039307,4.912495985627174
1234,Data-loss weighted,0.0,4,177.6173095703125,13.32731441702763,10.55933952331543,296.7745304107666
1234,Data-loss weighted,0.25,0,9.019469261169434,3.003243123886149,2.357732057571411,3.1167440116405487
1234,Data-loss weighted,0.25,1,18.567657470703125,4.309020476941729,3.185167074203491,4.969334229826927
1234,Data-loss weighted,0.25,2,80.48784637451172,8.971501901828463,7.197014808654785,7.795852422714233
1234,Data-loss weighted,0.25,3,19.322134017944336,4.395694941410782,3.4301087856292725,4.946749657392502
1234,Data-loss weighted,0.25,4,181.96109008789062,13.489295388858924,10.727681159973145,306.2196731567383
1234,Data-loss weighted,0.5,0,9.236488342285156,3.039159150535746,2.3850245475769043,3.1536567956209183
1234,Data-loss weighted,0.5,1,18.684953689575195,4.32260959254652,3.1985604763031006,4.99369315803051
1234,Data-loss weighted,0.5,2,80.24948120117188,8.958207477010781,7.197120666503906,7.79622495174408
1234,Data-loss weighted,0.5,3,19.585485458374023,4.425549170258311,3.4567620754241943,4.980574920773506
1234,Data-loss weighted,0.5,4,187.42393493652344,13.690286152470424,10.908849716186523,316.6165590286255
1234,Data-loss weighted,0.75,0,9.560477256774902,3.092002143720942,2.4304091930389404,3.2146845012903214
1234,Data-loss weighted,0.75,1,18.885915756225586,4.345792880042212,3.220930576324463,5.0362687557935715
1234,Data-loss weighted,0.75,2,80.07072448730469,8.948224655612123,7.2103705406188965,7.815713435411453
1234,Data-loss weighted,0.75,3,19.900737762451172,4.461024295209697,3.4848670959472656,5.022994056344032
1234,Data-loss weighted,0.75,4,193.8650665283203,13.923543605286705,11.128947257995605,331.1997652053833
1234,Data-loss weighted,1.0,0,9.957756042480469,3.155591235011352,2.4851291179656982,3.2881800085306168
1234,Data-loss weighted,1.0,1,19.12206268310547,4.37287807777732,3.2488694190979004,5.088251084089279
1234,Data-loss weighted,1.0,2,79.97380065917969,8.942807202393423,7.232773780822754,7.8462086617946625
1234,Data-loss weighted,1.0,3,20.166900634765625,4.490757245138688,3.5065760612487793,5.060256272554398
1234,Data-loss weighted,1.0,4,201.34375,14.189564827717586,11.397436141967773,348.54302406311035
5678,Data-loss weighted,0.0,0,4.929647922515869,2.2202810458398887,1.7851201295852661,2.421543188393116
5678,Data-loss weighted,0.0,1,17.274126052856445,4.156215352078913,3.2920475006103516,5.418001860380173
5678,Data-loss weighted,0.0,2,97.0721664428711,9.852520816667736,7.288818359375,7.638725638389587
5678,Data-loss weighted,0.0,3,25.288583755493164,5.028775572193808,3.6635825634002686,4.958827048540115
5678,Data-loss weighted,0.0,4,140.14031982421875,11.838087675981233,8.710185050964355,33.211901783943176
5678,Data-loss weighted,0.25,0,5.138020992279053,2.2667203162893856,1.823508381843567,2.4768102914094925
5678,Data-loss weighted,0.25,1,17.38272476196289,4.169259498035939,3.2943851947784424,5.436703190207481
5678,Data-loss weighted,0.25,2,96.5326919555664,9.825105188015364,7.2965521812438965,7.6627954840660095
5678,Data-loss weighted,0.25,3,25.223834991455078,5.022333620086889,3.6672492027282715,4.9740951508283615
5678,Data-loss weighted,0.25,4,142.45919799804688,11.935627256162403,8.84775447845459,34.245288372039795
5678,Data-loss weighted,0.5,0,5.389062881469727,2.3214355217127456,1.872207760810852,2.5460174307227135
5678,Data-loss weighted,0.5,1,17.58038330078125,4.192896767245916,3.306067705154419,5.472138151526451
5678,Data-loss weighted,0.5,2,96.02278900146484,9.799121848485447,7.320479869842529,7.706908881664276
5678,Data-loss weighted,0.5,3,25.116899490356445,5.011676315401509,3.668363571166992,4.991274327039719
5678,Data-loss weighted,0.5,4,145.3807373046875,12.057393470592535,9.000960350036621,35.38742959499359
5678,Data-loss weighted,0.75,0,5.68040657043457,2.3833603526186655,1.9284045696258545,2.625279314815998
5678,Data-loss weighted,0.75,1,17.872636795043945,4.227604143607103,3.328688621520996,5.526469647884369
5678,Data-loss weighted,0.75,2,95.57955932617188,9.776479904657497,7.354978084564209,7.764345407485962
5678,Data-loss weighted,0.75,3,25.090316772460938,5.009023534828015,3.664356231689453,5.004908889532089
5678,Data-loss weighted,0.75,4,149.0106964111328,12.2069937499424,9.16006851196289,36.581867933273315
5678,Data-loss weighted,1.0,0,6.090791702270508,2.467952937612569,2.003204107284546,2.730569988489151
5678,Data-loss weighted,1.0,1,18.314464569091797,4.279540228703523,3.373631477355957,5.620930343866348
5678,Data-loss weighted,1.0,2,95.24822235107422,9.759519575833343,7.400575637817383,7.837366312742233
5678,Data-loss weighted,1.0,3,25.311168670654297,5.031020639060657,3.668992519378662,5.033625662326813
5678,Data-loss weighted,1.0,4,153.07211303710938,12.37223153020947,9.340597152709961,37.88240849971771
