missing_rate,mechanism,seed,day_index,file_name,mask_path,missing_dataset_path,actual_missing_count,actual_missing_rate
0.05,mcar_point,42,27,node_flow_chunk_027.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_027_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_027_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,28,node_flow_chunk_028.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_028_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_028_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,29,node_flow_chunk_029.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_029_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_029_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,30,node_flow_chunk_030.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_030_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_030_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,31,node_flow_chunk_031.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_031_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_031_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,32,node_flow_chunk_032.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_032_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_032_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,33,node_flow_chunk_033.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_033_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_033_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,34,node_flow_chunk_034.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_034_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_034_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,35,node_flow_chunk_035.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_035_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_035_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,36,node_flow_chunk_036.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_036_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_036_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,37,node_flow_chunk_037.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_037_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_037_missing.parquet,201749,0.05000004956658974
