stage,missing_rate,mechanism,seed,impute_method,day_index,file_name,status,mask_exists,missing_dataset_exists,imputed_dataset_exists,detail_exists,actual_missing_count,filled_missing_count,residual_missing_count,note
generate_missing,0.05,mcar_point,42,,36,node_flow_chunk_036.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,37,node_flow_chunk_037.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,38,node_flow_chunk_038.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,39,node_flow_chunk_039.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,40,node_flow_chunk_040.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,41,node_flow_chunk_041.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,42,node_flow_chunk_042.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,43,node_flow_chunk_043.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,44,node_flow_chunk_044.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,45,node_flow_chunk_045.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,46,node_flow_chunk_046.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,47,node_flow_chunk_047.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,48,node_flow_chunk_048.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,49,node_flow_chunk_049.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,50,node_flow_chunk_050.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,51,node_flow_chunk_051.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,52,node_flow_chunk_052.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,53,node_flow_chunk_053.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,54,node_flow_chunk_054.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,55,node_flow_chunk_055.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,56,node_flow_chunk_056.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,57,node_flow_chunk_057.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,58,node_flow_chunk_058.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,59,node_flow_chunk_059.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
generate_missing,0.05,mcar_point,42,,60,node_flow_chunk_060.parquet,completed,True,True,False,False,201749,0,0,缺失掩码与缺失数据集已登记
