missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,mid_flow,80619.0,9864292.358457293,4493759516.573135,1172014.1566111515,80451.0,508768.07362709293
0.05,mcar_point,42,geo_func_hybrid,37,node_flow_chunk_037.parquet,False,high_flow,60540.0,8623613.462194273,4531941945.1972275,295439.54275119986,60519.0,259657.8017783891
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,all,201749.0,25532669.793810796,12737604138.933105,1675370.9654488463,200646.0,1397546.6269192358
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,low_flow,60410.0,4681075.470074189,1807162646.0346,565660.7405561625,59470.0,552797.8134234622
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,mid_flow,80796.0,11129072.058711547,5314785363.978169,788456.3302245261,80645.0,556981.5386785306
0.05,mcar_point,42,geo_func_hybrid,38,node_flow_chunk_038.parquet,False,high_flow,60543.0,9722522.265025059,5615656128.920335,321253.8946681581,60531.0,287767.2748172432
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,all,201749.0,23494340.66141855,10386594058.49266,1601364.750314692,200643.0,1308318.7580043522
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,low_flow,60377.0,4359307.531065272,1450777149.4493608,575103.0429899801,59457.0,520254.4224973619
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,mid_flow,81121.0,10292824.962227657,4381743065.5713215,691459.1627569783,80959.0,523023.1027538895
0.05,mcar_point,42,geo_func_hybrid,39,node_flow_chunk_039.parquet,False,high_flow,60251.0,8842208.168125618,4554073843.471978,334802.5445677338,60227.0,265041.232753101
0.05,mcar_point,42,geo_func_hybrid,40,node_flow_chunk_040.parquet,False,all,201749.0,24133505.883013424,10873122652.272305,2106035.437915822,200690.0,1340349.1396028916
0.05,mcar_point,42,geo_func_hybrid,40,node_flow_chunk_040.parquet,False,low_flow,60439.0,4428130.898738845,1397832816.8952057,1144774.0629148663,59536.0,540050.7516056234
0.05,mcar_point,42,geo_func_hybrid,40,node_flow_chunk_040.parquet,False,mid_flow,80897.0,10633127.494436067,4775793976.835667,672903.943606535,80754.0,534492.9983452498
0.05,mcar_point,42,geo_func_hybrid,40,node_flow_chunk_040.parquet,False,high_flow,60413.0,9072247.489838513,4699495858.54143,288357.4313944207,60400.0,265805.3896520188
0.05,mcar_point,42,geo_func_hybrid,41,node_flow_chunk_041.parquet,False,all,201749.0,25213101.37483081,12541943484.359617,1706065.8632576251,200636.0,1379671.1545523864
0.05,mcar_point,42,geo_func_hybrid,41,node_flow_chunk_041.parquet,False,low_flow,60697.0,4668328.3743226025,1667847406.700428,605806.9284115923,59795.0,557690.0842528831
0.05,mcar_point,42,geo_func_hybrid,41,node_flow_chunk_041.parquet,False,mid_flow,80520.0,10997813.740626592,5532281488.897306,724546.1464154149,80347.0,539555.6993861276
0.05,mcar_point,42,geo_func_hybrid,41,node_flow_chunk_041.parquet,False,high_flow,60532.0,9546959.25988161,5341814588.761886,375712.7884306184,60494.0,282425.37091337575
0.05,mcar_point,42,geo_func_hybrid,42,node_flow_chunk_042.parquet,False,all,201749.0,26177053.614834376,13756048090.44142,1708343.4216374585,200574.0,1445442.5479202738
0.05,mcar_point,42,geo_func_hybrid,42,node_flow_chunk_042.parquet,False,low_flow,60480.0,4820631.613031272,1823443595.0861301,601817.0331551867,59561.0,568365.4064304081
0.05,mcar_point,42,geo_func_hybrid,42,node_flow_chunk_042.parquet,False,mid_flow,80583.0,11559955.135111297,6222177449.18066,758489.1035434813,80357.0,585922.8934022132
0.05,mcar_point,42,geo_func_hybrid,42,node_flow_chunk_042.parquet,False,high_flow,60686.0,9796466.866691813,5710427046.174629,348037.28493879,60656.0,291154.24808765267
0.05,mcar_point,42,geo_func_hybrid,43,node_flow_chunk_043.parquet,False,all,201749.0,28868074.169860356,16842642877.109018,2107483.9473457155,200426.0,1581904.4874689842
0.05,mcar_point,42,geo_func_hybrid,43,node_flow_chunk_043.parquet,False,low_flow,60622.0,5072862.686365287,2005779489.8311098,777453.4330828534,59593.0,599530.4874158045
0.05,mcar_point,42,geo_func_hybrid,43,node_flow_chunk_043.parquet,False,mid_flow,80592.0,12678755.136412056,7114941409.858246,904554.0902786783,80356.0,644758.1495555062
0.05,mcar_point,42,geo_func_hybrid,43,node_flow_chunk_043.parquet,False,high_flow,60535.0,11116456.347083008,7721921977.419667,425476.4239841837,60477.0,337615.85049767344
0.05,mcar_point,42,geo_func_hybrid,44,node_flow_chunk_044.parquet,False,all,201749.0,28879181.343472246,16396883664.110985,2091412.3766392444,200476.0,1586702.1839176526
0.05,mcar_point,42,geo_func_hybrid,44,node_flow_chunk_044.parquet,False,low_flow,60601.0,5008601.627162667,1942975467.4768357,765340.6726059619,59570.0,603025.8767016847
0.05,mcar_point,42,geo_func_hybrid,44,node_flow_chunk_044.parquet,False,mid_flow,80666.0,12768238.848477,7067736511.630349,932330.9423191766,80456.0,649211.6539331184
0.05,mcar_point,42,geo_func_hybrid,44,node_flow_chunk_044.parquet,False,high_flow,60482.0,11102340.86783257,7386171685.003801,393740.7617141057,60450.0,334464.65328284923
0.05,mcar_point,42,geo_func_hybrid,45,node_flow_chunk_045.parquet,False,all,201749.0,25557727.668150835,12411200881.706478,1889443.6078627019,200505.0,1429101.2036021529
0.05,mcar_point,42,geo_func_hybrid,45,node_flow_chunk_045.parquet,False,low_flow,60618.0,4640543.030759247,1639428630.7826512,728188.9798965787,59589.0,569415.8746847585
0.05,mcar_point,42,geo_func_hybrid,45,node_flow_chunk_045.parquet,False,mid_flow,80697.0,11066964.08006316,5134844175.336479,820392.0665388685,80511.0,563027.8253683366
0.05,mcar_point,42,geo_func_hybrid,45,node_flow_chunk_045.parquet,False,high_flow,60434.0,9850220.55732843,5636928075.587343,340862.56142725516,60405.0,296657.5035490576
