节点ID,node_flow_reference,flow_group,node_history_q95
1520478889,1486.633873110912,mid_flow,1486.633873110912
1520478890,2923.0992771836577,mid_flow,2923.0992771836577
1520478894,3549.891405449539,high_flow,3549.891405449539
1520478899,1353.3798027663934,low_flow,1353.3798027663934
1520478902,1461.9929819576075,low_flow,1461.9929819576075
1520478903,1376.2308049436476,low_flow,1376.2308049436476
1520478905,2047.9398083295978,mid_flow,2047.9398083295978
1520478910,4641.489884173284,high_flow,4641.489884173284
1520478916,5924.371826171875,high_flow,5924.371826171875
1520478918,4258.553975089651,high_flow,4258.553975089651
1520478926,2840.5604067943136,mid_flow,2840.5604067943136
1520478932,1597.3203745357325,mid_flow,1597.3203745357325
1520478934,1342.6439799324412,low_flow,1342.6439799324412
1520478936,1476.2737686907658,mid_flow,1476.2737686907658
1520478938,2862.0683973969008,mid_flow,2862.0683973969008
1520478939,2798.4958175909323,mid_flow,2798.4958175909323
1520478940,4969.9377681544565,high_flow,4969.9377681544565
1520478941,1453.609350986168,low_flow,1453.609350986168
1520478943,2509.6177618308147,mid_flow,2509.6177618308147
1520478946,2527.161150822874,mid_flow,2527.161150822874
1520478949,1330.4966640785092,low_flow,1330.4966640785092
1520478950,2963.5546895011526,high_flow,2963.5546895011526
1520478956,1420.8076181880763,low_flow,1420.8076181880763
1520478957,1283.5912315493724,low_flow,1283.5912315493724
1520478961,5642.835173059682,high_flow,5642.835173059682
1520478962,4418.727775198515,high_flow,4418.727775198515
1520478969,1299.2447549788678,low_flow,1299.2447549788678
1520478973,2949.931158347208,high_flow,2949.931158347208
1520478974,1480.182650206519,mid_flow,1480.182650206519
1520478977,2757.1312495997695,mid_flow,2757.1312495997695
1520478979,1435.7846899814292,low_flow,1435.7846899814292
1520478984,2497.799862720927,mid_flow,2497.799862720927
1520478985,2076.4733506499742,mid_flow,2076.4733506499742
1520478988,2949.2268866867316,high_flow,2949.2268866867316
1520478989,1319.6245667504484,low_flow,1319.6245667504484
1520478991,2694.329809970543,mid_flow,2694.329809970543
1520478992,5409.060258709016,high_flow,5409.060258709016
1520478993,3478.553859022797,high_flow,3478.553859022797
1520478994,2946.1950803662908,high_flow,2946.1950803662908
1520478995,1988.861385157851,mid_flow,1988.861385157851
1520479000,1412.5642380010886,low_flow,1412.5642380010886
1520479001,5983.732706038678,high_flow,5983.732706038678
1520479002,1487.649289991035,mid_flow,1487.649289991035
1520479007,2019.6051295546235,mid_flow,2019.6051295546235
1520479008,5827.597079918033,high_flow,5827.597079918033
1520479010,1441.1720521020109,low_flow,1441.1720521020109
1520479012,2887.9761722752305,mid_flow,2887.9761722752305
1520479017,2186.6066514312242,mid_flow,2186.6066514312242
1520479019,2805.0047267225923,mid_flow,2805.0047267225923
1520479027,3542.668467037013,high_flow,3542.668467037013
1520479028,2887.5724117091445,mid_flow,2887.5724117091445
1520479030,1283.6099583360015,low_flow,1283.6099583360015
1520479031,1469.999484703189,mid_flow,1469.999484703189
1520479033,2733.6116563140367,mid_flow,2733.6116563140367
1520479038,4308.808369620901,high_flow,4308.808369620901
1520479041,2822.957845719134,mid_flow,2822.957845719134
1520479043,3231.497064309042,high_flow,3231.497064309042
1520479044,1386.5618306144338,low_flow,1386.5618306144338
1520479045,5767.434258132685,high_flow,5767.434258132685
1520479050,1477.2361760373976,mid_flow,1477.2361760373976
1520479052,4411.362812980276,high_flow,4411.362812980276
1520479055,2844.7611664318647,mid_flow,2844.7611664318647
1520479057,3579.208309986552,high_flow,3579.208309986552
1520479060,1317.500081046683,low_flow,1317.500081046683
1520479066,1356.4315515737064,low_flow,1356.4315515737064
1520479071,4400.348188556609,high_flow,4400.348188556609
1520479082,1471.6929601450436,mid_flow,1471.6929601450436
1520479086,2217.1780005283044,mid_flow,2217.1780005283044
1520479088,2965.839407498719,high_flow,2965.839407498719
1520479089,2976.029827180456,high_flow,2976.029827180456
1520479095,4196.347149958376,high_flow,4196.347149958376
1520479096,1406.5794087394338,low_flow,1406.5794087394338
1520479097,2877.2307689228996,mid_flow,2877.2307689228996
1520479101,1451.0933377625513,low_flow,1451.0933377625513
1520479104,1476.2737686907658,mid_flow,1476.2737686907658
1520479106,3435.914360671747,high_flow,3435.914360671747
1520479107,2911.9466832895746,mid_flow,2911.9466832895746
1520479111,1420.886835817431,low_flow,1420.886835817431
1520479115,1982.8885698162142,mid_flow,1982.8885698162142
1520479119,1284.9846121365906,low_flow,1284.9846121365906
1520479120,3490.036334928919,high_flow,3490.036334928919
1520479125,1223.4592095046746,low_flow,1223.4592095046746
1520479126,2736.751368788422,mid_flow,2736.751368788422
1520479129,1488.8770952068392,mid_flow,1488.8770952068392
1520479130,3862.0445936859633,high_flow,3862.0445936859633
1520479134,2637.375874503714,mid_flow,2637.375874503714
1520479135,1454.3782728851818,low_flow,1454.3782728851818
1520479137,2951.739688060323,high_flow,2951.739688060323
1520479139,1325.0638027503842,low_flow,1325.0638027503842
1520479140,1349.864233798668,low_flow,1349.864233798668
1520479141,1445.8362466780866,low_flow,1445.8362466780866
1520479145,2025.200903720543,mid_flow,2025.200903720543
1520479146,3645.177250096055,high_flow,3645.177250096055
1520479156,3375.9984731205172,high_flow,3375.9984731205172
1520479157,4198.747404504995,high_flow,4198.747404504995
1520479158,1429.855573810515,low_flow,1429.855573810515
1520479162,1439.000253145812,low_flow,1439.000253145812
1520479166,2915.903278288294,mid_flow,2915.903278288294
1520479169,3702.0315641809684,high_flow,3702.0315641809684
1520479171,3595.3567454853996,high_flow,3595.3567454853996
1520479174,3645.683847896388,high_flow,3645.683847896388
1520479178,1462.9447811939676,low_flow,1462.9447811939676
1520479182,1465.3013435738985,low_flow,1465.3013435738985
1520479184,1261.3769541255763,low_flow,1261.3769541255763
1520479185,5460.078361136015,high_flow,5460.078361136015
1520479187,6594.193047195185,high_flow,6594.193047195185
1520479188,2480.900504690702,mid_flow,2480.900504690702
1520479191,2774.7370205238217,mid_flow,2774.7370205238217
1520479197,2645.9800204918033,mid_flow,2645.9800204918033
1520479199,1340.263755923412,low_flow,1340.263755923412
1520479200,2915.626196689293,mid_flow,2915.626196689293
1520479207,3570.4729564228996,high_flow,3570.4729564228996
1520479214,2694.4201279937242,mid_flow,2694.4201279937242
1520479222,3877.8758925140883,high_flow,3877.8758925140883
1520479235,3893.3534295754353,high_flow,3893.3534295754353
1520479238,1472.397801133453,mid_flow,1472.397801133453
1520479239,1443.4112358718621,low_flow,1443.4112358718621
1520479251,3280.8344946689294,high_flow,3280.8344946689294
1520479252,1441.071196008901,low_flow,1441.071196008901
1520479257,2200.5284463851176,mid_flow,2200.5284463851176
1520479260,1470.4438966844903,mid_flow,1470.4438966844903
1520479261,2595.117689789319,mid_flow,2595.117689789319
1520479263,5031.885650134477,high_flow,5031.885650134477
1520479270,1464.233341404649,low_flow,1464.233341404649
1520479271,5222.34325371414,high_flow,5222.34325371414
1520479276,2903.986007940574,mid_flow,2903.986007940574
1520479277,1864.4581889168162,mid_flow,1864.4581889168162
1520479278,2980.384819656122,high_flow,2980.384819656122
1520479280,1381.8466686811603,low_flow,1381.8466686811603
1520479283,4231.477216876921,high_flow,4231.477216876921
1520479288,1449.6285170258068,low_flow,1449.6285170258068
1520479290,2940.299488505379,mid_flow,2940.299488505379
1520479301,3325.5007704437758,high_flow,3325.5007704437758
1520479304,2480.133032626793,mid_flow,2480.133032626793
1520479310,4790.5711689933405,high_flow,4790.5711689933405
1520479311,1483.3050477074796,mid_flow,1483.3050477074796
1520479320,1435.2311371349897,low_flow,1435.2311371349897
1520479326,2767.3326315957993,mid_flow,2767.3326315957993
1520479330,1991.0859845270877,mid_flow,1991.0859845270877
1520479334,2963.585407194544,high_flow,2963.585407194544
1520479336,2156.322166567943,mid_flow,2156.322166567943
1520479338,1361.3825823674435,low_flow,1361.3825823674435
1520479339,1975.4970543032787,mid_flow,1975.4970543032787
1520479343,3517.968611920466,high_flow,3517.968611920466
1520479345,3609.535008164703,high_flow,3609.535008164703
1520479347,1367.7965328028945,low_flow,1367.7965328028945
1520479348,2976.710941502305,high_flow,2976.710941502305
1520479353,1402.4097780321465,low_flow,1402.4097780321465
1520479354,4352.628043753202,high_flow,4352.628043753202
1520479356,2904.6078601274335,mid_flow,2904.6078601274335
1520479358,1477.7812580046107,mid_flow,1477.7812580046107
1520479362,1419.0867009397414,low_flow,1419.0867009397414
1520479364,1367.589328453189,low_flow,1367.589328453189
1520479370,1455.787052342149,low_flow,1455.787052342149
1520479371,1295.2202698754484,low_flow,1295.2202698754484
1520479372,2805.3334260534066,mid_flow,2805.3334260534066
