missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.1,road_topology_neighbor_fill,long,54,9841857,9841857,0,5075155464.0,6931368017920.0,3029093.859375,9786764,2022762.60546875,9836998,0.0,10468.935546875,515.6705146193447,839.2105865463518,0.3095092371058503,0.2056280387033473,0.08016197853055443,True
0.1,road_topology_neighbor_fill,mid,54,9220267,9220267,0,4759198248.0,6497888534528.0,2866378.54296875,9168559,1896118.15625,9215677,0.0,10447.3779296875,516.1670749881755,839.487782124345,0.31263130258187244,0.20574919848536358,0.08035392112492054,True
0.1,road_topology_neighbor_fill,short,54,2738533,2738533,0,1410064330.0,1922973349888.0,757529.865234375,2722554,562739.1083984375,2737096,0.0,10434.4677734375,514.8976952258746,837.9684035276962,0.2782423655267719,0.20559713959555584,0.08030772835974156,True
0.1,topology_function_hybrid,long,54,9841857,9841857,0,2947630980.0,2175579553792.0,1973792.20703125,9786764,1340683.640625,9841857,0.0,10468.935546875,299.4994725080846,470.1635523411657,0.20167975921675949,0.1362226295936834,0.044910349312591816,True
0.1,topology_function_hybrid,mid,54,9220267,9220267,0,2766632204.0,2043657674752.0,1891131.2421875,9168559,1257793.91015625,9220267,0.0,10447.3779296875,300.0598793939481,470.7955254126746,0.20626264630979635,0.13641621334352358,0.04506351053644299,True
0.1,topology_function_hybrid,short,54,2738533,2738533,0,819037391.0,603448772608.0,483552.849609375,2722554,373418.62939453125,2738533,0.0,10434.4677734375,299.07888311004467,469.4195954393549,0.1776100123668346,0.13635717714357695,0.04498740190988301,True
0.1,zero_fill,long,54,9841857,9841857,0,24008311520.0,72705652817920.0,9786764.0,9786764,19573528.0,9786764,0.0,10468.935546875,2439.408692892002,2717.9756640778946,1.0,2.0,0.25962292459515773,True
0.1,zero_fill,mid,54,9220267,9220267,0,22507609600.0,68234659233792.0,9168559.0,9168559,18337118.0,9168559,0.0,10447.3779296875,2441.1017164687314,2720.387463195254,1.0,2.0,0.26038949500093617,True
0.1,zero_fill,short,54,2738533,2738533,0,6684414048.0,20264757755904.0,2722554.0,2722554,5445108.0,2722554,0.0,10434.4677734375,2440.8740183156456,2720.2681644382715,1.0,2.0,0.2607002315310342,True
0.2,forward_fill,long,54,12297951,12297951,0,2363378348.0,1887816695808.0,1614664.119140625,12229524,1216438.62109375,12258731,0.0,10448.474609375,192.17659494658906,391.7991885307098,0.13203000534940076,0.09923038698652821,0.03749821894376467,True
0.2,forward_fill,mid,54,22885609,22885609,0,3702765500.0,2519974473728.0,2581361.23828125,22758714,1939438.57421875,22808986,0.0,10468.935546875,161.7944927749137,331.8309068477913,0.11342298331449,0.08502958326243656,0.03169671886525689,True
0.2,forward_fill,short,54,8394800,8394800,0,1005029359.0,521745739776.0,702026.123046875,8347593,544191.5390625,8362471,0.0,10413.841796875,119.72046493067137,249.30114828426989,0.08409922753144229,0.06507544708525746,0.02393940230195167,True
0.2,function_curve_fit,long,54,12297951,12297951,0,1711166190.0,871859644416.0,1474782.603515625,12229524,938273.728515625,12297933,0.0,10448.474609375,139.14238152355625,266.2606015558055,0.12059198735090794,0.07629523827423886,0.025483203195699064,True
0.2,function_curve_fit,mid,54,22885609,22885609,0,3145931924.0,1569803649024.0,2518774.5546875,22758714,1736893.7421875,22885400,0.0,10468.935546875,137.46332570830864,261.90357719750307,0.11067297364374366,0.07589527568613615,0.025017211733210247,True
0.2,function_curve_fit,short,54,8394800,8394800,0,1141228138.0,561346832384.0,864789.5556640625,8347593,634863.8173828125,8394750,0.0,10413.841796875,135.94464883022823,258.58924683398465,0.10359747482466652,0.075626292311601,0.02483130163467458,True
0.2,historical_linear_extrapolation,long,54,12297951,12297951,0,2129881978.0,1412011270144.0,1656128.93359375,12229524,1116346.39453125,12279946,0.0,10448.474609375,173.18998734016748,338.8462646045999,0.13542055550107673,0.09090808660976604,0.032430213717566644,True
0.2,historical_linear_extrapolation,mid,54,22885609,22885609,0,3914869896.0,2536109047808.0,2863834.7578125,22758714,2069380.0,22853144,0.0,10468.935546875,171.06251775952302,332.8915143719891,0.1258346476787968,0.09055121693540284,0.03179802883315658,True
0.2,historical_linear_extrapolation,short,54,8394800,8394800,0,1420552088.0,906647034880.0,959507.8486328125,8347593,755462.81640625,8382503,0.0,10413.841796875,169.21809787011006,328.635099462392,0.11494425382655965,0.09012377525021464,0.03155752755539356,True
0.2,road_topology_neighbor_fill,long,54,12297951,12297951,0,6210399008.0,8140644794368.0,3658306.39453125,12229524,2493064.83203125,12295150,0.0,10448.474609375,504.9946131676732,813.6039033792424,0.2991372676917965,0.20276815102143936,0.07786819931104853,True
0.2,road_topology_neighbor_fill,mid,54,22885609,22885609,0,11515467344.0,15067446689792.0,6759208.3125,22758714,4630007.2421875,22880932,0.0,10468.935546875,503.1750452434978,811.4067101543976,0.2969942990847374,0.20235221372046822,0.07750613293216847,True
0.2,road_topology_neighbor_fill,short,54,8394800,8394800,0,4221859072.0,5525693464576.0,2382980.70703125,8347593,1700733.3046875,8392837,0.0,10413.841796875,502.9135979415829,811.3125939478533,0.28546920136514203,0.20264105030128668,0.07790713646056281,True
0.2,topology_function_hybrid,long,54,12297951,12297951,0,3636425396.0,2626956550144.0,2428558.68359375,12229524,1656545.013671875,12297949,0.0,10448.474609375,295.6935993646421,462.17884789877456,0.1985816196602378,0.13470091750029822,0.04423409781597018,True
0.2,topology_function_hybrid,mid,54,22885609,22885609,0,6727185624.0,4829589299200.0,4380888.2421875,22758714,3071516.21875,22885578,0.0,10468.935546875,293.9482896872004,459.3818828186483,0.19249278505751688,0.1342118699711233,0.043880476745868854,True
0.2,topology_function_hybrid,short,54,8394800,8394800,0,2462064828.0,1761908664320.0,1530053.998046875,8347593,1127609.384765625,8394797,0.0,10413.841796875,293.2845127936342,458.12766536617283,0.18329283639569813,0.13432241241397797,0.04399218600609512,True
