seed,noniid_level,method,client_id,mse,rmse,mae,mape
42,medium,Proposed,4,119.33064270019531,10.92385658548277,8.156121253967285,107.4416995048523
2024,medium,Independent,0,9.424337387084961,3.0699083678645787,2.436464309692383,3.0469227582216263
2024,medium,Independent,1,38.07600784301758,6.170575973360799,4.730532169342041,7.783046364784241
2024,medium,Independent,2,125.82274627685547,11.217073873201311,9.657235145568848,10.992327332496643
2024,medium,Independent,3,30.6965274810791,5.5404447006606885,4.214447498321533,5.2168939262628555
2024,medium,Independent,4,125.24516296386719,11.191298537876076,8.526347160339355,105.4155945777893
2024,medium,FedAvg,0,7.539608955383301,2.7458348376009982,2.1962504386901855,2.74574663490057
2024,medium,FedAvg,1,34.12370300292969,5.84154970901812,4.398495674133301,7.1691542863845825
2024,medium,FedAvg,2,78.7907943725586,8.87641787955922,7.210090637207031,7.873661816120148
2024,medium,FedAvg,3,20.048934936523438,4.4776037047201305,3.368492364883423,4.293029010295868
2024,medium,FedAvg,4,110.97750854492188,10.534586301555551,6.982935905456543,104.20819520950317
2024,medium,Proposed,0,7.193238258361816,2.68202130087772,2.1386966705322266,2.672654204070568
2024,medium,Proposed,1,33.9505729675293,5.826712020301784,4.376434326171875,7.124292850494385
2024,medium,Proposed,2,78.48592376708984,8.859228169941773,7.17548942565918,7.826247811317444
2024,medium,Proposed,3,20.009300231933594,4.473175631688699,3.360658645629883,4.284681007266045
2024,medium,Proposed,4,110.2191162109375,10.498529240371601,6.86163854598999,102.45740413665771
2025,medium,Independent,0,7.330353260040283,2.7074625131366608,2.168142318725586,2.8536800295114517
2025,medium,Independent,1,24.98002815246582,4.998002416212484,3.9537179470062256,6.111694499850273
2025,medium,Independent,2,122.84834289550781,11.08369716725912,9.461270332336426,10.536151379346848
2025,medium,Independent,3,24.745866775512695,4.974521763497743,4.019181251525879,5.723587796092033
2025,medium,Independent,4,249.66114807128906,15.800669228589308,12.123624801635742,530.0017356872559
2025,medium,FedAvg,0,6.788431644439697,2.6054618869673947,2.102536678314209,2.7809100225567818
2025,medium,FedAvg,1,19.877450942993164,4.4584135006741095,3.431497573852539,5.36087267100811
2025,medium,FedAvg,2,96.00740051269531,9.798336619686799,7.654416561126709,8.061282336711884
2025,medium,FedAvg,3,23.594078063964844,4.857373576735152,3.860609531402588,5.455036461353302
2025,medium,FedAvg,4,335.16845703125,18.307606534750796,16.18793487548828,527.8162002563477
2025,medium,Proposed,0,5.86659049987793,2.42210456006299,1.9347509145736694,2.5458095595240593
2025,medium,Proposed,1,20.17921257019043,4.492127844372913,3.3819589614868164,5.219471454620361
2025,medium,Proposed,2,96.66973114013672,9.832076644337997,7.589239597320557,7.935605198144913
2025,medium,Proposed,3,22.3864803314209,4.731435335225549,3.701427936553955,5.189794674515724
2025,medium,Proposed,4,333.84100341796875,18.27131641174135,16.016342163085938,484.14316177368164
42,high,Independent,0,221.078857421875,14.86872077288006,11.567898750305176,108.39158296585083
42,high,Independent,1,455.5531921386719,21.34369209248184,16.051694869995117,140.76553583145142
42,high,Independent,2,139.3556671142578,11.804900131481748,7.7858734130859375,11.507049947977066
42,high,Independent,3,101.45745849609375,10.072609319143364,7.762890338897705,277.8909683227539
42,high,Independent,4,296.24652099609375,17.211813413934447,13.971831321716309,25.895655155181885
42,high,FedAvg,0,232.623046875,15.251985014253062,11.645512580871582,107.52638578414917
42,high,FedAvg,1,535.7249755859375,23.145733420782705,17.793025970458984,125.81479549407959
42,high,FedAvg,2,132.59226989746094,11.514871683933823,8.810117721557617,13.440079987049103
42,high,FedAvg,3,113.15170288085938,10.637278922772467,7.9729695320129395,366.3496494293213
42,high,FedAvg,4,273.1090087890625,16.526010068648226,12.609668731689453,22.94403612613678
42,high,Proposed,0,230.3776397705078,15.178196196205523,11.574443817138672,105.51621913909912
42,high,Proposed,1,534.6473388671875,23.122442320550558,17.682065963745117,123.28686714172363
42,high,Proposed,2,139.7594757080078,11.821991190489351,9.1405611038208,13.854514062404633
42,high,Proposed,3,108.57288360595703,10.419831265714288,7.583956718444824,326.52225494384766
42,high,Proposed,4,273.90826416015625,16.55017414289518,12.524614334106445,22.645218670368195
2024,high,Independent,0,117.98294830322266,10.861995594881387,7.877533435821533,18.405169248580933
2024,high,Independent,1,479.8367919921875,21.905177287394583,17.231870651245117,132.19106197357178
2024,high,Independent,2,214.73623657226562,14.653881280134135,11.653003692626953,23.77983331680298
2024,high,Independent,3,159.14869689941406,12.615415050620177,9.419013023376465,97.53790497779846
2024,high,Independent,4,396.9174499511719,19.92278720338025,15.192765235900879,34.45103466510773
2024,high,FedAvg,0,101.8790512084961,10.09351530481309,7.641476631164551,16.94885939359665
2024,high,FedAvg,1,416.1257629394531,20.39916083909956,16.578105926513672,87.6188576221466
2024,high,FedAvg,2,85.55626678466797,9.249663063304952,6.422729969024658,13.503332436084747
