seed,feature_set,method,client_id,mse,rmse,mae,mape
42,flow_region,Proposed,1,19.954147338867188,4.467006529978122,3.5654823780059814,5.73328398168087
42,flow_region,Proposed,2,94.0876693725586,9.699879863820922,7.955398082733154,8.589781820774078
42,flow_region,Proposed,3,17.721572875976562,4.2096998558064165,3.3304085731506348,4.633423686027527
42,flow_region,Proposed,4,127.99185180664062,11.31334839058007,8.438216209411621,109.13660526275635
2024,flow_region,FedAvg,0,8.494460105895996,2.9145257085666607,2.325310230255127,2.9112236574292183
2024,flow_region,FedAvg,1,35.91427230834961,5.9928517675935895,4.5506744384765625,7.442989200353622
2024,flow_region,FedAvg,2,87.22239685058594,9.339293166540278,7.603829860687256,8.371427655220032
2024,flow_region,FedAvg,3,24.3784236907959,4.937451133003333,3.886765956878662,4.910039901733398
2024,flow_region,FedAvg,4,155.8998260498047,12.485985185391046,9.506351470947266,120.99130153656006
2024,flow_region,Proposed,0,7.162942886352539,2.676367479691931,2.118833065032959,2.6487819850444794
2024,flow_region,Proposed,1,34.77202224731445,5.896780668069184,4.437240123748779,7.217434048652649
2024,flow_region,Proposed,2,85.34107971191406,9.238023582558883,7.47587776184082,8.200811594724655
2024,flow_region,Proposed,3,23.83523178100586,4.882133937225182,3.798429489135742,4.777283221483231
2024,flow_region,Proposed,4,139.5312957763672,11.812336592578422,8.738181114196777,113.10139894485474
2025,flow_region,FedAvg,0,6.289123058319092,2.5078124049296613,2.008509635925293,2.642611972987652
2025,flow_region,FedAvg,1,20.094900131225586,4.482733555680683,3.4070382118225098,5.270301550626755
2025,flow_region,FedAvg,2,95.84246826171875,9.789916662654425,7.59716272354126,7.989123463630676
2025,flow_region,FedAvg,3,21.830698013305664,4.672333251524945,3.610227108001709,5.076155439019203
2025,flow_region,FedAvg,4,360.0865173339844,18.975945755982345,16.689437866210938,523.1935977935791
2025,flow_region,Proposed,0,5.716954708099365,2.3910154136055595,1.9091787338256836,2.501419372856617
2025,flow_region,Proposed,1,20.673866271972656,4.546852347720636,3.449793577194214,5.308568850159645
2025,flow_region,Proposed,2,95.65465545654297,9.780319803387973,7.542786121368408,7.907242327928543
2025,flow_region,Proposed,3,21.928537368774414,4.682791621327434,3.5857343673706055,5.02275750041008
2025,flow_region,Proposed,4,346.327392578125,18.60987352396907,16.213428497314453,480.3804874420166
42,full,FedAvg,0,16.22551155090332,4.028090310668732,3.4066262245178223,4.403283819556236
42,full,FedAvg,1,28.02925682067871,5.294266410058972,4.278059959411621,7.013999670743942
42,full,FedAvg,2,107.23746490478516,10.35555237081949,8.79106330871582,9.572457522153854
42,full,FedAvg,3,34.84978485107422,5.903370634736922,4.593160629272461,6.32302463054657
42,full,FedAvg,4,221.19998168945312,14.872793338490693,11.308133125305176,110.96997261047363
42,full,Proposed,0,15.97536563873291,3.9969195186709614,3.3667519092559814,4.349060356616974
42,full,Proposed,1,27.79663848876953,5.27225174747655,4.262979507446289,6.983090937137604
42,full,Proposed,2,109.03291320800781,10.44188264672649,8.86850357055664,9.65609923005104
42,full,Proposed,3,36.589447021484375,6.048921145252629,4.664612293243408,6.409982591867447
42,full,Proposed,4,233.77719116210938,15.289774071650287,11.705862998962402,113.46344947814941
2024,full,FedAvg,0,15.427433967590332,3.9277772298833766,3.248138666152954,4.049735516309738
2024,full,FedAvg,1,39.81165313720703,6.3096476238540475,4.867626667022705,7.969547063112259
2024,full,FedAvg,2,97.24462127685547,9.861268745798153,7.971076011657715,8.72962549328804
2024,full,FedAvg,3,31.83737564086914,5.642461842216493,4.451914310455322,5.5962201207876205
