experiment,scenario,method,metric,mean,std,ci95_lower,ci95_upper,best,worst,n
fed_robustness,client_dropout@0.2,FedAvg,r2,0.22124945483340097,0.07561852398879129,0.15496689611452372,0.2875320135522782,0.2981828105043557,0.09780216171882847,5
fed_robustness,client_dropout@0.2,FedAvg,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.2,FedAvg,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.2,Proposed,mae,5.8610598087310795,0.5872507869949126,5.346311798343217,6.375807819118942,5.270062208175659,6.744352769851685,5
fed_robustness,client_dropout@0.2,Proposed,rmse,7.500225262936878,0.5371385246378527,7.029402587202598,7.971047938671158,6.8194813885717025,8.372717132635664,5
fed_robustness,client_dropout@0.2,Proposed,mape,46.78781355917454,29.720071016899418,20.737022715930447,72.83860440241862,15.052408203482628,97.17541456222534,5
fed_robustness,client_dropout@0.2,Proposed,r2,0.24512298681055236,0.0707525962813882,0.1831056017815975,0.30714037183950726,0.3189591899988361,0.13164653732555864,5
fed_robustness,client_dropout@0.2,Proposed,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.2,Proposed,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.4,FedAvg,mae,5.953369598388672,0.5763815368046928,5.448148905858405,6.45859029091894,5.23976764678955,6.781969165802002,5
fed_robustness,client_dropout@0.4,FedAvg,rmse,7.5882120109737174,0.5381421412595832,7.116509626483539,8.059914395463897,7.013159984566732,8.3522801040539,5
fed_robustness,client_dropout@0.4,FedAvg,mape,46.4963827803731,31.656852969745053,18.747927704299215,74.24483785644698,13.869173526763916,101.58198826014996,5
fed_robustness,client_dropout@0.4,FedAvg,r2,0.2288538631035419,0.07206642360972475,0.1656848576455789,0.2920228685615049,0.35185852744849466,0.1664592918685531,5
fed_robustness,client_dropout@0.4,FedAvg,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.4,FedAvg,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.4,Proposed,mae,5.900285511016845,0.557280495494303,5.411807619396515,6.388763402637175,5.194192123413086,6.666184377670288,5
fed_robustness,client_dropout@0.4,Proposed,rmse,7.548861955524265,0.5203434368271944,7.092760823338807,8.004963087709722,7.036706159686628,8.262438057081443,5
fed_robustness,client_dropout@0.4,Proposed,mape,45.160395398736,29.736266545913207,19.0954085483998,71.2253822490722,13.888377621769905,96.22591190040112,5
fed_robustness,client_dropout@0.4,Proposed,r2,0.23953766433420692,0.0778397611484116,0.17130810540037034,0.3077672232680435,0.3623788337079825,0.1543470804899461,5
fed_robustness,client_dropout@0.4,Proposed,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,client_dropout@0.4,Proposed,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@0,FedAvg,mae,6.08798300743103,0.6071060238356845,5.555831114603321,6.62013490025874,5.308116245269775,6.9668297290802,5
fed_robustness,communication_delay@0,FedAvg,rmse,7.721048176855156,0.4693630814943982,7.309633296365859,8.132463057344452,7.237227008226304,8.515714999894765,5
fed_robustness,communication_delay@0,FedAvg,mape,50.43866354227066,33.885180835492804,20.73699297328093,80.14033411126039,14.601234793663025,109.88637782633305,5
fed_robustness,communication_delay@0,FedAvg,r2,0.18665248830127773,0.09233868402112169,0.10571406312702986,0.2675909134755256,0.3163049653157379,0.03961286932765347,5
fed_robustness,communication_delay@0,FedAvg,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@0,FedAvg,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@0,Proposed,mae,6.007138938903808,0.5967444347092512,5.484069379391617,6.530208498416,5.273908090591431,6.912314701080322,5
fed_robustness,communication_delay@0,Proposed,rmse,7.645606940828172,0.4811959797481016,7.2238200677113555,8.067393813944987,7.181516888664859,8.482442659876511,5
fed_robustness,communication_delay@0,Proposed,mape,49.246761277318,32.592366389876815,20.678292533543164,77.81523002109284,14.38147284090519,106.03964261710644,5
fed_robustness,communication_delay@0,Proposed,r2,0.21014651698073,0.0777449704837045,0.14200004572790104,0.27829298823355897,0.3287282991289654,0.09908376304800248,5
fed_robustness,communication_delay@0,Proposed,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@0,Proposed,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@1,FedAvg,mae,6.364362182617187,0.7325555443592116,5.7222489367804155,7.0064754284539585,5.421439123153687,7.398121118545532,5
fed_robustness,communication_delay@1,FedAvg,rmse,7.978334979614355,0.579325586557859,7.470533713696217,8.486136245532492,7.3800124361864645,8.870342647616232,5
fed_robustness,communication_delay@1,FedAvg,mape,54.37683433294296,39.23848356382345,19.982787032517727,88.77088163336819,15.002972185611725,125.51011249423027,5
fed_robustness,communication_delay@1,FedAvg,r2,0.1314908919701751,0.10589528699244041,0.03866958036709227,0.22431220357325793,0.2917227226528495,-0.029146758725995436,5
fed_robustness,communication_delay@1,FedAvg,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@1,FedAvg,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@1,Proposed,mae,6.303564758300782,0.7677124369901827,5.63063513735821,6.976494379243354,5.327361297607422,7.302743864059448,5
fed_robustness,communication_delay@1,Proposed,rmse,7.9319406871176525,0.6143745624105014,7.393417639320598,8.470463734914707,7.265853592322292,8.785771822047977,5
fed_robustness,communication_delay@1,Proposed,mape,53.318417236208916,38.13231646709383,19.893968146306,86.74286632611182,14.848232865333557,122.3795959353447,5
fed_robustness,communication_delay@1,Proposed,r2,0.1486622625297195,0.1150312780097244,0.04783290171969869,0.24949162333974034,0.31475754887470464,-0.04031077065394591,5
fed_robustness,communication_delay@1,Proposed,communication_rounds,3.0,0.0,3.0,3.0,3.0,3.0,5
fed_robustness,communication_delay@1,Proposed,convergence_round,3.0,0.0,3.0,3.0,3.0,3.0,5
