experiment,scenario_type,scenario,method,seed,dropout_rate,delay_rounds,noise_std,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
fed_robustness,client_dropout,client_dropout@0.4,FedAvg,42,0.4,,,74.37849159240723,7.406561936060474,5.872626256942749,27.627215832471848,0.18165173495833337,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,FedAvg,1234,0.4,,,104.83526344299317,8.3522801040539,6.781969165802002,101.58198826014996,0.2702471228788245,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,FedAvg,2024,0.4,,,54.91788272857666,7.013159984566732,5.457615661621094,28.12865376472473,0.1664592918685531,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,FedAvg,3407,0.4,,,65.0951608657837,7.084291042511694,5.23976764678955,61.27488251775503,0.35185852744849466,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,FedAvg,5678,0.4,,,90.77761363983154,8.084766987675783,6.414869260787964,13.869173526763916,0.1740526383635039,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,Proposed,42,0.4,,,73.49654388427734,7.324573100627404,5.7647792339324955,27.258517742156982,0.21051766470760597,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,Proposed,1234,0.4,,,103.67980155944824,8.262438057081443,6.666184377670288,96.22591190040112,0.29467129788493535,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,Proposed,2024,0.4,,,55.21598873138428,7.0446776338519,5.465689325332642,28.193733915686607,0.1543470804899461,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,Proposed,3407,0.4,,,64.33959693908692,7.036706159686628,5.194192123413086,60.23543581366539,0.3623788337079825,,,3.0,3.0
fed_robustness,client_dropout,client_dropout@0.4,Proposed,5678,0.4,,,90.57755165100097,8.075914826373946,6.410582494735718,13.888377621769905,0.17577344488056462,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,FedAvg,42,,0.0,,75.85069599151612,7.768677075093765,6.324328279495239,31.016627624630928,0.03961286932765347,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,FedAvg,1234,,0.0,,107.46272449493408,8.515714999894765,6.9668297290802,109.88637782633305,0.22607910313897034,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,FedAvg,2024,,0.0,,62.38265857696533,7.250769911922058,5.50184440612793,31.963312104344368,0.14095984204809975,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,FedAvg,3407,,0.0,,67.42031574249268,7.237227008226304,5.308116245269775,64.72576536238194,0.3163049653157379,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,FedAvg,5678,,0.0,,84.96405944824218,7.832851889138885,6.338796377182007,14.601234793663025,0.21030566167592718,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,Proposed,42,,0.0,,72.51532974243165,7.570107297335357,6.117518758773803,30.43290041387081,0.09908376304800248,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,Proposed,1234,,0.0,,107.90778636932373,8.482442659876511,6.912314701080322,106.03964261710644,0.24386240429146006,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,Proposed,2024,,0.0,,61.19979820251465,7.186986782324394,5.434982585906982,31.697975397109985,0.15921480825697004,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,Proposed,3407,,0.0,,66.53514995574952,7.181516888664859,5.273908090591431,63.68181511759758,0.3287282991289654,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@0,Proposed,5678,,0.0,,84.66721820831299,7.80698107593974,6.296970558166504,14.38147284090519,0.2198433101782519,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,FedAvg,42,,1.0,,97.35420665740966,8.393435235126962,6.897663831710815,32.50742867588997,-0.029146758725995436,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,FedAvg,1234,,1.0,,110.07496452331543,8.870342647616232,7.398121118545532,125.51011249423027,0.0944485914813,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,FedAvg,2024,,1.0,,65.34259052276612,7.3993019650342635,5.701407241821289,32.68561132252216,0.11473924390663999,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,FedAvg,3407,,1.0,,69.97818946838379,7.3800124361864645,5.421439123153687,66.17804698646069,0.2917227226528495,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,FedAvg,5678,,1.0,,83.88997077941895,7.848582614107859,6.403179597854614,15.002972185611725,0.18569066053608158,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,Proposed,42,,1.0,,100.36665115356445,8.475880944969742,6.956106328964234,32.66008481383324,-0.04031077065394591,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,Proposed,1234,,1.0,,108.73166885375977,8.785771822047977,7.302743864059448,122.3795959353447,0.12159234227731182,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,Proposed,2024,,1.0,,63.04962425231933,7.265853592322292,5.552521991729736,31.84647023677826,0.15263183603470956,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,Proposed,3407,,1.0,,68.73298568725586,7.291299584538467,5.327361297607422,64.85770232975483,0.31475754887470464,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@1,Proposed,5678,,1.0,,84.13495559692383,7.840897491709787,6.379090309143066,14.848232865333557,0.19464035611581737,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,FedAvg,42,,2.0,,78.92838745117187,7.698465772998267,6.265626049041748,30.28189480304718,0.10440212619149672,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,FedAvg,1234,,2.0,,109.45509567260743,8.791184304889,7.261449480056763,122.47438326478004,0.13195999730592176,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,FedAvg,2024,,2.0,,63.66505126953125,7.27897791251111,5.571488285064698,31.68901562690735,0.15007290229831,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,FedAvg,3407,,2.0,,71.3691795349121,7.456745312581975,5.523507022857666,65.79721510410309,0.2817386065198736,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,FedAvg,5678,,2.0,,84.93471755981446,7.933929109025814,6.490466213226318,15.350233241915703,0.1555726568036248,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,Proposed,42,,2.0,,76.57391681671143,7.575802425318516,6.14153151512146,29.93945710361004,0.13788529683690054,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,Proposed,1234,,2.0,,108.64185733795166,8.73996239814666,7.205840301513672,120.14464221894741,0.14761811607151681,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,Proposed,2024,,2.0,,62.14900913238525,7.17461707985191,5.463199090957642,30.836009830236435,0.187059744628708,,,3.0,3.0
fed_robustness,communication_delay,communication_delay@2,Proposed,3407,,2.0,,69.65595817565918,7.351532827705549,5.406531190872192,64.3301211297512,0.30617435623185674,,,3.0,3.0
