seed,method,client_id,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round,noise_std,experiment,scenario_type,scenario,dropout_rate,delay_rounds
42,FedAvg,1,20.121286392211914,4.4856756895937,3.648212432861328,5.852964147925377,0.2770477752276358,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,FedAvg,2,91.1807632446289,9.548861882163179,7.82426643371582,8.43028724193573,0.07619818906688225,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,FedAvg,3,20.974645614624023,4.579808469207421,3.641273260116577,4.99240830540657,0.6808495504929583,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,FedAvg,4,222.32142639160156,14.910446887722767,11.4088134765625,118.06893348693848,-0.21310828471977095,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,Proposed,0,7.928674221038818,2.8157901592694756,2.304518461227417,2.9489193111658096,0.3260572050740578,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,Proposed,1,19.782588958740234,4.447762241705399,3.6184709072113037,5.784614756703377,0.28921707128081764,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,Proposed,2,90.91077423095703,9.53471416619067,7.779913425445557,8.365742862224579,0.07893363807236575,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,Proposed,3,21.042932510375977,4.587257624155851,3.6245663166046143,4.955154657363892,0.6798105488754458,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,Proposed,4,223.18817138671875,14.939483638557215,11.393855094909668,117.33886003494263,-0.2178376624776437,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
42,FedAvg,0,7.719857215881348,2.7784631032067617,2.2284224033355713,2.8218362480401993,0.3438067918380434,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,FedAvg,1,21.554580688476562,4.642691104141709,3.739575147628784,5.828079953789711,0.22554974969160013,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,FedAvg,2,93.17108917236328,9.652517245380258,7.633955478668213,8.069229125976562,0.056033031514015175,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,FedAvg,3,23.571002960205078,4.854997730195667,3.8267464637756348,5.155522748827934,0.6413433581931416,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,FedAvg,4,249.7702178955078,15.80412028223994,11.84659194946289,108.95724296569824,-0.36288409965983237,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,Proposed,0,7.686949729919434,2.772534892462029,2.223027467727661,2.8131017461419106,0.3466039812325886,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,Proposed,1,21.745046615600586,4.663158437754457,3.74473237991333,5.825939029455185,0.21870649872005177,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,Proposed,2,93.29821014404297,9.659099861997648,7.591960906982422,8.01224485039711,0.05474507347890478,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,Proposed,3,23.845273971557617,4.883162292158394,3.84157657623291,5.172842741012573,0.6371700704092276,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
42,Proposed,4,249.53656005859375,15.796726244972207,11.7940673828125,108.37283134460449,-0.3616089670002245,,,3,3,0.05,fed_robustness,gradient_noise,gradient_noise@0.05,,
2024,FedAvg,0,13.576773643493652,3.6846673721645016,3.0551440715789795,3.8197211921215057,-0.3092033070073532,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,FedAvg,1,39.44704818725586,6.280688512197995,4.902861595153809,8.086804300546646,0.04822493111259085,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,FedAvg,2,81.3387451171875,9.018799538585359,7.392249584197998,8.173807710409164,0.055281001528984186,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,FedAvg,3,23.6643123626709,4.86459786237988,3.971252202987671,5.087332054972649,0.6782159627571845,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,FedAvg,4,153.88641357421875,12.405096274282547,8.187714576721191,134.64889526367188,0.23228062184909237,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,Proposed,0,13.010976791381836,3.6070731613569795,2.985966920852661,3.7335220724344254,-0.25464367497368534,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,Proposed,1,39.08919143676758,6.252134950300383,4.88008451461792,8.04867148399353,0.05685931214924722,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,Proposed,2,80.94782257080078,8.997100786964698,7.374139308929443,8.15349668264389,0.059821461603573045,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,Proposed,3,23.595439910888672,4.857513758178012,3.9625632762908936,5.082042142748833,0.6791524640073456,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,Proposed,4,149.35556030273438,12.221111254821894,7.972158908843994,133.47214460372925,0.2548844784983696,,,3,3,0.0,fed_robustness,gradient_noise,gradient_noise@0.0,,
2024,FedAvg,0,16.340335845947266,4.0423181277513605,3.4047460556030273,4.250814393162727,-0.5756924209256065,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
2024,FedAvg,1,42.64304733276367,6.530164418509206,5.162572383880615,8.563686907291412,-0.028887821998839547,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
2024,FedAvg,2,89.64685821533203,9.468202480689353,7.8695855140686035,8.763926476240158,-0.041214695083754416,,,3,3,0.02,fed_robustness,gradient_noise,gradient_noise@0.02,,
