rank,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,recommended_for_top3,recommended_for_top5
125,323,10,23,116.519194,39.93256970750988,95,236749.859375,False,False
126,340,11,10,116.285194,39.95056970750988,100,235771.4375,False,False
127,132,4,12,116.321194,39.82456970750988,121,235129.6875,False,False
128,408,13,18,116.429194,39.98656970750988,109,227972.5625,False,False
129,200,6,20,116.465194,39.86056970750988,82,226408.171875,False,False
130,296,9,26,116.573194,39.91456970750988,82,224388.765625,False,False
131,245,8,5,116.195194,39.89656970750988,112,216678.90625,False,False
132,492,16,12,116.321194,40.040569707509874,80,208858.1875,False,False
133,43,1,13,116.339194,39.77056970750988,81,205414.453125,False,False
134,432,14,12,116.321194,40.00456970750988,90,205021.640625,False,False
135,321,10,21,116.483194,39.93256970750988,80,203399.390625,False,False
136,192,6,12,116.321194,39.86056970750988,73,202296.453125,False,False
137,267,8,27,116.591194,39.89656970750988,74,200878.140625,False,False
138,396,13,6,116.213194,39.98656970750988,98,189263.453125,False,False
139,412,13,22,116.501194,39.98656970750988,96,188819.578125,False,False
140,162,5,12,116.321194,39.842569707509874,78,186197.15625,False,False
141,445,14,25,116.555194,40.00456970750988,56,177773.296875,False,False
142,4,0,4,116.177194,39.75256970750988,51,175352.109375,False,False
143,276,9,6,116.213194,39.91456970750988,94,169125.046875,False,False
144,608,20,8,116.249194,40.11256970750988,62,166202.6875,False,False
145,282,9,12,116.321194,39.91456970750988,86,165964.984375,False,False
146,382,12,22,116.501194,39.96856970750988,75,163847.390625,False,False
147,305,10,5,116.195194,39.93256970750988,60,160169.8125,False,False
148,265,8,25,116.555194,39.89656970750988,82,159403.578125,False,False
149,198,6,18,116.429194,39.86056970750988,77,151846.65625,False,False
150,248,8,8,116.249194,39.89656970750988,54,144321.40625,False,False
151,232,7,22,116.501194,39.87856970750988,55,142701.90625,False,False
152,430,14,10,116.285194,40.00456970750988,68,136883.625,False,False
153,351,11,21,116.483194,39.95056970750988,81,136719.984375,False,False
154,535,17,25,116.555194,40.05856970750988,60,135176.578125,False,False
155,489,16,9,116.267194,40.040569707509874,64,129512.984375,False,False
156,164,5,14,116.357194,39.842569707509874,53,123001.1484375,False,False
157,464,15,14,116.357194,40.02256970750988,74,121490.6328125,False,False
158,429,14,9,116.267194,40.00456970750988,50,120383.1015625,False,False
159,34,1,4,116.177194,39.77056970750988,36,116939.5546875,False,False
160,328,10,28,116.609194,39.93256970750988,35,112709.734375,False,False
161,219,7,9,116.267194,39.87856970750988,43,108968.59375,False,False
162,101,3,11,116.303194,39.80656970750988,35,108565.4453125,False,False
163,465,15,15,116.375194,40.02256970750988,76,108165.53125,False,False
164,365,12,5,116.195194,39.96856970750988,53,104587.6953125,False,False
165,266,8,26,116.573194,39.89656970750988,52,104108.8984375,False,False
166,222,7,12,116.321194,39.87856970750988,48,97159.78125,False,False
167,327,10,27,116.591194,39.93256970750988,35,93344.046875,False,False
168,158,5,8,116.249194,39.842569707509874,59,86754.65625,False,False
169,508,16,28,116.609194,40.040569707509874,29,85515.078125,False,False
170,475,15,25,116.555194,40.02256970750988,39,84035.6484375,False,False
171,268,8,28,116.609194,39.89656970750988,37,82601.046875,False,False
172,199,6,19,116.447194,39.86056970750988,41,82516.9296875,False,False
173,431,14,11,116.303194,40.00456970750988,38,82190.0625,False,False
174,324,10,24,116.537194,39.93256970750988,37,72598.1171875,False,False
175,129,4,9,116.267194,39.82456970750988,46,71567.3984375,False,False
176,329,10,29,116.627194,39.93256970750988,36,68352.1328125,False,False
177,520,17,10,116.285194,40.05856970750988,23,67139.1171875,False,False
178,111,3,21,116.483194,39.80656970750988,22,65655.6171875,False,False
179,534,17,24,116.537194,40.05856970750988,34,61448.28515625,False,False
180,251,8,11,116.303194,39.89656970750988,27,60793.55859375,False,False
181,310,10,10,116.285194,39.93256970750988,24,58494.0234375,False,False
182,193,6,13,116.339194,39.86056970750988,27,57848.11328125,False,False
183,370,12,10,116.285194,39.96856970750988,24,57644.17578125,False,False
184,131,4,11,116.303194,39.82456970750988,19,54269.71484375,False,False
185,439,14,19,116.447194,40.00456970750988,20,52913.32421875,False,False
186,566,18,26,116.573194,40.07656970750988,22,52253.203125,False,False
