missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,function_curve_fit,mid_flow,61,4111809,4111809,66678,632713331.0,296349279744.0,287374.0754394531,4111809,282223.412109375,4111809,1488.5931396484375,2911.889404296875,153.87712099467657,268.4636383305292,0.0698899378447425,0.0686372864375205,0.1886210517083323,False
0.05,function_curve_fit,overall,61,12306677,12306677,201900,1685762448.0,846023696384.0,1353493.4287109375,12234225,945149.1328125,12305652,0.0,10435.140625,136.97949885253345,262.1928610240825,0.1106317260562837,0.0768060995721722,0.0251259537792843,False
0.05,historical_linear_extrapolation,high_flow,61,4093100,4093100,131850,763200807.5,538176514816.0,203094.70263671875,4093100,214710.22631835935,4093100,2911.8896484375,10435.140625,186.4603375192397,362.6070080335573,0.0496187981326424,0.0524566285500865,0.0481981804359846,False
0.05,historical_linear_extrapolation,low_flow,61,4101768,4101768,136083,504666417.5,311875849472.0,904785.5307617188,4029316,528591.8525390625,4077918,0.0,1488.593017578125,123.03631446244644,275.74352721710125,0.2245506509694744,0.129622972443061,0.1852376868364758,False
0.05,historical_linear_extrapolation,mid_flow,61,4111809,4111809,136620,796734422.5,490383735552.0,357335.07421875,4111809,359934.2763671875,4111809,1488.5931396484375,2911.889404296875,193.76737161186236,345.3437196341536,0.0869045897362328,0.0875367207881464,0.2426365671095578,False
0.05,historical_linear_extrapolation,overall,61,12306677,12306677,404553,2064601666.0,1340436092416.0,1465215.2841796875,12234225,1103236.3623046875,12282827,0.0,10435.140625,167.76272473877393,330.02941941592456,0.119763637188272,0.0898194171671299,0.031626734250735,False
0.05,mean_fill,high_flow,61,4093100,4093100,70289,597067974.5,309866125568.0,158918.91943359375,4093100,165447.42138671875,4093100,2911.8896484375,10435.140625,145.87182685495102,275.1445237439325,0.0388260534640233,0.0404210552849231,0.0365725568110251,False
0.05,mean_fill,low_flow,61,4101768,4101768,71875,407110907.0,217132207872.0,819825.4365234375,4029316,436478.50927734375,4077285,0.0,1488.593017578125,99.25254353732342,230.07878639221448,0.2034651629515872,0.107051263102124,0.154561242512438,False
0.05,mean_fill,mid_flow,61,4111809,4111809,70467,621213181.0,295038243328.0,280734.79638671875,4111809,276992.9284667969,4111809,1488.5931396484375,2911.889404296875,151.0802619966054,267.86914432647154,0.0682752521789603,0.0673652225740049,0.1882033635440171,False
0.05,mean_fill,overall,61,12306677,12306677,212631,1625392060.0,822036568064.0,1259479.146484375,12234225,878918.859375,12282194,0.0,10435.140625,132.07400015455025,258.4491853463484,0.1029471949783803,0.0715604117126793,0.0247671971690701,False
0.05,road_topology_neighbor_fill,high_flow,61,4093100,4093100,66914,2777949278.0,4107767796736.0,717624.3247070312,4093100,736084.9375,4093100,2911.8896484375,10435.140625,678.6907913317534,1001.7901687670932,0.1753253828899932,0.1798355616769685,0.1331592116078557,False
0.05,road_topology_neighbor_fill,low_flow,61,4101768,4101768,68308,1631502574.0,2339512815104.0,2052563.5258789065,4029316,1033950.298828125,4091700,0.0,1488.593017578125,397.7559369520656,755.2264086908328,0.5094074343831326,0.2526945521001356,0.5073424366315736,False
0.05,road_topology_neighbor_fill,mid_flow,61,4111809,4111809,66678,1968750869.0,2455369294848.0,899887.6220703125,4111809,769779.75,4111809,1488.5931396484375,2911.889404296875,478.8040662880985,772.7552136906666,0.2188544317283007,0.1872119424807913,0.5429334938088534,False
0.05,road_topology_neighbor_fill,overall,61,12306677,12306677,201900,6378202702.0,8902650089472.0,3670075.4833984375,12234225,2539814.984375,12296609,0.0,10435.140625,518.2717237155083,850.5292444989763,0.29998430496402,0.2065459659955846,0.081506256126661,False
0.1,correlation_topology_neighbor_fill,high_flow,61,8184671,8184671,247582,515206762.0,169950706944.0,131380.91259765625,8184671,134373.2364501953,8184671,2911.8896484375,10468.935546875,62.94776686808792,144.09896927703,0.0160520700951395,0.0164176710890633,0.0190681611854208,False
0.1,correlation_topology_neighbor_fill,low_flow,61,8210938,8210938,350741,266008073.5,80427812544.0,469812.7412109375,8066675,497907.23974609375,8186147,0.0,1488.593017578125,32.396794799814586,98.97072282228083,0.0582411887439295,0.0608231491257234,0.0664860856215097,False
0.1,correlation_topology_neighbor_fill,mid_flow,61,8217745,8217745,294646,413136396.0,125196570624.0,186020.66772460935,8217745,188128.45263671875,8217745,1488.5931396484375,2911.889404296875,50.273693817464526,123.42976042550102,0.0226364614288481,0.0228929533146524,0.0867210597619244,False
0.1,correlation_topology_neighbor_fill,overall,61,24613354,24613354,892969,1194351224.0,375575097344.0,787214.2958984375,24469091,820408.9306640625,24588563,0.0,10468.935546875,48.52452144474093,123.52731318009042,0.0321717834102802,0.0333654687613937,0.0117994148141415,False
