missing_rate,method,chunk_index,day_index,flow_group,is_warmup_day,missing_count,valid_eval_count,fallback_count,mae,rmse,mape,smape,nrmse,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max
0.3,mean_fill,33,33,low_flow,False,404313,404313,90,95.5570297241211,210.64019775390625,0.168885126709938,0.1058236137032508,0.1415028906758615,38634948.0,17939081216.0,67037.09375,396939,42514.84765625,401752,0.0,1488.5928955078125
0.3,mean_fill,33,33,mid_flow,False,401987,401987,94,149.85546875,260.233642578125,0.067519798874855,0.067459151148796,0.1828390163215397,60239952.0,27223181312.0,27142.080078125,401987,27117.701171875,401987,1488.5931396484375,2911.886962890625
0.3,mean_fill,33,33,overall,False,1208714,1208714,259,130.62454223632812,249.9281005859375,0.0914516746997833,0.0713189244270324,0.0240536489591219,157887712.0,75501182976.0,109864.5546875,1201340,86021.5390625,1206153,0.0,10390.4443359375
0.3,mean_fill,34,34,high_flow,False,406088,406088,76,154.67750549316406,285.90264892578125,0.0409688800573349,0.0428462885320186,0.0385188946005827,62812676.0,33193762816.0,16636.970703125,406088,17399.36328125,406088,2911.895751953125,10334.2958984375
0.3,mean_fill,34,34,low_flow,False,403069,403069,88,97.09034729003906,216.68087768554688,0.2411169409751892,0.1036863774061203,0.1455608585603048,39134108.0,18924333056.0,95595.390625,396469,41528.36328125,400519,0.0,1488.593017578125
0.3,mean_fill,34,34,mid_flow,False,400921,400921,93,155.7990264892578,273.7094421386719,0.0702458694577217,0.0701421201229095,0.1923067406357759,62463100.0,30035742720.0,28163.04296875,400921,28121.44921875,400921,1488.59326171875,2911.889404296875
0.3,mean_fill,34,34,overall,False,1210078,1210078,257,135.86721801757812,260.55975341796875,0.116658054292202,0.072088748216629,0.0252131113700125,164409936.0,82153865216.0,140395.40625,1203478,87049.1796875,1207528,0.0,10334.2958984375
0.3,mean_fill,35,35,high_flow,False,407675,407675,86,148.4585418701172,272.1725769042969,0.0393607579171657,0.0410919673740863,0.0364290583875245,60522836.0,30199711744.0,16046.3974609375,407675,16752.16796875,407675,2911.89111328125,10383.1953125
0.3,mean_fill,35,35,low_flow,False,400840,400840,75,96.762451171875,215.6143341064453,0.2088260948657989,0.1037355810403823,0.1448444284536944,38786260.0,18634866688.0,82334.0703125,394271,41313.62890625,398259,0.0,1488.592529296875
0.3,mean_fill,35,35,mid_flow,False,400874,400874,90,149.4228057861328,257.8109130859375,0.06716138869524,0.0674866661429405,0.1811368482731986,59899720.0,26644676608.0,26923.25390625,400874,27053.650390625,400874,1488.5931396484375,2911.88671875
0.3,mean_fill,35,35,overall,False,1209389,1209389,251,131.64402770996094,249.82208251953125,0.1041749641299247,0.0705327093601226,0.0240602314606158,159208848.0,75479261184.0,125303.734375,1202820,85119.4375,1206808,0.0,10383.1953125
0.3,mean_fill,36,36,high_flow,False,403066,403066,97,140.55081176757812,256.9551086425781,0.0375328585505485,0.0388732217252254,0.0344937282812009,56651252.0,26612807680.0,15128.21875,403066,15668.474609375,403066,2911.892333984375,10361.220703125
0.3,mean_fill,36,36,low_flow,False,401510,401510,71,99.37213897705078,227.7301025390625,0.1677544713020324,0.1064438074827194,0.1529834547454544,39898908.0,20822710272.0,66180.3125,394507,42452.23828125,398823,0.0,1488.593017578125
0.3,mean_fill,36,36,mid_flow,False,405507,405507,86,149.55264282226562,261.0927429199219,0.0675295367836952,0.067160427570343,0.1834424276574695,60644644.0,27643176960.0,27383.69921875,405507,27234.0234375,405507,1488.5931396484375,2911.888427734375
0.3,mean_fill,36,36,overall,False,1210083,1210083,254,129.90415954589844,249.08680725097656,0.0903449803590774,0.0706932544708252,0.0240402954813857,157194816.0,75078672384.0,108692.2421875,1203080,85354.75,1207396,0.0,10361.220703125
0.3,mean_fill,37,37,high_flow,False,410952,410952,103,126.30623626708984,245.0216827392578,0.0334828719496727,0.0349065400660038,0.0325343263142232,51905800.0,24671760384.0,13759.8525390625,410952,14344.912109375,410952,2911.89013671875,10443.064453125
