missing_rate,method,flow_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.1,function_curve_fit,high_flow,54,7277947,7277947,0,1110324612.0,544829022720.0,295889.90966796875,7277947,306833.62109375,7277947,2911.8896484375,10468.935546875,152.5601398306418,273.60603516345606,0.04065568348711096,0.042159364597426995,0.03620542191228811,True
0.1,function_curve_fit,low_flow,54,7258806,7258806,0,737898805.0,396394539520.0,1815277.734375,7134180,850039.9541015625,7258683,0.0,1488.593017578125,101.6556724342819,233.68521550443,0.25444798622616754,0.11710663685155592,0.1569839524604418,True
0.1,function_curve_fit,mid_flow,54,7251176,7251176,0,1105453550.0,509842634240.0,502233.41943359375,7251176,491687.9755859375,7251176,1488.5931396484375,2911.889404296875,152.45162301949367,265.16356634866963,0.06926234026502649,0.06780803218483974,0.18630243957969397,True
0.1,historical_linear_extrapolation,high_flow,54,7277947,7277947,0,1334967124.0,886589889536.0,355232.21240234375,7277947,373890.03955078125,7277947,2911.8896484375,10468.935546875,183.4263321785663,349.0253271935033,0.04880939809019546,0.05137300938723259,0.04618541846697901,True
0.1,historical_linear_extrapolation,low_flow,54,7258806,7258806,0,881464247.0,530407672320.0,1988122.908203125,7134180,920971.4423828125,7222289,0.0,1488.593017578125,121.43377946731184,270.316343351241,0.27867574244035404,0.12751794374094036,0.18159183884325467,True
0.1,historical_linear_extrapolation,mid_flow,54,7251176,7251176,0,1388076316.0,823086383104.0,622910.572265625,7251176,621145.4873046875,7251176,1488.5931396484375,2911.889404296875,191.42775130544342,336.91355577460354,0.08590476527747017,0.0856613447673436,0.23671358110240187,True
0.1,road_topology_neighbor_fill,high_flow,54,7277947,7277947,0,4892732752.0,7059077128192.0,1262628.767578125,7277947,1292422.193359375,7277947,2911.8896484375,10468.935546875,672.2682580678315,984.8487073715141,0.17348694179527893,0.17758059977070112,0.13032191687166306,True
0.1,road_topology_neighbor_fill,low_flow,54,7258806,7258806,0,2889537404.0,4053068898304.0,4142879.9296875,7134180,1839582.677734375,7247759,0.0,1488.593017578125,398.0733751528833,747.2387726424032,0.5807086350060554,0.2538139965380161,0.501976540141326,True
0.1,road_topology_neighbor_fill,mid_flow,54,7251176,7251176,0,3449546828.0,4218921828352.0,1577682.30859375,7251176,1348133.767578125,7251176,1488.5931396484375,2911.889404296875,475.7223970291164,762.7751149695437,0.21757606057193343,0.1859193277860205,0.5359215322313472,True
0.1,topology_function_hybrid,high_flow,54,7277947,7277947,0,2720569296.0,2106356248576.0,703290.236328125,7277947,714791.3203125,7277947,2911.8896484375,10468.935546875,373.80999009748217,537.974224760838,0.09663305274524876,0.09821331761724839,0.07118842891665775,True
0.1,topology_function_hybrid,low_flow,54,7258806,7258806,0,1725272258.0,1321574340608.0,2903135.87109375,7134180,1388208.701171875,7258748,0.0,1488.593017578125,237.6798963906736,426.6907264742791,0.40693336460444646,0.1912463004876151,0.2866402847760807,True
0.1,topology_function_hybrid,mid_flow,54,7251176,7251176,0,2080022140.0,1388035229696.0,951070.794921875,7251176,868637.5400390625,7251176,1488.5931396484375,2911.889404296875,286.85307597002196,437.51809693785174,0.13116090340682326,0.1197926432952479,0.30739776939267194,True
0.1,zero_fill,high_flow,54,7277947,7277947,0,27238390752.0,108821889286144.0,7277947.0,7277947,14555894.0,7277947,2911.8896484375,10468.935546875,3742.5926228921426,3866.8175984621853,1.0,2.0,0.5116837518826889,True
0.1,zero_fill,low_flow,54,7258806,7258806,0,9412342416.0,12753250795520.0,7134180.0,7134180,14268360.0,7134180,0.0,1488.593017578125,1296.6791530177277,1325.4942721728844,1.0,2.0,0.890434293672427,True
0.1,zero_fill,mid_flow,54,7251176,7251176,0,16501793376.0,39435471880192.0,7251176.0,7251176,14502352.0,7251176,1488.5931396484375,2911.889404296875,2275.74029040255,2332.057733126535,1.0,2.0,1.6384907282129113,True
0.2,forward_fill,high_flow,54,14560538,14560538,0,1500431006.0,722553388032.0,396308.3037109375,14560538,410598.85693359375,14560538,2911.8896484375,10477.7548828125,103.04777241060735,222.76464232560204,0.027217971184233542,0.028199428958847108,0.02944337963006344,True
0.2,forward_fill,low_flow,54,14507733,14507733,0,1086838372.0,457599778304.0,1935927.453125,14260348,1183694.01171875,14324624,0.0,1488.593017578125,74.91441784874316,177.60006711896062,0.13575597545901405,0.08263351357206654,0.11930733586800513,True
0.2,forward_fill,mid_flow,54,14507519,14507519,0,1750542242.0,759312071680.0,779315.3447265625,14507519,791418.9111328125,14507519,1488.5931396484375,2911.889404296875,120.66448039806117,228.7776413548146,0.05371803026599948,0.054552326357994944,0.16073789205884273,True
0.2,function_curve_fit,high_flow,54,14560538,14560538,0,2223509324.0,1087854025728.0,592443.482421875,14560538,614380.892578125,14560538,2911.8896484375,10477.7548828125,152.70790983135376,273.3358526653333,0.04068829616198763,0.04219493074899602,0.036127507455915316,True
0.2,function_curve_fit,low_flow,54,14507733,14507733,0,1474318296.0,791384269824.0,3248924.97265625,14260348,1697713.1015625,14507703,0.0,1488.593017578125,101.62292730366626,233.5575601167724,0.22782929088800988,0.11702149551603724,0.15689819672589908,True
0.2,function_curve_fit,mid_flow,54,14507519,14507519,0,2209489664.0,1015685504000.0,1003782.734375,14507519,983356.92578125,14507519,1488.5931396484375,2911.889404296875,152.29962228551966,264.5958650995536,0.06919051661245455,0.06778257025072654,0.18590357585524214,True
0.2,historical_linear_extrapolation,high_flow,54,14560538,14560538,0,2727759784.0,1855658059776.0,725952.822265625,14560538,764763.626953125,14560538,2911.8896484375,10477.7548828125,187.33921672399742,356.9934641262896,0.0498575548695814,0.05252303362369749,0.04718475059591516,True
0.2,historical_linear_extrapolation,low_flow,54,14507733,14507733,0,1796165906.0,1100225122304.0,3396304.19140625,14260348,1883503.1328125,14442000,0.0,1488.593017578125,123.80748294719788,275.3854569600373,0.23816418725589655,0.13041844154635784,0.18499714408715773,True
0.2,historical_linear_extrapolation,mid_flow,54,14507519,14507519,0,2833023932.0,1720790497280.0,1270938.6484375,14507519,1270107.24609375,14507519,1488.5931396484375,2911.889404296875,195.2796982033937,344.4033962821077,0.08760551328159556,0.08754820490627997,0.24197590117836593,True
0.2,road_topology_neighbor_fill,high_flow,54,14560538,14560538,0,9474858528.0,13128867217408.0,2442338.83984375,14560538,2497350.62890625,14560538,2911.8896484375,10477.7548828125,650.7217334963859,949.5654774220533,0.16773685421814427,0.17151499682952992,0.12550652807133894,True
0.2,road_topology_neighbor_fill,low_flow,54,14507733,14507733,0,5717795904.0,7686610452480.0,7376233.046875,14260348,3698171.23828125,14497098,0.0,1488.593017578125,394.1205634264154,727.893194546301,0.5172547715437941,0.2550973469504897,0.48898065888455594,True
0.2,road_topology_neighbor_fill,mid_flow,54,14507519,14507519,0,6712119184.0,7880940634112.0,3075646.7421875,14507519,2633655.23828125,14507519,1488.5931396484375,2911.889404296875,462.6648556517486,737.0423689132678,0.21200363357700927,0.1815372592847371,0.5178418486858893,True
0.2,topology_function_hybrid,high_flow,54,14560538,14560538,0,5290976456.0,3969486180352.0,1366094.140625,14560538,1389327.048828125,14560538,2911.8896484375,10477.7548828125,363.37781310003794,522.1297462456703,0.09382168025831189,0.09541728807191911,0.06901124062762959,True
0.2,topology_function_hybrid,low_flow,54,14507733,14507733,0,3413018284.0,2538259746816.0,5155845.8046875,14260348,2762909.06640625,14507729,0.0,1488.593017578125,235.2551073279333,418.2811122201645,0.3615511910850633,0.1904439396687276,0.2809909137560576,True
0.2,topology_function_hybrid,mid_flow,54,14507519,14507519,0,4066445440.0,2633642115072.0,1861517.294921875,14507519,1703284.552734375,14507519,1488.5931396484375,2911.889404296875,280.29916348894665,426.0708329666498,0.12831396566993122,0.11740701857666876,0.2993549857112087,True
0.2,zero_fill,high_flow,54,14560538,14560538,0,54495366336.0,217742136311808.0,14560538.0,14560538,29121076.0,14560538,2911.8896484375,10477.7548828125,3742.6753280682346,3867.074409174593,1.0,2.0,0.5111212385339353,True
